Chart,,,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate
2018-08-21 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-22 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-23 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-24 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-25 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-26 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-27 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-08-28 19:00:00,8852.49,,4151.00,13.00,501.00,0.00,0.00,0.00,215.00,0.00,761.00
2018-08-29 19:00:00,8863.50,,4090.00,16.00,1351.67,0.00,0.00,0.00,545.52,4115.00,2735.98
2018-08-30 19:00:00,8669.07,,4021.00,26.00,2645.00,0.00,0.00,0.00,1036.00,4014.00,4712.00
2018-08-31 19:00:00,8447.99,,3865.00,34.00,2965.00,0.00,0.00,0.00,1055.00,0.00,4837.00
2018-09-01 19:00:00,9267.40,,4624.00,32.00,2585.00,0.00,0.00,0.00,945.00,0.00,4462.00
2018-09-02 19:00:00,8690.88,,3861.00,34.00,776.00,0.00,0.00,0.00,309.00,0.00,1703.00
2018-09-03 19:00:00,9150.82,,4536.00,37.00,4694.06,0.00,0.00,0.00,1733.00,0.00,7255.00
2018-09-04 19:00:00,8603.72,,3862.00,35.00,1467.17,0.00,0.00,0.00,611.00,0.00,2981.00
2018-09-05 19:00:00,8440.09,,3846.00,35.00,3142.43,0.00,0.00,0.00,1172.00,0.00,5150.00
2018-09-06 19:00:00,8273.42,,3755.00,37.00,5780.41,0.00,0.00,0.00,2142.00,0.00,7794.00
2018-09-07 19:00:00,8186.70,,3692.00,40.00,6228.45,0.00,0.00,0.00,2303.00,0.00,8027.00
2018-09-08 19:00:00,8132.89,,3641.00,40.00,6924.92,0.00,0.00,0.00,2598.00,0.00,8591.00
2018-09-09 19:00:00,8056.56,,3579.00,40.00,7000.15,0.00,0.00,0.00,2579.00,0.00,8567.00
2018-09-10 19:00:00,8032.41,,3558.00,40.00,7333.66,0.00,0.00,0.00,2709.00,0.00,8802.00
2018-09-11 19:00:00,7827.72,,3322.00,47.00,7383.97,0.00,0.00,0.00,2876.00,0.00,9076.00
2018-09-12 19:00:00,7714.87,,3260.00,47.00,9436.08,0.00,0.00,0.00,3324.00,0.00,10174.00
2018-09-13 19:00:00,7524.57,,3179.00,51.00,5657.54,0.00,0.00,0.00,1966.00,0.00,6460.00
2018-09-14 19:00:00,7522.65,,3008.00,57.00,9217.59,0.00,0.00,0.00,3327.00,0.00,10603.00
2018-09-15 19:00:00,8051.53,,3528.00,59.00,11282.28,0.00,0.00,0.00,4131.00,0.00,11626.00
2018-09-16 19:00:00,7986.16,,3528.00,58.00,5894.73,0.00,0.00,0.00,2225.00,0.00,7406.00
2018-09-17 19:00:00,7336.85,,2805.00,57.00,11917.98,0.00,0.00,0.00,4195.00,0.00,12169.00
2018-09-18 19:00:00,7247.79,,2714.00,58.00,11466.81,0.00,0.00,0.00,4196.00,0.00,11927.00
2018-09-19 19:00:00,7231.81,,2689.00,58.00,11551.13,0.00,0.00,0.00,4219.00,0.00,12057.00
2018-09-20 19:00:00,7208.28,,2656.00,58.00,11265.84,0.00,0.00,0.00,4057.00,0.00,12081.00
2018-09-21 19:00:00,7135.32,,2633.00,48.00,10159.31,0.00,0.00,0.00,3647.00,0.00,11080.00
2018-09-22 19:00:00,7165.19,,2633.00,58.00,11418.08,0.00,0.00,0.00,4156.00,0.00,11920.00
2018-09-23 19:00:00,7204.43,,2675.00,58.00,11375.87,0.00,0.00,0.00,4130.00,0.00,11874.00
2018-09-24 19:00:00,7106.74,,2591.00,58.00,11143.44,0.00,0.00,0.00,4053.00,0.00,11660.00
2018-09-25 19:00:00,8466.28,,3930.00,58.00,11094.44,0.00,0.00,0.00,4050.00,0.00,11589.00
2018-09-26 19:00:00,8472.03,,3930.00,58.00,11073.17,0.00,0.00,0.00,4067.00,0.00,11618.00
2018-09-27 19:00:00,6954.58,,2439.00,58.00,10851.00,0.00,0.00,0.00,3993.00,0.00,11554.00
2018-09-28 19:00:00,7000.31,,2574.00,54.00,8285.39,0.00,0.00,0.00,3023.00,0.00,9254.00
2018-09-29 19:00:00,6848.78,,2375.00,58.00,10712.51,0.00,0.00,0.00,3920.00,0.00,11124.00
2018-09-30 19:00:00,6960.06,,2492.00,58.00,10544.23,0.00,0.00,0.00,3875.00,0.00,10931.00
2018-10-01 19:00:00,7028.94,,2578.00,58.00,9732.47,0.00,0.00,0.00,3563.00,0.00,10341.00
2018-10-02 19:00:00,6736.45,,2296.00,58.00,9324.60,0.00,0.00,0.00,3534.00,0.00,10064.00
2018-10-03 19:00:00,6842.80,,2397.00,58.00,10224.30,0.00,0.00,0.00,3774.00,0.00,10597.00
2018-10-04 19:00:00,6664.52,,2242.00,58.00,9555.40,0.00,0.00,0.00,3495.00,0.00,10133.00
2018-10-05 19:00:00,6754.44,,2338.00,58.00,9099.85,0.00,0.00,0.00,3343.00,0.00,9757.00
2018-10-06 19:00:00,6739.19,,2338.00,58.00,8802.32,0.00,0.00,0.00,3251.00,0.00,9430.00
2018-10-07 19:00:00,6702.98,,2291.00,58.00,9009.75,0.00,0.00,0.00,3328.00,0.00,9676.00
2018-10-08 19:00:00,6618.21,,2217.00,58.00,9208.52,0.00,0.00,0.00,3381.00,0.00,9753.00
2018-10-09 19:00:00,5753.60,,2085.00,41.00,9365.60,0.00,0.00,0.00,3452.00,0.00,4583.00
2018-10-10 19:00:00,6611.00,,2231.00,41.00,9814.14,0.00,0.00,0.00,3645.00,0.00,9856.00
2018-10-11 19:00:00,6534.69,,2231.00,58.00,8583.26,0.00,0.00,0.00,3236.00,0.00,8468.00
2018-10-12 19:00:00,6378.79,,2085.00,58.00,10419.30,0.00,0.00,0.00,3973.00,0.00,9423.00
2018-10-13 19:00:00,6403.49,,2111.00,58.00,9932.37,0.00,0.00,0.00,3816.00,0.00,9145.00
2018-10-14 19:00:00,6364.57,,2090.00,58.00,9323.98,0.00,0.00,0.00,3565.00,0.00,8708.00
2018-10-15 19:00:00,6305.59,,2040.00,58.00,9353.91,0.00,0.00,0.00,3628.00,0.00,8660.00
2018-10-16 19:00:00,6193.36,,1953.00,58.00,9863.84,0.00,0.00,0.00,3797.00,0.00,8804.00
2018-10-17 19:00:00,6407.34,,2216.00,58.00,4700.42,0.00,0.00,0.00,1834.00,0.00,4719.00
2018-10-18 19:00:00,6285.44,,1959.00,58.00,7640.11,0.00,0.00,0.00,2833.00,0.00,8293.00
2018-10-19 19:00:00,6249.23,,1995.00,58.00,8652.69,0.00,0.00,0.00,3250.00,0.00,8286.00
2018-10-20 19:00:00,6215.01,,1995.00,58.00,9560.77,0.00,0.00,0.00,3653.00,0.00,8461.00
2018-10-21 19:00:00,6078.14,,1870.00,58.00,9002.62,0.00,0.00,0.00,3442.00,0.00,8202.00
2018-10-22 19:00:00,6086.79,,1875.00,58.00,8600.85,0.00,0.00,0.00,3268.00,0.00,8014.00
2018-10-23 19:00:00,6005.50,,1801.00,58.00,8560.77,0.00,0.00,0.00,3271.00,0.00,8010.00
2018-10-24 19:00:00,6078.86,,1875.00,41.00,8661.46,0.00,0.00,0.00,3370.00,0.00,7937.00
2018-10-25 19:00:00,5899.56,,1728.00,58.00,6976.40,0.00,0.00,0.00,2680.00,0.00,6832.00
2018-10-26 19:00:00,5876.80,,1725.00,58.00,8470.69,0.00,0.00,0.00,3247.00,0.00,7644.00
2018-10-27 19:00:00,5772.03,,1636.00,58.00,8332.63,0.00,0.00,0.00,3205.00,0.00,7574.00
2018-10-28 19:00:00,5717.99,,1586.00,58.00,8258.54,0.00,0.00,0.00,3188.00,0.00,7575.00
2018-10-29 19:00:00,5982.48,,1808.00,58.00,8116.41,0.00,0.00,0.00,3130.00,0.00,7487.00
2018-10-30 19:00:00,5708.00,,1584.00,58.00,7737.29,0.00,0.00,0.00,2986.00,0.00,7204.00
2018-10-31 19:00:00,5739.37,,1602.00,58.00,6137.90,0.00,0.00,0.00,2377.00,0.00,6144.00
2018-11-01 19:00:00,5556.47,,1480.00,58.00,7537.01,0.00,0.00,0.00,2920.00,0.00,6924.00
2018-11-02 19:00:00,5545.38,,1484.00,58.00,7903.48,0.00,0.00,0.00,3064.00,0.00,7033.00
2018-11-03 19:00:00,5512.90,,1457.00,58.00,7735.76,0.00,0.00,0.00,2998.00,0.00,6950.00
2018-11-04 18:00:00,5457.00,,1416.00,58.00,7504.25,0.00,0.00,0.00,2910.00,0.00,6789.00
2018-11-05 18:00:00,5454.52,,1421.00,58.00,7564.83,0.00,0.00,0.00,2932.00,0.00,6767.00
2018-11-06 18:00:00,0.00,,0.00,58.00,7586.80,0.00,0.00,0.00,2937.00,0.00,6733.00
2018-11-07 18:00:00,5259.64,,1286.00,64.00,7865.25,0.00,0.00,0.00,3066.00,0.00,6857.00
2018-11-08 18:00:00,5175.49,,1238.00,64.00,7321.62,0.00,0.00,0.00,2843.00,0.00,6434.00
2018-11-09 18:00:00,5135.60,,1209.00,64.00,8443.10,0.00,0.00,0.00,3289.00,0.00,7087.00
2018-11-10 18:00:00,5118.79,,1238.00,64.00,6007.34,0.00,0.00,0.00,2361.00,0.00,5219.00
2018-11-11 18:00:00,5153.99,,1170.00,64.00,7204.19,0.00,0.00,0.00,2597.00,0.00,6999.00
2018-11-12 18:00:00,5099.06,,1139.00,64.00,7970.95,0.00,0.00,0.00,2606.00,0.00,7625.00
2018-11-13 18:00:00,5024.53,,1112.00,64.00,7764.27,0.00,0.00,0.00,3053.00,0.00,6899.00
2018-11-14 18:00:00,5009.07,,1093.00,64.00,7265.28,0.00,0.00,0.00,2737.00,0.00,6773.00
2018-11-15 18:00:00,4913.68,,1057.00,64.00,7539.12,0.00,0.00,0.00,2950.00,0.00,6621.00
2018-11-16 18:00:00,4915.84,,1079.00,64.00,5257.24,0.00,0.00,0.00,2050.00,0.00,4889.00
2018-11-17 18:00:00,4946.50,,1043.00,64.00,7243.00,0.00,0.00,0.00,2707.00,0.00,6873.00
2018-11-18 18:00:00,4862.18,,1045.00,64.00,7374.41,0.00,0.00,0.00,2870.00,0.00,6344.00
2018-11-19 18:00:00,4808.71,,1024.00,64.00,7353.26,0.00,0.00,0.00,2857.00,0.00,6224.00
2018-11-20 18:00:00,4804.97,,1000.00,64.00,6996.59,0.00,0.00,0.00,2730.00,0.00,6203.00
2018-11-21 18:00:00,4857.16,,1000.00,64.00,6637.73,0.00,0.00,0.00,2654.00,0.00,6212.00
2018-11-22 18:00:00,4830.90,,981.00,64.00,6549.02,0.00,0.00,0.00,2480.00,0.00,6291.00
2018-11-23 18:00:00,4743.60,,959.00,64.00,6501.80,0.00,0.00,0.00,2575.00,951.00,5967.00
2018-11-24 18:00:00,4710.83,,943.00,64.00,6577.34,0.00,0.00,0.00,2587.00,0.00,5929.00
2018-11-25 18:00:00,4460.08,,849.00,64.00,6509.36,0.00,0.00,0.00,2558.00,0.00,5486.00
2018-11-26 18:00:00,4627.91,,905.00,64.00,6458.11,0.00,0.00,0.00,2491.00,0.00,5806.00
2018-11-27 18:00:00,4610.32,,903.00,64.00,6422.15,0.00,0.00,0.00,2476.00,0.00,5712.00
2018-11-28 18:00:00,4597.83,,895.00,64.00,6304.56,0.00,0.00,0.00,2449.00,0.00,5629.00
2018-11-29 18:00:00,4589.73,,889.00,64.00,6207.92,0.00,0.00,0.00,2436.00,0.00,5558.00
2018-11-30 18:00:00,4568.09,,876.00,64.00,5873.63,0.00,0.00,0.00,2234.00,0.00,5398.00
2018-12-01 18:00:00,4531.28,,871.00,64.00,6191.47,0.00,0.00,0.00,2413.00,0.00,5437.00
2018-12-02 18:00:00,4496.80,,855.00,64.00,6090.14,0.00,0.00,0.00,2369.00,0.00,5358.00
2018-12-03 18:00:00,4487.72,,848.00,64.00,5989.02,0.00,0.00,0.00,2346.00,0.00,5296.00
2018-12-04 18:00:00,4460.19,,836.00,64.00,5923.32,0.00,0.00,0.00,2289.00,0.00,5258.00
2018-12-05 18:00:00,4488.78,,868.00,64.00,5960.69,0.00,0.00,0.00,2367.00,0.00,5080.00
2018-12-06 18:00:00,4418.29,,868.00,64.00,4861.62,0.00,0.00,0.00,1682.00,0.00,4251.00
2018-12-07 18:00:00,5745.54,,1782.00,64.00,5056.34,0.00,0.00,0.00,1952.00,0.00,4130.00
2018-12-08 18:00:00,5830.36,,1726.00,64.00,3329.46,0.00,0.00,0.00,1210.00,0.00,3405.00
2018-12-09 18:00:00,0.00,,1485.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-10 18:00:00,0.00,,1485.00,64.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-12-11 18:00:00,5041.29,,1200.00,64.00,1915.22,0.00,0.00,0.00,649.00,0.00,1806.00
2018-12-12 18:00:00,5089.30,,1272.00,64.00,4001.47,0.00,0.00,0.00,1645.00,0.00,3314.00
2018-12-13 18:00:00,4788.84,,1086.00,64.00,3200.69,0.00,0.00,0.00,1479.00,0.00,2516.00
2018-12-14 18:00:00,4350.18,,888.00,64.00,5063.02,0.00,0.00,0.00,2039.00,0.00,3751.00
2018-12-15 18:00:00,4285.42,,890.00,64.00,5500.20,0.00,0.00,0.00,2239.00,0.00,3748.00
2018-12-16 18:00:00,4095.04,,828.00,64.00,6623.30,0.00,0.00,0.00,2608.00,0.00,4177.00
2018-12-17 18:00:00,4344.48,,885.00,64.00,3958.21,0.00,0.00,0.00,1605.00,0.00,3003.00
2018-12-18 18:00:00,4322.22,,885.00,64.00,5023.82,0.00,0.00,0.00,2002.00,0.00,3667.00
2018-12-19 18:00:00,3992.78,,787.00,64.00,5375.72,0.00,0.00,0.00,2177.00,0.00,3449.00
2018-12-20 18:00:00,3877.31,,735.00,64.00,5779.07,0.00,0.00,0.00,2190.00,0.00,3819.00
2018-12-21 18:00:00,3914.46,,705.00,64.00,5287.46,0.00,0.00,0.00,2156.00,0.00,3750.00
2018-12-22 18:00:00,3927.43,,690.00,64.00,5031.94,0.00,0.00,0.00,1998.00,0.00,3808.00
2018-12-23 18:00:00,3863.59,,693.00,64.00,5191.40,0.00,0.00,0.00,2082.00,0.00,3662.00
2018-12-24 18:00:00,3805.83,,683.00,64.00,5174.68,0.00,0.00,0.00,2123.00,0.00,3508.00
2018-12-25 18:00:00,3721.49,,676.00,64.00,5279.27,0.00,0.00,0.00,2082.00,0.00,3448.00
2018-12-26 18:00:00,3979.63,,758.00,42.00,3332.36,0.00,0.00,0.00,1343.00,0.00,2371.00
2018-12-27 18:00:00,3751.32,,674.00,42.00,4902.62,0.00,0.00,0.00,1931.00,0.00,3345.00
2018-12-28 18:00:00,3618.50,,656.00,64.00,5259.84,0.00,0.00,0.00,2109.00,0.00,3260.00
2018-12-29 18:00:00,3547.08,,639.00,64.00,5135.89,0.00,0.00,0.00,2030.00,0.00,3153.00
2018-12-30 18:00:00,3351.02,,563.00,64.00,4980.86,0.00,0.00,0.00,1971.00,0.00,3095.00
2018-12-31 18:00:00,3467.78,,606.00,64.00,4854.32,0.00,0.00,0.00,1928.00,0.00,3027.00
2019-01-01 18:00:00,3435.57,,595.00,64.00,4683.79,0.00,0.00,0.00,1878.00,0.00,2917.00
2019-01-02 18:00:00,3332.51,,563.00,64.00,4659.51,0.00,0.00,0.00,1844.00,0.00,2891.00
2019-01-03 18:00:00,3411.42,,589.00,64.00,4392.07,0.00,0.00,0.00,1732.00,0.00,2776.00
2019-01-04 18:00:00,3816.90,,739.00,64.00,3804.34,0.00,0.00,0.00,1502.00,0.00,2450.00
2019-01-05 18:00:00,4283.26,,801.00,64.00,1038.53,0.00,0.00,0.00,443.00,0.00,748.00
2019-01-06 18:00:00,4290.70,,833.00,64.00,1895.92,0.00,0.00,0.00,779.00,0.00,1524.00
2019-01-07 18:00:00,4082.33,,785.00,47.00,2460.45,0.00,0.00,0.00,979.00,0.00,1840.00
2019-01-08 18:00:00,3999.17,,766.00,47.00,2766.98,0.00,0.00,0.00,1098.00,0.00,1998.00
2019-01-09 18:00:00,3996.58,,775.00,52.00,2764.56,0.00,0.00,0.00,1103.00,0.00,1947.00
2019-01-10 18:00:00,3976.18,,775.00,52.00,2697.59,0.00,0.00,0.00,1072.00,0.00,1870.00
