Chart,,,,,,,,,,,
,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate
2018-09-25 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-26 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-27 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-28 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-29 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-30 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-01 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-02 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-03 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-04 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-05 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-06 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-07 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-08 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-09 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-10 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-11 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-12 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-13 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-14 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-15 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-16 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-17 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-18 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-19 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-20 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-21 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-22 19:00:00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-10-23 19:00:00,7136.39,,2866.00,20.00,1044.41,0.00,0.00,0.00,349.00,0.00,937.00
2018-10-24 19:00:00,7142.25,,2457.00,35.00,1887.12,0.00,0.00,0.00,646.00,0.00,3363.00
