,,LEASE,PERIOD,GROSS OIL,GROSS GAS,GROSS WTR
Foraker 1207 #2UMH-11,19,FORAKER 1207 2UMH-11,2019-04-13,672.4,3751.0,2663.0
Foraker 1207 #2UMH-11,20,FORAKER 1207 2UMH-11,2019-04-14,611.33,3724.0,2897.0
Foraker 1207 #2UMH-11,21,FORAKER 1207 2UMH-11,2019-04-15,586.33,3698.0,3250.0
Foraker 1207 #2UMH-11,22,FORAKER 1207 2UMH-11,2019-04-16,563.45,3678.0,2854.0
Foraker 1207 #2UMH-11,23,FORAKER 1207 2UMH-11,2019-04-17,535.0,3663.0,1050.0
Foraker 1207 #2UMH-11,24,FORAKER 1207 2UMH-11,2019-04-18,514.86,3653.0,960.0
Foraker 1207 #2UMH-11,25,FORAKER 1207 2UMH-11,2019-04-19,480.18,3587.0,921.0
Foraker 1207 #2UMH-11,26,FORAKER 1207 2UMH-11,2019-04-20,455.21,3546.0,850.0
Foraker 1207 #2UMH-11,27,FORAKER 1207 2UMH-11,2019-04-21,446.16,3483.0,795.0
Foraker 1207 #2UMH-11,28,FORAKER 1207 2UMH-11,2019-04-22,413.57,3451.0,729.0
Foraker 1207 #2UMH-11,29,FORAKER 1207 2UMH-11,2019-04-23,449.64,3479.0,671.0
Foraker 1207 #2UMH-11,30,FORAKER 1207 2UMH-11,2019-04-24,375.4,3910.0,764.0
Foraker 1207 #2UMH-11,31,FORAKER 1207 2UMH-11,2019-04-25,346.25,3514.0,715.0
Foraker 1207 #2UMH-11,32,FORAKER 1207 2UMH-11,2019-04-26,353.88,3412.0,624.0
Foraker 1207 #2UMH-11,33,FORAKER 1207 2UMH-11,2019-04-27,321.97,3468.0,578.0
Foraker 1207 #2UMH-11,34,FORAKER 1207 2UMH-11,2019-04-28,317.8,3334.0,661.0
Foraker 1207 #2UMH-11,35,FORAKER 1207 2UMH-11,2019-04-29,315.72,3345.0,593.0
Foraker 1207 #2UMH-11,36,FORAKER 1207 2UMH-11,2019-04-30,300.45,3296.0,568.0
Foraker 1207 #2UMH-11,37,FORAKER 1207 2UMH-11,2019-05-01,291.45,3355.0,550.0
Foraker 1207 #2UMH-11,38,FORAKER 1207 2UMH-11,2019-05-02,281.02,3216.0,550.0
Foraker 1207 #2UMH-11,39,FORAKER 1207 2UMH-11,2019-05-03,269.25,3339.0,513.0
Foraker 1207 #2UMH-11,40,FORAKER 1207 2UMH-11,2019-05-04,260.9,3213.0,478.0
Foraker 1207 #2UMH-11,41,FORAKER 1207 2UMH-11,2019-05-05,258.12,3218.0,475.0
Foraker 1207 #2UMH-11,42,FORAKER 1207 2UMH-11,2019-05-06,253.96,3177.0,448.0
Foraker 1207 #2UMH-11,43,FORAKER 1207 2UMH-11,2019-05-07,232.46,3177.0,444.0
Foraker 1207 #2UMH-11,44,FORAKER 1207 2UMH-11,2019-05-08,231.76,3073.0,427.0
Foraker 1207 #2UMH-11,45,FORAKER 1207 2UMH-11,2019-05-09,238.01,2959.0,410.0
Foraker 1207 #2UMH-11,46,FORAKER 1207 2UMH-11,2019-05-10,224.82,3045.0,390.0
Foraker 1207 #2UMH-11,47,FORAKER 1207 2UMH-11,2019-05-11,222.06,2979.0,372.0
Foraker 1207 #2UMH-11,48,FORAKER 1207 2UMH-11,2019-05-12,205.39,2933.0,368.0
Foraker 1207 #2UMH-11,49,FORAKER 1207 2UMH-11,2019-05-13,207.47,2909.0,364.0
Foraker 1207 #2UMH-11,50,FORAKER 1207 2UMH-11,2019-05-14,207.47,2647.0,373.0
Foraker 1207 #2UMH-11,51,FORAKER 1207 2UMH-11,2019-05-15,212.33,2881.0,360.0
Foraker 1207 #2UMH-11,52,FORAKER 1207 2UMH-11,2019-05-16,227.59,3002.0,345.0
Foraker 1207 #2UMH-11,53,FORAKER 1207 2UMH-11,2019-05-17,202.63,3150.0,337.0
Foraker 1207 #2UMH-11,54,FORAKER 1207 2UMH-11,2019-05-18,183.87,3126.0,343.0
Foraker 1207 #2UMH-11,55,FORAKER 1207 2UMH-11,2019-05-19,159.59,2851.0,337.0
Foraker 1207 #2UMH-11,56,FORAKER 1207 2UMH-11,2019-05-20,174.17,2365.0,343.0
Foraker 1207 #2UMH-11,57,FORAKER 1207 2UMH-11,2019-05-21,188.74,2782.0,318.0
Foraker 1207 #2UMH-11,58,FORAKER 1207 2UMH-11,2019-05-22,185.27,2909.0,311.0
Foraker 1207 #2UMH-11,59,FORAKER 1207 2UMH-11,2019-05-23,150.57,2914.0,319.0
Foraker 1207 #2UMH-11,60,FORAKER 1207 2UMH-11,2019-05-24,151.28,2419.0,309.0
Foraker 1207 #2UMH-11,61,FORAKER 1207 2UMH-11,2019-05-25,160.98,2540.0,328.0
Foraker 1207 #2UMH-11,62,FORAKER 1207 2UMH-11,2019-05-26,158.21,2477.0,325.0
Foraker 1207 #2UMH-11,63,FORAKER 1207 2UMH-11,2019-05-27,156.13,2541.0,317.0
Foraker 1207 #2UMH-11,64,FORAKER 1207 2UMH-11,2019-05-28,145.04,2398.0,326.0
Foraker 1207 #2UMH-11,65,FORAKER 1207 2UMH-11,2019-05-29,149.87,2321.0,315.0
Foraker 1207 #2UMH-11,66,FORAKER 1207 2UMH-11,2019-05-30,163.07,2621.0,321.0
Foraker 1207 #2UMH-11,67,FORAKER 1207 2UMH-11,2019-05-31,141.56,2685.0,324.0
Foraker 1207 #2UMH-11,68,FORAKER 1207 2UMH-11,2019-06-01,151.26,2360.0,316.0
Foraker 1207 #2UMH-11,69,FORAKER 1207 2UMH-11,2019-06-02,140.16,2403.0,320.0
Foraker 1207 #2UMH-11,70,FORAKER 1207 2UMH-11,2019-06-03,148.49,2268.0,301.0
Foraker 1207 #2UMH-11,71,FORAKER 1207 2UMH-11,2019-06-04,133.23,2437.0,302.0
Foraker 1207 #2UMH-11,72,FORAKER 1207 2UMH-11,2019-06-05,140.86,2335.0,286.0
Foraker 1207 #2UMH-11,73,FORAKER 1207 2UMH-11,2019-06-06,140.17,2511.0,292.0
Foraker 1207 #2UMH-11,74,FORAKER 1207 2UMH-11,2019-06-07,130.45,2452.0,289.0
Foraker 1207 #2UMH-11,75,FORAKER 1207 2UMH-11,2019-06-08,141.56,2259.0,283.0
Foraker 1207 #2UMH-11,76,FORAKER 1207 2UMH-11,2019-06-09,122.81,2280.0,278.0
Foraker 1207 #2UMH-11,77,FORAKER 1207 2UMH-11,2019-06-10,133.93,2261.0,273.0
Foraker 1207 #2UMH-11,78,FORAKER 1207 2UMH-11,2019-06-11,150.57,2508.0,293.86
Foraker 1207 #2UMH-11,79,FORAKER 1207 2UMH-11,2019-06-12,144.34,2749.0,337.1
Foraker 1207 #2UMH-11,80,FORAKER 1207 2UMH-11,2019-06-13,147.79,2774.0,318.98
Foraker 1207 #2UMH-11,81,FORAKER 1207 2UMH-11,2019-06-14,122.82,2758.0,303.12
Foraker 1207 #2UMH-11,82,FORAKER 1207 2UMH-11,2019-06-15,154.05,2596.0,308.0
Foraker 1207 #2UMH-11,83,FORAKER 1207 2UMH-11,2019-06-16,111.72,3152.0,297.0
Foraker 1207 #2UMH-11,84,FORAKER 1207 2UMH-11,2019-06-17,134.61,2310.0,288.0
Foraker 1207 #2UMH-11,85,FORAKER 1207 2UMH-11,2019-06-18,111.71,2826.0,277.0
Foraker 1207 #2UMH-11,86,FORAKER 1207 2UMH-11,2019-06-19,102.7,2516.0,285.0
Foraker 1207 #2UMH-11,87,FORAKER 1207 2UMH-11,2019-06-20,113.11,2421.0,373.0
Foraker 1207 #2UMH-11,88,FORAKER 1207 2UMH-11,2019-06-21,113.79,2756.0,413.0
Foraker 1207 #2UMH-11,89,FORAKER 1207 2UMH-11,2019-06-22,140.85,2214.0,329.0
Foraker 1207 #2UMH-11,90,FORAKER 1207 2UMH-11,2019-06-23,82.58,2826.0,308.0
Foraker 1207 #2UMH-11,91,FORAKER 1207 2UMH-11,2019-06-24,86.73,1581.0,275.0
Foraker 1207 #2UMH-11,92,FORAKER 1207 2UMH-11,2019-06-25,101.31,2141.0,211.0
Foraker 1207 #2UMH-11,93,FORAKER 1207 2UMH-11,2019-06-26,96.46,2283.0,276.0
Foraker 1207 #2UMH-11,94,FORAKER 1207 2UMH-11,2019-06-27,0.0,2191.0,306.0
Foraker 1207 #2UMH-11,95,FORAKER 1207 2UMH-11,2019-07-01,93.67,2187.0,309.0
Foraker 1207 #2UMH-11,96,FORAKER 1207 2UMH-11,2019-07-02,103.4,1707.0,300.0
Foraker 1207 #2UMH-11,97,FORAKER 1207 2UMH-11,2019-07-03,103.39,2048.0,291.0
Foraker 1207 #2UMH-11,98,FORAKER 1207 2UMH-11,2019-07-04,102.69,2083.0,280.0
Foraker 1207 #2UMH-11,99,FORAKER 1207 2UMH-11,2019-07-05,114.5,2100.0,277.0
Foraker 1207 #2UMH-11,100,FORAKER 1207 2UMH-11,2019-07-06,92.98,2313.0,423.0
Foraker 1207 #2UMH-11,101,FORAKER 1207 2UMH-11,2019-07-07,99.92,1991.0,393.0
Foraker 1207 #2UMH-11,102,FORAKER 1207 2UMH-11,2019-07-08,71.47,2050.0,373.0
Foraker 1207 #2UMH-11,103,FORAKER 1207 2UMH-11,2019-07-09,119.35,1798.0,733.0
Foraker 1207 #2UMH-11,104,FORAKER 1207 2UMH-11,2019-07-10,90.21,2498.0,773.0
Foraker 1207 #2UMH-11,105,FORAKER 1207 2UMH-11,2019-07-11,124.9,1911.0,721.0
Foraker 1207 #2UMH-11,106,FORAKER 1207 2UMH-11,2019-07-12,111.71,2715.0,641.0
Foraker 1207 #2UMH-11,107,FORAKER 1207 2UMH-11,2019-07-13,93.69,2465.0,628.0
Foraker 1207 #2UMH-11,108,FORAKER 1207 2UMH-11,2019-07-14,73.55,2142.0,607.0
Foraker 1207 #2UMH-11,109,FORAKER 1207 2UMH-11,2019-07-15,71.47,1907.0,567.0
Foraker 1207 #2UMH-11,110,FORAKER 1207 2UMH-11,2019-07-16,81.88,1911.0,669.0
Foraker 1207 #2UMH-11,111,FORAKER 1207 2UMH-11,2019-07-17,91.59,2111.0,665.0
Foraker 1207 #2UMH-11,112,FORAKER 1207 2UMH-11,2019-07-18,77.02,2238.0,653.0
Foraker 1207 #2UMH-11,113,FORAKER 1207 2UMH-11,2019-07-19,123.51,1973.0,709.0
Foraker 1207 #2UMH-11,114,FORAKER 1207 2UMH-11,2019-07-20,76.33,2091.0,683.0
Foraker 1207 #2UMH-11,115,FORAKER 1207 2UMH-11,2019-07-21,92.28,1978.0,572.0
Foraker 1207 #2UMH-11,116,FORAKER 1207 2UMH-11,2019-07-22,69.39,2063.0,630.0
Foraker 1207 #2UMH-11,117,FORAKER 1207 2UMH-11,2019-07-23,72.16,2505.21,519.98
Foraker 1207 #2UMH-11,118,FORAKER 1207 2UMH-11,2019-07-24,77.03,2505.21,1381.14
Foraker 1207 #2UMH-11,119,FORAKER 1207 2UMH-11,2019-07-25,77.71,1935.0,1194.99
Foraker 1207 #2UMH-11,120,FORAKER 1207 2UMH-11,2019-07-26,86.74,2505.21,1128.87
Foraker 1207 #2UMH-11,121,FORAKER 1207 2UMH-11,2019-07-27,83.27,1991.0,590.0
Foraker 1207 #2UMH-11,122,FORAKER 1207 2UMH-11,2019-07-28,90.9,1984.0,550.0
Foraker 1207 #2UMH-11,123,FORAKER 1207 2UMH-11,2019-07-29,13.88,2017.0,392.13
Foraker 1207 #2UMH-11,124,FORAKER 1207 2UMH-11,2019-07-30,5.55,1038.0,162.77
Foraker 1207 #2UMH-11,125,FORAKER 1207 2UMH-11,2019-07-31,11.11,102.0,0.48
Foraker 1207 #2UMH-11,126,,,,,
Foraker 1207 #2UMH-11,127,,,,,
Foraker 1207 #2UMH-11,128,,,,,
Foraker 1207 #2UMH-11,129,,,,,
Foraker 1207 #2UMH-11,130,,,,,
Foraker 1207 #2UMH-11,131,,,,,
Foraker 1207 #2UMH-11,132,,,,,
Foraker 1207 #2UMH-11,133,,,,,
Foraker 1207 #2UMH-11,134,,,,,
Foraker 1207 #2UMH-11,135,,,,,
Foraker 1207 #2UMH-11,136,,,,,
Foraker 1207 #2UMH-11,137,,,,,
Foraker 1207 #2UMH-11,138,,,,,
Foraker 1207 #2UMH-11,139,,,,,
Foraker 1207 #2UMH-11,140,,,,,
Foraker 1207 #2UMH-11,141,,,,,
Foraker 1207 #2UMH-11,142,,,,,
Foraker 1207 #2UMH-11,143,,,,,
Foraker 1207 #2UMH-11,144,,,,,
Foraker 1207 #2UMH-11,145,,,,,
Foraker 1207 #2UMH-11,146,,,,,
Foraker 1207 #2UMH-11,147,,,,,
Foraker 1207 #2UMH-11,148,,,,,
Foraker 1207 #2UMH-11,149,,,,,
Foraker 1207 #2UMH-11,150,,,,,
Foraker 1207 #2UMH-11,151,,,,,
Foraker 1207 #2UMH-11,152,,,,,
Foraker 1207 #2UMH-11,153,,,,,
Foraker 1207 #2UMH-11,154,,,,,
Foraker 1207 #2UMH-11,155,,,,,
Foraker 1207 #2UMH-11,156,,,,,
Foraker 1207 #2UMH-11,157,,,,,
Foraker 1207 #2UMH-11,158,,,,,
Foraker 1207 #2UMH-11,159,,,,,
Foraker 1207 #2UMH-11,160,,,,,
Foraker 1207 #2UMH-11,161,,,,,
Foraker 1207 #2UMH-11,162,,,,,
Foraker 1207 #2UMH-11,163,,,,,
Foraker 1207 #2UMH-11,164,,,,,
Foraker 1207 #2UMH-11,165,,,,,
Foraker 1207 #2UMH-11,166,,,,,
Foraker 1207 #2UMH-11,167,,,,,
Foraker 1207 #3WH-11,0,FORAKER 1207 3WH-11,2019-03-26,0.0,127.99,961.0
Foraker 1207 #3WH-11,1,FORAKER 1207 3WH-11,2019-03-27,152.66,378.29,3011.0
Foraker 1207 #3WH-11,2,FORAKER 1207 3WH-11,2019-03-28,63.83,410.62,2887.0
Foraker 1207 #3WH-11,3,FORAKER 1207 3WH-11,2019-03-29,80.5,380.71,2855.0
Foraker 1207 #3WH-11,4,FORAKER 1207 3WH-11,2019-03-30,108.93,215.09,2800.0
Foraker 1207 #3WH-11,5,FORAKER 1207 3WH-11,2019-03-31,44.41,226.84,2691.0
Foraker 1207 #3WH-11,6,FORAKER 1207 3WH-11,2019-04-01,96.18,0.0,2149.0
Foraker 1207 #3WH-11,7,FORAKER 1207 3WH-11,2019-04-02,145.72,0.0,2801.0
Foraker 1207 #3WH-11,8,FORAKER 1207 3WH-11,2019-04-03,155.44,0.0,3125.0
Foraker 1207 #3WH-11,9,FORAKER 1207 3WH-11,2019-04-04,191.51,426.0,2916.0
Foraker 1207 #3WH-11,10,FORAKER 1207 3WH-11,2019-04-05,259.52,1086.0,2943.0
Foraker 1207 #3WH-11,11,FORAKER 1207 3WH-11,2019-04-06,277.57,1443.0,2922.0
Foraker 1207 #3WH-11,12,FORAKER 1207 3WH-11,2019-04-07,306.74,1676.0,2788.0
Foraker 1207 #3WH-11,13,FORAKER 1207 3WH-11,2019-04-08,351.82,1880.0,2616.0
Foraker 1207 #3WH-11,14,FORAKER 1207 3WH-11,2019-04-09,369.15,2181.0,2585.0
Foraker 1207 #3WH-11,15,FORAKER 1207 3WH-11,2019-04-10,360.12,2483.0,2533.0
Foraker 1207 #3WH-11,16,FORAKER 1207 3WH-11,2019-04-11,362.21,2408.0,2336.0
Foraker 1207 #3WH-11,17,FORAKER 1207 3WH-11,2019-04-12,352.51,2541.0,2156.0
Foraker 1207 #3WH-11,18,FORAKER 1207 3WH-11,2019-04-13,332.42,2407.0,1987.0
Foraker 1207 #3WH-11,19,FORAKER 1207 3WH-11,2019-04-14,330.3,2464.0,1819.0
Foraker 1207 #3WH-11,20,FORAKER 1207 3WH-11,2019-04-15,321.28,2453.0,1710.0
Foraker 1207 #3WH-11,21,FORAKER 1207 3WH-11,2019-04-16,305.31,2400.0,1622.0
Foraker 1207 #3WH-11,22,FORAKER 1207 3WH-11,2019-04-17,294.22,2373.0,1509.0
Foraker 1207 #3WH-11,23,FORAKER 1207 3WH-11,2019-04-18,285.92,2305.0,1440.0
Foraker 1207 #3WH-11,24,FORAKER 1207 3WH-11,2019-04-19,272.03,2244.0,1332.0
Foraker 1207 #3WH-11,25,FORAKER 1207 3WH-11,2019-04-20,268.55,2178.0,1282.0
Foraker 1207 #3WH-11,26,FORAKER 1207 3WH-11,2019-04-21,254.65,2077.0,1254.0
Foraker 1207 #3WH-11,27,FORAKER 1207 3WH-11,2019-04-22,247.03,2030.0,1158.0
Foraker 1207 #3WH-11,28,FORAKER 1207 3WH-11,2019-04-23,268.54,2026.0,1095.0
Foraker 1207 #3WH-11,29,FORAKER 1207 3WH-11,2019-04-24,235.92,2382.0,1051.0
Foraker 1207 #3WH-11,30,FORAKER 1207 3WH-11,2019-04-25,222.75,2128.0,1005.0
Foraker 1207 #3WH-11,31,FORAKER 1207 3WH-11,2019-04-26,219.29,2027.0,978.0
Foraker 1207 #3WH-11,32,FORAKER 1207 3WH-11,2019-04-27,213.73,2045.0,937.0
Foraker 1207 #3WH-11,33,FORAKER 1207 3WH-11,2019-04-28,204.0,1957.0,906.0
Foraker 1207 #3WH-11,34,FORAKER 1207 3WH-11,2019-04-29,214.41,1966.0,871.0
Foraker 1207 #3WH-11,35,FORAKER 1207 3WH-11,2019-04-30,202.62,1979.0,854.0
Foraker 1207 #3WH-11,36,FORAKER 1207 3WH-11,2019-05-01,224.83,1955.0,836.0
Foraker 1207 #3WH-11,37,FORAKER 1207 3WH-11,2019-05-02,220.65,2148.0,862.0
Foraker 1207 #3WH-11,38,FORAKER 1207 3WH-11,2019-05-03,193.61,2188.0,859.0
Foraker 1207 #3WH-11,39,FORAKER 1207 3WH-11,2019-05-04,204.7,2068.0,879.0
Foraker 1207 #3WH-11,40,FORAKER 1207 3WH-11,2019-05-05,191.53,2058.0,785.0
Foraker 1207 #3WH-11,41,FORAKER 1207 3WH-11,2019-05-06,208.18,2016.0,704.0
Foraker 1207 #3WH-11,42,FORAKER 1207 3WH-11,2019-05-07,187.38,2010.0,675.0
Foraker 1207 #3WH-11,43,FORAKER 1207 3WH-11,2019-05-08,185.98,1937.0,604.0
Foraker 1207 #3WH-11,44,FORAKER 1207 3WH-11,2019-05-09,186.68,1839.0,781.0
Foraker 1207 #3WH-11,45,FORAKER 1207 3WH-11,2019-05-10,182.49,1896.0,723.0
Foraker 1207 #3WH-11,46,FORAKER 1207 3WH-11,2019-05-11,181.11,1865.0,599.0
Foraker 1207 #3WH-11,47,FORAKER 1207 3WH-11,2019-05-12,169.31,1840.0,701.0
Foraker 1207 #3WH-11,48,FORAKER 1207 3WH-11,2019-05-13,176.27,1822.0,672.0
Foraker 1207 #3WH-11,49,FORAKER 1207 3WH-11,2019-05-14,155.43,1774.0,546.0
Foraker 1207 #3WH-11,50,FORAKER 1207 3WH-11,2019-05-15,161.01,1494.0,521.0
Foraker 1207 #3WH-11,51,FORAKER 1207 3WH-11,2019-05-16,169.32,1440.0,504.0
Foraker 1207 #3WH-11,52,FORAKER 1207 3WH-11,2019-05-17,165.15,1446.0,486.0
Foraker 1207 #3WH-11,53,FORAKER 1207 3WH-11,2019-05-18,153.35,1368.0,484.0
Foraker 1207 #3WH-11,54,FORAKER 1207 3WH-11,2019-05-19,124.91,1315.0,502.0
Foraker 1207 #3WH-11,55,FORAKER 1207 3WH-11,2019-05-20,141.55,1111.0,486.0
Foraker 1207 #3WH-11,56,FORAKER 1207 3WH-11,2019-05-21,154.05,1300.0,473.0
Foraker 1207 #3WH-11,57,FORAKER 1207 3WH-11,2019-05-22,154.06,1388.0,494.0
Foraker 1207 #3WH-11,58,FORAKER 1207 3WH-11,2019-05-23,130.45,1437.0,502.0
Foraker 1207 #3WH-11,59,FORAKER 1207 3WH-11,2019-05-24,139.47,1199.0,437.0
Foraker 1207 #3WH-11,60,FORAKER 1207 3WH-11,2019-05-25,138.78,1323.0,445.0
Foraker 1207 #3WH-11,61,FORAKER 1207 3WH-11,2019-05-26,142.25,1318.0,444.0
Foraker 1207 #3WH-11,62,FORAKER 1207 3WH-11,2019-05-27,140.19,1364.0,445.0
Foraker 1207 #3WH-11,63,FORAKER 1207 3WH-11,2019-05-28,125.61,1282.0,424.0
Foraker 1207 #3WH-11,64,FORAKER 1207 3WH-11,2019-05-29,141.57,1230.0,418.0
Foraker 1207 #3WH-11,65,FORAKER 1207 3WH-11,2019-05-30,151.28,1315.0,416.0
Foraker 1207 #3WH-11,66,FORAKER 1207 3WH-11,2019-05-31,128.39,1446.0,422.0
Foraker 1207 #3WH-11,67,FORAKER 1207 3WH-11,2019-06-01,128.36,1217.0,423.0
Foraker 1207 #3WH-11,68,FORAKER 1207 3WH-11,2019-06-02,125.61,1250.0,412.0
Foraker 1207 #3WH-11,69,FORAKER 1207 3WH-11,2019-06-03,140.17,1149.0,399.0
Foraker 1207 #3WH-11,70,FORAKER 1207 3WH-11,2019-06-04,121.43,1277.0,400.0
Foraker 1207 #3WH-11,71,FORAKER 1207 3WH-11,2019-06-05,139.48,1220.0,391.0
Foraker 1207 #3WH-11,72,FORAKER 1207 3WH-11,2019-06-06,120.74,1298.0,392.0
Foraker 1207 #3WH-11,73,FORAKER 1207 3WH-11,2019-06-07,130.45,1260.0,388.0
Foraker 1207 #3WH-11,74,FORAKER 1207 3WH-11,2019-06-08,131.15,1191.0,390.0
Foraker 1207 #3WH-11,75,FORAKER 1207 3WH-11,2019-06-09,116.59,1177.0,393.0
Foraker 1207 #3WH-11,76,FORAKER 1207 3WH-11,2019-06-10,113.82,1172.0,403.0
Foraker 1207 #3WH-11,77,FORAKER 1207 3WH-11,2019-06-11,119.36,1100.0,375.0
Foraker 1207 #3WH-11,78,FORAKER 1207 3WH-11,2019-06-12,111.04,1196.0,404.2
Foraker 1207 #3WH-11,79,FORAKER 1207 3WH-11,2019-06-13,116.58,1118.0,402.32
Foraker 1207 #3WH-11,80,FORAKER 1207 3WH-11,2019-06-14,120.05,1119.0,392.25
Foraker 1207 #3WH-11,81,FORAKER 1207 3WH-11,2019-06-15,131.15,1061.0,385.0
Foraker 1207 #3WH-11,82,FORAKER 1207 3WH-11,2019-06-16,108.25,1303.0,384.0
Foraker 1207 #3WH-11,83,FORAKER 1207 3WH-11,2019-06-17,120.05,939.0,315.0
Foraker 1207 #3WH-11,84,FORAKER 1207 3WH-11,2019-06-18,59.68,1084.0,423.0
Foraker 1207 #3WH-11,85,FORAKER 1207 3WH-11,2019-06-19,0.0,452.0,370.0
Foraker 1207 #3WH-11,86,FORAKER 1207 3WH-11,2019-06-20,174.87,3.0,372.0
Foraker 1207 #3WH-11,87,FORAKER 1207 3WH-11,2019-06-21,111.73,390.0,366.0
Foraker 1207 #3WH-11,88,FORAKER 1207 3WH-11,2019-06-22,122.83,735.0,349.0
Foraker 1207 #3WH-11,89,FORAKER 1207 3WH-11,2019-06-23,88.82,893.0,417.0
Foraker 1207 #3WH-11,90,FORAKER 1207 3WH-11,2019-06-24,105.47,590.0,359.0
Foraker 1207 #3WH-11,91,FORAKER 1207 3WH-11,2019-06-25,76.31,712.0,419.0
Foraker 1207 #3WH-11,92,FORAKER 1207 3WH-11,2019-06-26,7.63,640.0,0.0
Foraker 1207 #3WH-11,93,FORAKER 1207 3WH-11,2019-06-27,0.0,90.0,0.0
Foraker 1207 #3WH-11,94,FORAKER 1207 3WH-11,2019-07-01,95.77,1019.0,322.0
Foraker 1207 #3WH-11,95,FORAKER 1207 3WH-11,2019-07-02,114.51,800.0,312.0
Foraker 1207 #3WH-11,96,FORAKER 1207 3WH-11,2019-07-03,108.93,988.0,309.5
Foraker 1207 #3WH-11,97,FORAKER 1207 3WH-11,2019-07-04,106.18,1002.0,306.0
Foraker 1207 #3WH-11,98,FORAKER 1207 3WH-11,2019-07-05,125.61,1074.0,301.0
Foraker 1207 #3WH-11,99,FORAKER 1207 3WH-11,2019-07-06,99.23,1110.0,302.0
Foraker 1207 #3WH-11,100,FORAKER 1207 3WH-11,2019-07-07,111.72,969.0,294.0
Foraker 1207 #3WH-11,101,FORAKER 1207 3WH-11,2019-07-08,69.37,992.0,295.0
Foraker 1207 #3WH-11,102,FORAKER 1207 3WH-11,2019-07-09,93.68,786.0,291.0
Foraker 1207 #3WH-11,103,FORAKER 1207 3WH-11,2019-07-10,92.99,900.0,354.0
Foraker 1207 #3WH-11,104,FORAKER 1207 3WH-11,2019-07-11,136.0,849.0,331.0
Foraker 1207 #3WH-11,105,FORAKER 1207 3WH-11,2019-07-12,105.49,1354.0,324.0
Foraker 1207 #3WH-11,106,FORAKER 1207 3WH-11,2019-07-13,97.84,1105.0,311.0
Foraker 1207 #3WH-11,107,FORAKER 1207 3WH-11,2019-07-14,29.84,1051.0,308.0
Foraker 1207 #3WH-11,108,FORAKER 1207 3WH-11,2019-07-15,83.97,410.0,301.0
Foraker 1207 #3WH-11,109,FORAKER 1207 3WH-11,2019-07-16,20.13,473.0,305.0
Foraker 1207 #3WH-11,110,FORAKER 1207 3WH-11,2019-07-17,87.44,297.0,306.0
Foraker 1207 #3WH-11,111,FORAKER 1207 3WH-11,2019-07-18,2.08,519.0,301.0
Foraker 1207 #3WH-11,112,FORAKER 1207 3WH-11,2019-07-19,135.32,19.0,301.0
Foraker 1207 #3WH-11,113,FORAKER 1207 3WH-11,2019-07-20,36.09,457.0,298.0
Foraker 1207 #3WH-11,114,FORAKER 1207 3WH-11,2019-07-21,121.44,608.0,293.0
Foraker 1207 #3WH-11,115,FORAKER 1207 3WH-11,2019-07-22,86.05,577.0,294.0
Foraker 1207 #3WH-11,116,FORAKER 1207 3WH-11,2019-07-23,71.47,1046.0,289.16
Foraker 1207 #3WH-11,117,FORAKER 1207 3WH-11,2019-07-24,71.48,1008.55,254.12
Foraker 1207 #3WH-11,118,FORAKER 1207 3WH-11,2019-07-25,102.71,805.69,404.55
Foraker 1207 #3WH-11,119,FORAKER 1207 3WH-11,2019-07-26,98.55,912.06,409.82
Foraker 1207 #3WH-11,120,FORAKER 1207 3WH-11,2019-07-27,85.35,1095.99,290.0
Foraker 1207 #3WH-11,121,FORAKER 1207 3WH-11,2019-07-28,100.62,1073.53,369.09
Foraker 1207 #3WH-11,122,FORAKER 1207 3WH-11,2019-07-29,89.51,1088.24,341.51
Foraker 1207 #3WH-11,123,FORAKER 1207 3WH-11,2019-07-30,99.93,901.0,303.41
Foraker 1207 #3WH-11,124,FORAKER 1207 3WH-11,2019-07-31,109.64,1284.0,283.51
Foraker 1207 #3WH-11,125,,,,,
Foraker 1207 #3WH-11,126,,,,,
Foraker 1207 #3WH-11,127,,,,,
Foraker 1207 #3WH-11,128,,,,,
Foraker 1207 #3WH-11,129,,,,,
Foraker 1207 #3WH-11,130,,,,,
Foraker 1207 #3WH-11,131,,,,,
Foraker 1207 #3WH-11,132,,,,,
Foraker 1207 #3WH-11,133,,,,,
Foraker 1207 #3WH-11,134,,,,,
Foraker 1207 #3WH-11,135,,,,,
Foraker 1207 #3WH-11,136,,,,,
Foraker 1207 #3WH-11,137,,,,,
Foraker 1207 #3WH-11,138,,,,,
Foraker 1207 #3WH-11,139,,,,,
Foraker 1207 #3WH-11,140,,,,,
Foraker 1207 #3WH-11,141,,,,,
Foraker 1207 #3WH-11,142,,,,,
Foraker 1207 #3WH-11,143,,,,,
Foraker 1207 #3WH-11,144,,,,,
Foraker 1207 #3WH-11,145,,,,,
Foraker 1207 #3WH-11,146,,,,,
Foraker 1207 #3WH-11,147,,,,,
Foraker 1207 #3WH-11,148,,,,,
Foraker 1207 #3WH-11,149,,,,,
Foraker 1207 #3WH-11,150,,,,,
Foraker 1207 #3WH-11,151,,,,,
Foraker 1207 #3WH-11,152,,,,,
Foraker 1207 #3WH-11,153,,,,,
Foraker 1207 #3WH-11,154,,,,,
Foraker 1207 #3WH-11,155,,,,,
Foraker 1207 #3WH-11,156,,,,,
