,,LEASE,D_DATE,OIL,GAS
FORAKER 1207 9LMH-11,125,FORAKER 1207 9LMH-11,2019-08-04,69.36,1449.43
FORAKER 1207 9LMH-11,126,FORAKER 1207 9LMH-11,2019-08-05,71.45,1445.72
FORAKER 1207 9LMH-11,127,FORAKER 1207 9LMH-11,2019-08-06,88.78,1435.04
FORAKER 1207 9LMH-11,128,FORAKER 1207 9LMH-11,2019-08-07,65.91,1415.93
FORAKER 1207 9LMH-11,129,FORAKER 1207 9LMH-11,2019-08-08,42.31,1388.47
FORAKER 1207 9LMH-11,130,FORAKER 1207 9LMH-11,2019-08-09,65.2,1418.13
FORAKER 1207 9LMH-11,131,FORAKER 1207 9LMH-11,2019-08-10,81.85,1393.2
FORAKER 1207 9LMH-11,132,FORAKER 1207 9LMH-11,2019-08-11,58.96,1348.71
FORAKER 1207 9LMH-11,133,FORAKER 1207 9LMH-11,2019-08-12,56.88,1335.02
FORAKER 1207 9LMH-11,134,FORAKER 1207 9LMH-11,2019-08-13,46.48,1343.51
FORAKER 1207 9LMH-11,135,FORAKER 1207 9LMH-11,2019-08-14,58.96,1371.51
FORAKER 1207 9LMH-11,136,FORAKER 1207 9LMH-11,2019-08-15,48.56,1112.76
FORAKER 1207 9LMH-11,137,FORAKER 1207 9LMH-11,2019-08-16,57.57,1434.49
FORAKER 1207 9LMH-11,138,FORAKER 1207 9LMH-11,2019-08-17,63.13,1396.34
FORAKER 1207 9LMH-11,139,FORAKER 1207 9LMH-11,2019-08-18,57.57,1470.91
FORAKER 1207 9LMH-11,140,FORAKER 1207 9LMH-11,2019-08-19,58.26,1439.55
FORAKER 1207 9LMH-11,141,FORAKER 1207 9LMH-11,2019-08-20,60.35,1363.83
FORAKER 1207 9LMH-11,142,FORAKER 1207 9LMH-11,2019-08-21,73.53,1344.48
FORAKER 1207 9LMH-11,143,FORAKER 1207 9LMH-11,2019-08-22,35.36,1318.49
FORAKER 1207 9LMH-11,144,FORAKER 1207 9LMH-11,2019-08-23,54.79,1308.69
FORAKER 1207 9LMH-11,145,FORAKER 1207 9LMH-11,2019-08-24,62.42,1336.12
FORAKER 1207 9LMH-11,146,FORAKER 1207 9LMH-11,2019-08-25,53.41,1217.0
FORAKER 1207 9LMH-11,147,FORAKER 1207 9LMH-11,2019-08-26,40.92,1258.86
FORAKER 1207 9LMH-11,148,FORAKER 1207 9LMH-11,2019-08-27,67.29,1253.42
FORAKER 1207 9LMH-11,149,FORAKER 1207 9LMH-11,2019-08-28,70.75,1252.12
FORAKER 1207 9LMH-11,150,FORAKER 1207 9LMH-11,2019-08-29,49.95,1274.35
FORAKER 1207 9LMH-11,151,FORAKER 1207 9LMH-11,2019-08-30,53.41,1268.08
FORAKER 1207 9LMH-11,152,FORAKER 1207 9LMH-11,2019-08-31,54.1,1274.09
FORAKER 1207 9LMH-11,153,FORAKER 1207 9LMH-11,2019-09-01,64.52,1276.63
FORAKER 1207 9LMH-11,154,FORAKER 1207 9LMH-11,2019-09-02,52.73,1270.94
FORAKER 1207 9LMH-11,155,FORAKER 1207 9LMH-11,2019-09-03,49.94,1265.05
FORAKER 1207 9LMH-11,156,FORAKER 1207 9LMH-11,2019-09-04,51.34,1253.66
FORAKER 1207 9LMH-11,157,FORAKER 1207 9LMH-11,2019-09-05,47.86,1255.89
FORAKER 1207 9LMH-11,158,FORAKER 1207 9LMH-11,2019-09-06,58.96,1255.91
FORAKER 1207 9LMH-11,159,FORAKER 1207 9LMH-11,2019-09-07,48.55,1254.25
FORAKER 1207 9LMH-11,160,FORAKER 1207 9LMH-11,2019-09-08,51.33,1238.0
FORAKER 1207 9LMH-11,161,FORAKER 1207 9LMH-11,2019-09-09,50.62,1234.81
FORAKER 1207 9LMH-11,162,FORAKER 1207 9LMH-11,2019-09-10,43.01,1225.13
FORAKER 1207 9LMH-11,163,FORAKER 1207 9LMH-11,2019-09-11,48.56,1213.28
FORAKER 1207 9LMH-11,164,FORAKER 1207 9LMH-11,2019-09-12,45.78,1203.66
FORAKER 1207 9LMH-11,165,FORAKER 1207 9LMH-11,2019-09-13,71.44,1208.31
FORAKER 1207 9LMH-11,166,FORAKER 1207 9LMH-11,2019-09-14,50.63,1190.78
FORAKER 1207 9LMH-11,167,FORAKER 1207 9LMH-11,2019-09-15,41.62,1191.75
FORAKER 1207 9LMH-11,168,FORAKER 1207 9LMH-11,2019-09-16,50.63,1191.16
FORAKER 1207 9LMH-11,169,FORAKER 1207 9LMH-11,2019-09-17,65.2,1184.5
FORAKER 1207 9LMH-11,170,FORAKER 1207 9LMH-11,2019-09-18,48.56,1181.31
FORAKER 1207 9LMH-11,171,FORAKER 1207 9LMH-11,2019-09-19,47.85,1174.72
FORAKER 1207 9LMH-11,172,FORAKER 1207 9LMH-11,2019-09-20,23.59,1171.66
FORAKER 1207 9LMH-11,173,FORAKER 1207 9LMH-11,2019-09-21,44.4,1159.81
FORAKER 1207 9LMH-11,174,FORAKER 1207 9LMH-11,2019-09-22,44.39,1161.22
FORAKER 1207 9LMH-11,175,FORAKER 1207 9LMH-11,2019-09-23,42.32,1154.28
FORAKER 1207 9LMH-11,176,FORAKER 1207 9LMH-11,2019-09-24,44.39,1149.88
FORAKER 1207 9LMH-11,177,FORAKER 1207 9LMH-11,2019-09-25,46.48,1123.22
FORAKER 1207 9LMH-11,178,FORAKER 1207 9LMH-11,2019-09-26,31.91,1111.25
FORAKER 1207 9LMH-11,179,FORAKER 1207 9LMH-11,2019-09-27,63.13,1113.19
FORAKER 1207 9LMH-11,180,FORAKER 1207 9LMH-11,2019-09-28,38.84,1121.38
FORAKER 1207 9LMH-11,181,FORAKER 1207 9LMH-11,2019-09-29,46.48,1115.22
FORAKER 1207 9LMH-11,182,FORAKER 1207 9LMH-11,2019-09-30,42.32,1106.41
FORAKER 1207 9LMH-11,183,FORAKER 1207 9LMH-11,2019-10-01,41.62,1103.44
FORAKER 1207 9LMH-11,184,FORAKER 1207 9LMH-11,2019-10-02,33.29,1065.03
FORAKER 1207 9LMH-11,185,FORAKER 1207 9LMH-11,2019-10-03,37.46,1047.06
FORAKER 1207 9LMH-11,186,FORAKER 1207 9LMH-11,2019-10-04,55.49,1044.56
FORAKER 1207 9LMH-11,187,FORAKER 1207 9LMH-11,2019-10-05,41.61,1034.88
FORAKER 1207 9LMH-11,188,FORAKER 1207 9LMH-11,2019-10-06,36.06,1027.16
FORAKER 1207 9LMH-11,189,FORAKER 1207 9LMH-11,2019-10-07,43.69,1028.97
FORAKER 1207 9LMH-11,190,FORAKER 1207 9LMH-11,2019-10-08,34.68,1023.94
FORAKER 1207 9LMH-11,191,FORAKER 1207 9LMH-11,2019-10-09,42.31,1012.34
FORAKER 1207 9LMH-11,192,FORAKER 1207 9LMH-11,2019-10-10,37.46,1016.66
FORAKER 1207 9LMH-11,193,FORAKER 1207 9LMH-11,2019-10-11,37.45,1013.09
FORAKER 1207 9LMH-11,194,FORAKER 1207 9LMH-11,2019-10-12,0.0,1005.53
FORAKER 1207 9LMH-11,195,FORAKER 1207 9LMH-11,2019-10-13,0.0,0.0
