,Date,X,GROSS WTR
109,2019-07-10,443.16,FORAKER 1207 1SMH-11
110,2019-07-11,446.01,FORAKER 1207 1SMH-11
111,2019-07-12,469.86,FORAKER 1207 1SMH-11
112,2019-07-13,437.8,FORAKER 1207 1SMH-11
113,2019-07-14,440.62,FORAKER 1207 1SMH-11
114,2019-07-15,291.7,FORAKER 1207 1SMH-11
115,2019-07-16,304.71,FORAKER 1207 1SMH-11
116,2019-07-17,134.17,FORAKER 1207 1SMH-11
117,2019-07-18,391.59,FORAKER 1207 1SMH-11
118,2019-07-19,1.4,FORAKER 1207 1SMH-11
119,2019-07-20,563.55,FORAKER 1207 1SMH-11
120,2019-07-21,347.83,FORAKER 1207 1SMH-11
121,2019-07-22,458.41,FORAKER 1207 1SMH-11
122,2019-07-23,491.6,FORAKER 1207 1SMH-11
123,2019-07-24,469.72,FORAKER 1207 1SMH-11
124,2019-07-25,375.54,FORAKER 1207 1SMH-11
125,2019-07-26,407.41,FORAKER 1207 1SMH-11
126,2019-07-27,416.8,FORAKER 1207 1SMH-11
127,2019-07-28,407.23,FORAKER 1207 1SMH-11
128,2019-07-29,400.07,FORAKER 1207 1SMH-11
129,2019-07-30,348.52,FORAKER 1207 1SMH-11
130,2019-07-31,440.07,FORAKER 1207 1SMH-11
131,2019-08-01,438.3,FORAKER 1207 1SMH-11
132,2019-08-02,468.31,FORAKER 1207 1SMH-11
133,2019-08-03,444.74,FORAKER 1207 1SMH-11
134,2019-08-04,409.43,FORAKER 1207 1SMH-11
135,2019-08-05,261.28,FORAKER 1207 1SMH-11
136,2019-08-06,0.0,FORAKER 1207 1SMH-11
137,2019-08-07,341.45,FORAKER 1207 1SMH-11
138,2019-08-08,77.08,FORAKER 1207 1SMH-11
139,2019-08-09,414.32,FORAKER 1207 1SMH-11
140,2019-08-10,435.72,FORAKER 1207 1SMH-11
141,2019-08-11,399.74,FORAKER 1207 1SMH-11
142,2019-08-12,195.42,FORAKER 1207 1SMH-11
143,2019-08-13,375.22,FORAKER 1207 1SMH-11
144,2019-08-14,393.67,FORAKER 1207 1SMH-11
145,2019-08-15,196.46,FORAKER 1207 1SMH-11
146,2019-08-16,154.02,FORAKER 1207 1SMH-11
147,2019-08-17,137.01,FORAKER 1207 1SMH-11
148,2019-08-18,167.46,FORAKER 1207 1SMH-11
149,2019-08-19,217.53,FORAKER 1207 1SMH-11
150,2019-08-20,128.21,FORAKER 1207 1SMH-11
151,2019-08-21,13.12,FORAKER 1207 1SMH-11
152,2019-08-22,191.21,FORAKER 1207 1SMH-11
153,2019-08-23,312.01,FORAKER 1207 1SMH-11
154,2019-08-24,484.99,FORAKER 1207 1SMH-11
155,2019-08-25,436.53,FORAKER 1207 1SMH-11
156,2019-08-26,410.95,FORAKER 1207 1SMH-11
157,2019-08-27,395.94,FORAKER 1207 1SMH-11
158,2019-08-28,408.81,FORAKER 1207 1SMH-11
159,2019-08-29,409.19,FORAKER 1207 1SMH-11
160,2019-08-30,394.59,FORAKER 1207 1SMH-11
161,2019-08-31,390.04,FORAKER 1207 1SMH-11
162,2019-09-01,374.82,FORAKER 1207 1SMH-11
163,2019-09-02,367.86,FORAKER 1207 1SMH-11
164,2019-09-03,259.17,FORAKER 1207 1SMH-11
165,2019-09-04,383.84,FORAKER 1207 1SMH-11
166,2019-09-05,,FORAKER 1207 1SMH-11
167,2019-09-06,,FORAKER 1207 1SMH-11
168,2019-09-07,,FORAKER 1207 1SMH-11
169,2019-09-08,,FORAKER 1207 1SMH-11
170,2019-09-09,,FORAKER 1207 1SMH-11
171,2019-09-10,,FORAKER 1207 1SMH-11
172,2019-09-11,,FORAKER 1207 1SMH-11
173,2019-09-12,,FORAKER 1207 1SMH-11
174,2019-09-13,,FORAKER 1207 1SMH-11
175,2019-09-14,,FORAKER 1207 1SMH-11
176,2019-09-15,,FORAKER 1207 1SMH-11
177,2019-09-16,,FORAKER 1207 1SMH-11
178,2019-09-17,,FORAKER 1207 1SMH-11
179,2019-09-18,,FORAKER 1207 1SMH-11
180,2019-09-19,,FORAKER 1207 1SMH-11
181,2019-09-20,,FORAKER 1207 1SMH-11
182,2019-09-21,,FORAKER 1207 1SMH-11
183,2019-09-22,,FORAKER 1207 1SMH-11
184,2019-09-23,,FORAKER 1207 1SMH-11
0,2019-03-23,,S1
