Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal"
Silvertip A 3H,1.0,22911.0,23071.0,24.0,23090.0,12274.0,417.3,419.6,419.9,43205.0,3730.0,9480.0,0.3,0.62,0.32,66.5,11260.0,71.2,11740.0,5080.0,0.85,55.0,18353.0,,30.0,14030.0,300.0,14360.0,505240.0,505240.0,505240.0,505240.0,585.0,7.0,117.0,45.0,117.0,20.0,1269.0
Silvertip A 3H,2.0,22712.0,22872.0,24.0,22891.0,12273.0,414.3,416.7,417.0,43205.0,4750.0,7320.0,0.9,0.03,0.13,68.9,10465.0,70.5,10910.0,5140.0,0.85,55.0,17673.0,,30.0,10890.0,316.0,11236.0,506200.0,506200.0,506200.0,506200.0,450.0,8.0,92.0,34.0,92.0,10.0,1251.0
Silvertip A 3H,3.0,22513.0,22673.0,24.0,22692.0,12272.0,411.3,413.7,414.0,43206.0,4960.0,6020.0,0.29,0.42,0.13,69.1,10707.0,70.4,11100.0,5223.0,0.86,55.0,18134.0,,29.0,10942.0,289.0,11260.0,503640.0,503640.0,503640.0,503640.0,400.0,7.0,92.0,34.0,92.0,20.0,1206.0
Silvertip A 3H,4.0,22314.0,22474.0,24.0,22493.0,12269.0,408.3,410.7,411.0,43206.0,4960.0,6030.0,0.63,0.84,0.2,70.2,10415.0,70.8,11070.0,5275.0,0.86,55.0,17920.0,,27.0,11328.0,310.0,11665.0,502240.0,502240.0,502240.0,502240.0,429.0,7.0,94.0,35.0,94.0,10.0,1129.0
Silvertip A 3H,5.0,22115.0,22275.0,24.0,22294.0,12269.0,405.4,407.8,408.0,43207.0,4857.0,6030.0,0.03,0.17,0.14,63.3,10010.0,70.8,11230.0,5030.0,0.84,55.0,15530.0,,28.0,10857.0,307.0,11192.0,495460.0,495460.0,495460.0,495460.0,319.0,7.0,92.0,34.0,92.0,20.0,1195.0
Silvertip A 3H,6.0,21916.0,22076.0,24.0,22095.0,12268.0,402.4,404.8,405.1,43207.0,4700.0,7070.0,0.44,0.57,0.13,66.0,11146.0,70.9,11650.0,5220.0,0.86,55.0,18030.0,,28.0,10935.0,235.0,11198.0,505460.0,505460.0,505460.0,505460.0,345.0,7.0,92.0,34.0,92.0,10.0,1190.0
Silvertip A 3H,7.0,21717.0,21877.0,24.0,21896.0,12268.0,399.4,401.8,402.1,43207.0,4540.0,6670.0,0.78,0.92,0.14,63.2,10846.0,70.3,11960.0,5170.0,0.86,55.0,16801.0,,28.0,10763.0,224.0,11015.0,496260.0,496260.0,496260.0,496260.0,446.0,7.0,92.0,34.0,92.0,10.0,1161.0
Silvertip A 3H,8.0,21518.0,21678.0,24.0,21697.0,12267.0,396.5,398.8,399.1,43208.0,4550.0,6950.0,0.11,0.27,0.16,68.9,11545.0,71.0,11720.0,5220.0,0.86,55.0,19496.0,,29.0,11859.0,209.0,12097.0,500200.0,500200.0,500200.0,500200.0,495.0,7.0,99.0,37.0,99.0,10.0,1224.0
Silvertip A 3H,9.0,21319.0,21479.0,24.0,21498.0,12266.0,393.5,395.9,396.2,43208.0,4650.0,8170.0,0.47,0.62,0.15,69.2,11631.0,70.2,12480.0,4880.0,0.83,55.0,19727.0,,30.0,10635.0,242.0,10907.0,462480.0,462480.0,462480.0,462480.0,441.0,8.0,89.0,34.0,89.0,20.0,1261.0
Silvertip A 3H,10.0,21120.0,21280.0,24.0,21290.0,12265.0,390.5,392.9,393.0,43208.0,4530.0,7090.0,0.78,0.21,0.43,70.0,11500.0,66.0,12000.0,5310.0,0.87,55.0,19730.0,,30.0,11846.0,230.0,12106.0,501020.0,501020.0,501020.0,501020.0,492.0,8.0,99.0,37.0,99.0,10.0,1269.0
Silvertip A 3H,11.0,20921.0,21081.0,24.0,21100.0,12265.0,387.5,389.9,390.2,43209.0,4810.0,6940.0,0.36,0.5,0.13,69.4,11596.0,70.0,11870.0,5280.0,0.86,55.0,19725.0,,30.0,11219.0,188.0,11437.0,492480.0,492480.0,492480.0,492480.0,465.0,8.0,94.0,36.0,94.0,10.0,1256.0
Silvertip A 3H,12.0,20722.0,20882.0,24.0,20901.0,12263.0,384.6,387.0,387.2,43209.0,4740.0,7310.0,0.64,0.77,0.13,69.5,11357.0,69.8,12000.0,5210.0,0.86,55.0,19346.0,,29.0,10919.0,198.0,11145.0,498280.0,498280.0,498280.0,498280.0,453.0,7.0,92.0,34.0,92.0,10.0,1211.0
Silvertip A 3H,13.0,20523.0,20683.0,24.0,20702.0,12263.0,381.6,384.0,384.3,43209.0,4850.0,6640.0,0.94,0.07,0.13,69.5,11195.0,71.1,12170.0,5240.0,0.86,55.0,19070.0,,30.0,10956.0,196.0,11182.0,503500.0,503500.0,503500.0,503500.0,454.0,8.0,92.0,34.0,92.0,10.0,1277.0
Silvertip A 3H,14.0,20324.0,20484.0,24.0,20503.0,12262.0,378.6,381.0,381.3,43209.0,4540.0,6995.0,0.26,0.39,0.13,69.5,11272.0,71.0,11850.0,5300.0,0.87,55.0,19201.0,,29.0,10766.0,191.0,10986.0,500060.0,500060.0,500060.0,500060.0,414.0,7.0,91.0,34.0,91.0,10.0,1206.0
Silvertip A 3H,15.0,20125.0,20285.0,24.0,20304.0,12258.0,375.7,378.0,378.3,43209.0,4630.0,6800.0,0.54,0.68,0.14,69.5,11366.0,70.0,12380.0,5345.0,0.87,55.0,19361.0,,30.0,11365.0,197.0,11592.0,503040.0,503040.0,503040.0,503040.0,424.0,8.0,95.0,36.0,95.0,10.0,1251.0
Silvertip A 3H,16.0,19926.0,20086.0,24.0,20105.0,12256.0,372.7,375.1,375.4,43209.0,4620.0,6840.0,0.87,0.09,0.22,69.4,11625.0,71.1,12030.0,5410.0,0.88,55.0,19774.0,,30.0,12134.0,188.0,12352.0,503980.0,503980.0,503980.0,503980.0,483.0,7.0,100.0,37.0,100.0,10.0,1264.0
Silvertip A 3H,17.0,19727.0,19887.0,24.0,19906.0,12254.0,369.7,372.1,372.4,43211.0,4650.0,6680.0,0.25,0.38,0.13,66.5,11186.0,70.5,12090.0,5251.0,0.86,55.0,18243.0,,30.0,11014.0,179.0,11223.0,506400.0,506400.0,506400.0,506400.0,457.0,8.0,92.0,34.0,92.0,10.0,1269.0
Silvertip A 3H,18.0,19528.0,19688.0,24.0,19707.0,12251.0,366.7,369.1,369.4,43211.0,4455.0,6600.0,0.53,0.67,0.14,68.3,10844.0,69.7,11360.0,3950.0,0.76,55.0,18142.0,,30.0,10802.0,170.0,11002.0,503640.0,503640.0,503640.0,503640.0,448.0,8.0,91.0,34.0,91.0,10.0,1245.0
Silvertip A 3H,19.0,19329.0,19489.0,24.0,19508.0,12251.0,363.8,366.2,366.4,43211.0,4610.0,6390.0,0.89,0.01,0.12,70.4,11020.0,70.8,11630.0,5220.0,0.86,55.0,19015.0,,29.0,10753.0,175.0,10957.0,506040.0,506040.0,506040.0,506040.0,446.0,7.0,90.0,34.0,90.0,10.0,1224.0
Silvertip A 3H,20.0,19130.0,19290.0,24.0,19309.0,12248.0,360.8,363.2,363.5,43212.0,4880.0,6440.0,0.17,0.3,0.13,70.4,11149.0,71.0,11390.0,5240.0,0.86,55.0,19240.0,,30.0,10856.0,157.0,11043.0,504320.0,504320.0,504320.0,504320.0,450.0,8.0,91.0,34.0,91.0,10.0,1275.0
Silvertip A 3H,21.0,18931.0,19091.0,24.0,19110.0,12246.0,357.8,360.2,360.5,43212.0,4630.0,6680.0,0.44,0.56,0.12,70.2,10983.0,71.1,11290.0,5190.0,0.86,55.0,18885.0,,29.0,10749.0,163.0,10940.0,500420.0,500420.0,500420.0,500420.0,446.0,7.0,90.0,34.0,90.0,10.0,1206.0
Silvertip A 3H,22.0,18732.0,18892.0,24.0,18911.0,12245.0,354.9,357.2,357.5,43212.0,4517.0,6420.0,0.78,0.95,0.17,69.6,10902.0,70.2,11270.0,5210.0,0.86,55.0,18598.0,,28.0,10760.0,155.0,10943.0,503180.0,503180.0,503180.0,503180.0,446.0,7.0,90.0,34.0,90.0,10.0,1160.0
Silvertip A 3H,23.0,18533.0,18693.0,24.0,18712.0,12243.0,351.9,354.3,354.6,43213.0,4730.0,8910.0,0.21,0.34,0.13,69.7,11091.0,71.0,11620.0,5424.0,0.88,55.0,18942.0,,29.0,10835.0,151.0,11016.0,502140.0,502140.0,502140.0,502140.0,449.0,7.0,91.0,34.0,91.0,10.0,1223.0
Silvertip A 3H,24.0,18334.0,18494.0,24.0,18513.0,12235.0,348.9,351.3,351.6,43213.0,4900.0,6730.0,0.47,0.67,0.19,49.3,9045.0,70.2,12485.0,5280.0,0.87,55.0,10938.0,,30.0,12030.0,146.0,12206.0,500840.0,500840.0,500840.0,500840.0,500.0,8.0,101.0,38.0,101.0,20.0,1260.0
Silvertip A 3H,25.0,18135.0,18295.0,24.0,18314.0,12231.0,345.9,348.3,348.6,43213.0,4830.0,6640.0,0.85,0.06,0.21,70.1,11126.0,70.6,12050.0,5200.0,0.86,55.0,19116.0,,30.0,11246.0,146.0,11422.0,497040.0,497040.0,497040.0,497040.0,467.0,8.0,95.0,35.0,95.0,10.0,1268.0
Silvertip A 3H,26.0,17936.0,18096.0,24.0,18115.0,12227.0,343.0,345.4,345.6,43214.0,4840.0,6950.0,0.19,0.4,0.21,54.6,10021.0,70.4,11270.0,5320.0,0.87,55.0,13420.0,,30.0,12385.0,131.0,12546.0,506860.0,506860.0,506860.0,506860.0,498.0,8.0,104.0,39.0,104.0,20.0,1260.0
Silvertip A 3H,27.0,17737.0,17897.0,24.0,17916.0,12222.0,340.0,342.4,342.7,43214.0,4500.0,7090.0,0.98,0.11,0.13,67.8,11390.0,69.8,11700.0,5220.0,0.86,55.0,18928.0,,29.0,10686.0,122.0,10837.0,497820.0,497820.0,497820.0,497820.0,443.0,7.0,90.0,34.0,90.0,10.0,1210.0
