Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,22911.00,22712.00,22513.00,22314.00,22115.00,21916.00,21717.00,21518.00,21319.00,21120.00,20921.00,20722.00,20523.00,20324.00,20125.00,19926.00,19727.00,19528.00,19329.00,19130.00,18931.00,18732.00,18533.00,18334.00,18135.00,17936.00,17737.00,17538.00,17339.00,17140.00,16941.00,16742.00,16543.00,16344.00,16145.00,15946.00,15747.00,15548.00,15349.00,15150.00,14951.00,14752.00,14553.00,14354.00,14155.00,13956.00,13757.00,13558.00,13359.00,13160.00,12961.00,12762.00,12563.00
Bottom Perf,23071.00,22872.00,22673.00,22474.00,22275.00,22076.00,21877.00,21678.00,21479.00,21280.00,21081.00,20882.00,20683.00,20484.00,20285.00,20086.00,19887.00,19688.00,19489.00,19290.00,19091.00,18892.00,18693.00,18494.00,18295.00,18096.00,17897.00,17698.00,17499.00,17300.00,17101.00,16902.00,16703.00,16504.00,16305.00,16106.00,15907.00,15708.00,15509.00,15310.00,15111.00,14912.00,14713.00,14514.00,14315.00,14116.00,13917.00,13718.00,13519.00,13320.00,13121.00,12922.00,12723.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23090.00,22891.00,22692.00,22493.00,22294.00,22095.00,21896.00,21697.00,21498.00,21290.00,21100.00,20901.00,20702.00,20503.00,20304.00,20105.00,19906.00,19707.00,19508.00,19309.00,19110.00,18911.00,18712.00,18513.00,18314.00,18115.00,17916.00,17717.00,17518.00,17319.00,17120.00,16921.00,16722.00,16523.00,16324.00,16125.00,15926.00,15727.00,15528.00,15329.00,15130.00,14931.00,14732.00,14533.00,14334.00,14135.00,13936.00,13737.00,13538.00,13339.00,13140.00,12941.00,12742.00
TVD,12274.00,12273.00,12272.00,12269.00,12269.00,12268.00,12268.00,12267.00,12266.00,12265.00,12265.00,12263.00,12263.00,12262.00,12258.00,12256.00,12254.00,12251.00,12251.00,12248.00,12246.00,12245.00,12243.00,12235.00,12231.00,12227.00,12222.00,12218.00,12214.00,12212.00,12203.00,12197.00,12194.00,12191.00,12186.00,12180.00,12185.00,12189.00,12186.00,12182.00,12180.00,12177.00,12173.00,12168.00,12165.00,12159.00,12155.00,12151.00,12146.00,12143.00,12140.00,12132.00,12124.00
Capacity Top Perf,417.30,414.30,411.30,408.30,405.40,402.40,399.40,396.50,393.50,390.50,387.50,384.60,381.60,378.60,375.70,372.70,369.70,366.70,363.80,360.80,357.80,354.90,351.90,348.90,345.90,343.00,340.00,337.00,334.10,331.10,328.10,325.10,322.20,319.20,316.20,313.30,310.30,307.30,304.30,301.40,298.40,295.40,292.50,289.50,286.50,283.50,280.60,277.60,274.60,271.70,268.70,265.70,262.70
Capacity Bottom Perf,419.60,416.70,413.70,410.70,407.80,404.80,401.80,398.80,395.90,392.90,389.90,387.00,384.00,381.00,378.00,375.10,372.10,369.10,366.20,363.20,360.20,357.20,354.30,351.30,348.30,345.40,342.40,339.40,336.40,333.50,330.50,327.50,324.60,321.60,318.60,315.60,312.70,309.70,306.70,303.80,300.80,297.80,294.80,291.90,288.90,285.90,283.00,280.00,277.00,274.00,271.10,268.10,265.10
Capacity Plug,419.90,417.00,414.00,411.00,408.00,405.10,402.10,399.10,396.20,393.00,390.20,387.20,384.30,381.30,378.30,375.40,372.40,369.40,366.40,363.50,360.50,357.50,354.60,351.60,348.60,345.60,342.70,339.70,336.70,333.80,330.80,327.80,324.80,321.90,318.90,315.90,313.00,310.00,307.00,304.00,301.10,298.10,295.10,292.20,289.20,286.20,283.20,280.30,277.30,274.30,271.40,268.40,265.40
Date,43205.00,43205.00,43206.00,43206.00,43207.00,43207.00,43207.00,43208.00,43208.00,43208.00,43209.00,43209.00,43209.00,43209.00,43209.00,43209.00,43211.00,43211.00,43211.00,43212.00,43212.00,43212.00,43213.00,43213.00,43213.00,43214.00,43214.00,43215.00,43215.00,43215.00,43216.00,43216.00,43216.00,43217.00,43217.00,43217.00,43217.00,43218.00,43218.00,43218.00,43218.00,43219.00,43219.00,43219.00,43220.00,43220.00,43220.00,43221.00,43221.00,43221.00,43221.00,43221.00,43222.00
IWHP,3730.00,4750.00,4960.00,4960.00,4857.00,4700.00,4540.00,4550.00,4650.00,4530.00,4810.00,4740.00,4850.00,4540.00,4630.00,4620.00,4650.00,4455.00,4610.00,4880.00,4630.00,4517.00,4730.00,4900.00,4830.00,4840.00,4500.00,4920.00,5020.00,4890.00,4810.00,4860.00,4780.00,4880.00,4940.00,5000.00,5000.00,4927.00,5010.00,4970.00,4860.00,4860.00,4940.00,4900.00,4950.00,4970.00,4976.00,4980.00,5000.00,5030.00,5020.00,4910.00,5000.00
