Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,22737.00,22538.00,22339.00,22140.00,21942.00,21743.00,21544.00,21345.00,21147.00,20948.00,20749.00,20550.00,20351.00,20153.00,19954.00,19755.00,19556.00,19357.00,19159.00,18960.00,18761.00,18562.00,18364.00,18165.00,17966.00,17767.00,17568.00,17370.00,17171.00,16972.00,16773.00,16574.00,16376.00,16177.00,18978.00,15779.00,15581.00,15382.00,15183.00,14984.00,14785.00,14587.00,14388.00,14189.00,13990.00,13791.00,13593.00,13394.00,13195.00,12996.00,12798.00,12599.00,12400.00
Bottom Perf,22897.00,22698.00,22499.00,22300.00,22101.00,21903.00,21704.00,21505.00,21306.00,21108.00,20909.00,20710.00,20511.00,20312.00,20114.00,19915.00,19716.00,19517.00,19318.00,19120.00,18921.00,18722.00,18523.00,18325.00,18126.00,17927.00,17728.00,17529.00,17331.00,17132.00,16933.00,16734.00,16535.00,16337.00,16138.00,15939.00,15740.00,15542.00,15343.00,15144.00,14945.00,14746.00,14548.00,14349.00,14150.00,13951.00,13752.00,13554.00,13355.00,13156.00,12957.00,12759.00,12560.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,22916.00,22717.00,22518.00,22319.00,22120.00,21922.00,21723.00,21524.00,21325.00,21127.00,20928.00,20729.00,20530.00,20331.00,20133.00,19934.00,19735.00,19536.00,19337.00,19139.00,18940.00,18741.00,18542.00,18344.00,18145.00,17946.00,17747.00,17548.00,17350.00,17151.00,16952.00,16753.00,16554.00,16356.00,16157.00,15958.00,15759.00,15561.00,15362.00,15163.00,14964.00,14765.00,14567.00,14368.00,14169.00,13970.00,13771.00,13573.00,13374.00,13175.00,12976.00,12778.00,12579.00
TVD,11886.00,11886.00,11893.00,11903.00,11914.00,11926.00,11931.00,11936.00,11940.00,11948.00,11946.00,11946.00,11949.00,11952.00,11959.00,11964.00,11967.00,11973.00,11973.00,11974.00,11980.00,11982.00,11984.00,11986.00,11986.00,11986.00,11986.00,11986.00,11986.00,11987.00,11987.00,11987.00,11987.00,11987.00,11987.00,11987.00,11990.00,11989.00,11984.00,11982.00,11981.00,11982.00,11984.00,11986.00,11985.00,11984.00,11986.00,11987.00,11988.00,11988.00,11991.00,11994.00,11995.00
Capacity Top Perf,588.00,585.00,582.00,579.00,576.10,573.10,570.10,567.20,564.20,561.20,558.30,555.30,552.30,549.40,546.40,543.40,540.50,537.50,534.50,531.60,528.60,525.60,522.70,519.70,516.70,513.80,510.80,507.80,504.90,501.90,498.90,495.90,493.00,490.00,531.80,484.10,481.10,478.10,475.20,472.20,469.20,466.30,463.30,460.30,457.40,454.40,451.40,448.50,445.50,442.50,439.60,436.60,433.60
Capacity Bottom Perf,590.30,587.40,584.40,581.40,578.50,575.50,572.50,569.60,566.60,563.60,560.70,557.70,554.70,551.80,548.80,545.80,542.90,539.90,536.90,534.00,531.00,528.00,525.00,522.10,519.10,516.10,513.20,510.20,507.20,504.30,501.30,498.30,495.40,492.40,489.40,486.50,483.50,480.50,477.60,474.60,471.60,468.60,465.70,462.70,459.70,456.80,453.80,450.80,447.90,444.90,441.90,439.00,436.00
Capacity Plug,590.60,587.70,584.70,581.70,578.70,575.80,572.80,569.80,566.90,563.90,560.90,558.00,555.00,552.00,549.10,546.10,543.10,540.20,537.20,534.20,531.30,528.30,525.30,522.40,519.40,516.40,513.50,510.50,507.50,504.60,501.60,498.60,495.60,492.70,489.70,486.70,483.80,480.80,477.80,474.90,471.90,468.90,466.00,463.00,460.00,457.10,454.10,451.10,448.20,445.20,442.20,439.30,436.30
Date,43205.00,43206.00,43207.00,43207.00,43207.00,43208.00,43208.00,43208.00,43209.00,43209.00,43209.00,43210.00,43210.00,43210.00,43211.00,43211.00,43211.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00,43212.00
IWHP,4210.00,4780.00,4810.00,4900.00,4860.00,4890.00,4940.00,4980.00,4930.00,4920.00,4920.00,4960.00,5020.00,4950.00,5000.00,4940.00,4960.00,4980.00,4980.00,4930.00,4910.00,4970.00,4980.00,4920.00,4960.00,4910.00,4930.00,4850.00,4860.00,4830.00,4870.00,4850.00,4770.00,4340.00,4890.00,4880.00,4880.00,4900.00,4960.00,4940.00,4920.00,4910.00,4820.00,4870.00,4940.00,4840.00,4920.00,4920.00,4870.00,4930.00,4940.00,4950.00,4950.00
