Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,22924.00,22722.00,22520.00,22319.00,22117.00,21916.00,21714.00,21513.00,21311.00,21110.00,20908.00,20707.00,20505.00,20304.00,20102.00,19901.00,19699.00,19498.00,19296.00,19095.00,18893.00,18692.00,18490.00,18289.00,18087.00,17886.00,17684.00,17483.00,17281.00,17080.00,16878.00,16677.00,16475.00,16274.00,16072.00,15870.00,15669.00,15467.00,15266.00,15064.00,14863.00,14661.00,14460.00,14258.00,14057.00,13855.00,13654.00,13452.00,13251.00,13049.00,12848.00,12646.00,12445.00
Bottom Perf,23086.00,22885.00,22683.00,22481.00,22280.00,22078.00,21877.00,21675.00,21474.00,21272.00,21071.00,20869.00,20668.00,20466.00,20265.00,20063.00,19862.00,19660.00,19459.00,19257.00,19056.00,18854.00,18653.00,18451.00,18250.00,18048.00,17847.00,17645.00,17444.00,17242.00,17041.00,16839.00,16638.00,16436.00,16235.00,16033.00,15831.00,15630.00,15428.00,15227.00,15025.00,14824.00,14622.00,14421.00,14219.00,14018.00,13816.00,13615.00,13413.00,13212.00,13010.00,12809.00,12607.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23105.00,22904.00,22702.00,22500.00,22299.00,22097.00,21896.00,21694.00,21493.00,21291.00,21090.00,20888.00,20687.00,20485.00,20284.00,20082.00,19881.00,19679.00,19478.00,19276.00,19075.00,18873.00,18672.00,18470.00,18269.00,18067.00,17866.00,17664.00,17463.00,17261.00,17060.00,16858.00,16657.00,16455.00,16254.00,16052.00,15850.00,15649.00,15447.00,15246.00,15044.00,14843.00,14641.00,14440.00,14238.00,14037.00,13835.00,13634.00,13432.00,13231.00,13029.00,12828.00,12626.00
TVD,12305.00,12288.00,12278.00,12277.00,12277.00,12277.00,12277.00,12277.00,12278.00,12277.00,12277.00,12278.00,12277.00,12276.00,12273.00,12273.00,12274.00,12268.00,12255.00,12246.00,12244.00,12240.00,12239.00,12237.00,12233.00,12230.00,12228.00,12226.00,12223.00,12220.00,12215.00,12211.00,12206.00,12199.00,12194.00,12192.00,12187.00,12178.00,12165.00,12157.00,12156.00,12151.00,12146.00,12139.00,12139.00,12149.00,12151.00,12148.00,12143.00,12140.00,12136.00,12128.00,12128.00
Capacity Top Perf,417.20,414.20,411.20,408.20,405.20,402.20,399.20,396.20,393.20,390.10,387.10,384.10,381.10,378.10,375.10,372.10,369.10,366.10,363.10,360.10,357.00,354.00,351.00,348.00,345.00,342.00,339.00,336.00,333.00,330.00,327.00,324.00,320.90,317.90,314.90,311.90,308.90,305.90,302.90,299.90,296.90,293.90,290.90,287.80,284.80,281.80,278.80,275.80,272.80,269.80,266.80,263.80,260.80
Capacity Bottom Perf,419.70,416.70,413.60,410.60,407.60,404.60,401.60,398.60,395.60,392.60,389.60,386.60,383.50,380.50,377.50,374.50,371.50,368.50,365.50,362.50,359.50,356.50,353.50,350.40,347.40,344.40,341.40,338.40,335.40,332.40,329.40,326.40,323.40,320.40,317.40,314.30,311.30,308.30,305.30,302.30,299.30,296.30,293.30,290.30,287.30,284.30,281.20,278.20,275.20,272.20,269.20,266.20,263.20
Capacity Plug,419.90,416.90,413.90,410.90,407.90,404.90,401.90,398.90,395.90,392.90,389.90,386.80,383.80,380.80,377.80,374.80,371.80,368.80,365.80,362.80,359.80,356.70,353.70,350.70,347.70,344.70,341.70,338.70,335.70,332.70,329.70,326.70,323.70,320.60,317.60,314.60,311.60,308.60,305.60,302.60,299.60,296.60,293.60,290.60,287.50,284.50,281.50,278.50,275.50,272.50,269.50,266.50,263.50
Date,43281.00,43282.00,43282.00,43282.00,43283.00,43283.00,43283.00,43284.00,43284.00,43284.00,43285.00,43285.00,43285.00,43286.00,43286.00,43286.00,43287.00,43287.00,43287.00,43287.00,43288.00,43288.00,43289.00,43289.00,43289.00,43289.00,43290.00,43290.00,43290.00,43291.00,43291.00,43291.00,43292.00,43292.00,43292.00,43293.00,43293.00,43294.00,43294.00,43294.00,43294.00,43295.00,43295.00,43295.00,43296.00,43296.00,43296.00,43296.00,43297.00,43297.00,43297.00,43297.00,43298.00
IWHP,4540.00,3980.00,4480.00,5210.00,5120.00,5110.00,4780.00,4860.00,5300.00,5160.00,5040.00,5270.00,5280.00,5570.00,5380.00,5210.00,5380.00,5130.00,5090.00,4800.00,4690.00,5010.00,5110.00,4970.00,5180.00,5140.00,4940.00,4870.00,4750.00,4780.00,5130.00,5050.00,5280.00,5230.00,5260.00,5240.00,5080.00,5330.00,5200.00,5240.00,5240.00,5350.00,5120.00,5270.00,5200.00,5330.00,5340.00,5400.00,5250.00,5100.00,5360.00,5380.00,5310.00
