Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,23490.00,23289.00,23088.00,22887.00,22686.00,22484.00,22283.00,22082.00,21881.00,21680.00,21479.00,21227.00,21076.00,20875.00,20674.00,20473.00,20272.00,20071.00,19869.00,19668.00,19467.00,19266.00,19065.00,18864.00,18662.00,18461.00,18260.00,18059.00,17858.00,17657.00,17455.00,17254.00,17053.00,16852.00,16651.00,16450.00,16249.00,16047.00,15846.00,15645.00,15444.00,15243.00,15042.00,14840.00,14639.00,14438.00,14237.00,14036.00,13835.00,13633.00,13432.00,13231.00,13030.00
Bottom Perf,23652.00,23451.00,23250.00,23049.00,22848.00,22647.00,22445.00,22244.00,22043.00,21842.00,21641.00,21440.00,21238.00,21037.00,20836.00,20635.00,20434.00,20233.00,20032.00,19830.00,19629.00,19428.00,19227.00,19026.00,18825.00,18623.00,18422.00,18221.00,18020.00,17819.00,17618.00,17416.00,17215.00,17014.00,16813.00,16612.00,16411.00,16210.00,16008.00,15807.00,15606.00,15405.00,15204.00,15003.00,14801.00,14600.00,14399.00,14198.00,13997.00,13796.00,13594.00,13393.00,13192.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23671.00,23470.00,23269.00,23068.00,22867.00,22666.00,22464.00,22263.00,22062.00,21861.00,21660.00,21459.00,21257.00,21056.00,20855.00,20654.00,20453.00,20252.00,20051.00,19849.00,19648.00,19447.00,19246.00,19045.00,18844.00,18642.00,18441.00,18240.00,18039.00,17838.00,17637.00,17435.00,17234.00,17033.00,16832.00,16631.00,16430.00,16229.00,16027.00,15826.00,15625.00,15424.00,15223.00,15022.00,14820.00,14619.00,14418.00,14217.00,14016.00,13815.00,13613.00,13412.00,13211.00
TVD,12662.00,12661.00,12648.00,12640.00,12619.00,12620.00,12631.00,12635.00,12635.00,12636.00,12645.00,12638.00,12623.00,12622.00,12619.00,12618.00,12619.00,12622.00,12616.00,12602.00,12600.00,12604.00,12604.00,12605.00,12604.00,12605.00,12607.00,12614.00,12613.00,12607.00,12607.00,12602.00,12599.00,12596.00,12592.00,12588.00,12580.00,12575.00,12568.00,12563.00,12560.00,12549.00,12546.00,12546.00,12561.00,12559.00,12554.00,12543.00,12540.00,12538.00,12531.00,12534.00,12528.00
Capacity Top Perf,427.30,424.30,421.30,418.30,415.30,412.30,409.30,406.30,403.30,400.30,397.30,393.50,391.20,388.20,385.20,382.20,379.20,376.20,373.20,370.20,367.20,364.20,361.20,358.20,355.20,352.20,349.20,346.20,343.20,340.20,337.20,334.20,331.20,328.20,325.20,322.20,319.20,316.20,313.20,310.20,307.20,304.10,301.10,298.10,295.10,292.10,289.10,286.10,283.10,280.10,277.10,274.10,271.10
Capacity Bottom Perf,429.70,426.70,423.70,420.70,417.70,414.70,411.70,408.70,405.70,402.70,399.70,396.70,393.70,390.70,387.70,384.70,381.70,378.70,375.70,372.60,369.60,366.60,363.60,360.60,357.60,354.60,351.60,348.60,345.60,342.60,339.60,336.60,333.60,330.60,327.60,324.60,321.60,318.60,315.60,312.60,309.60,306.60,303.60,300.60,297.50,294.50,291.50,288.50,285.50,282.50,279.50,276.50,273.50
Capacity Plug,430.00,427.00,424.00,421.00,418.00,415.00,412.00,409.00,406.00,403.00,400.00,397.00,393.90,390.90,387.90,384.90,381.90,378.90,375.90,372.90,369.90,366.90,363.90,360.90,357.90,354.90,351.90,348.90,345.90,342.90,339.90,336.90,333.90,330.90,327.90,324.90,321.90,318.90,315.90,312.90,309.90,306.90,303.90,300.80,297.80,294.80,291.80,288.80,285.80,282.80,279.80,276.80,273.80
Date,43222.00,43222.00,43223.00,43223.00,43224.00,43224.00,43225.00,43225.00,43226.00,43226.00,43227.00,43227.00,43227.00,43228.00,43228.00,43228.00,43229.00,43229.00,43229.00,43230.00,43230.00,43231.00,43232.00,43232.00,43232.00,43233.00,43233.00,43233.00,43234.00,43234.00,43235.00,43235.00,43236.00,43236.00,43236.00,43237.00,43237.00,43238.00,43238.00,43239.00,43239.00,43239.00,43239.00,43240.00,43240.00,43241.00,43241.00,43242.00,43242.00,43242.00,43243.00,43243.00,43243.00
IWHP,5130.00,5500.00,5330.00,5370.00,5210.00,5630.00,5550.00,5400.00,5510.00,5560.00,5590.00,5390.00,5600.00,5320.00,5590.00,5460.00,5510.00,5480.00,5450.00,5470.00,5420.00,5240.00,5230.00,5560.00,5500.00,5360.00,5450.00,5570.00,5400.00,5280.00,5220.00,5370.00,5390.00,5440.00,5360.00,5340.00,5310.00,5390.00,5390.00,5190.00,5360.00,5470.00,5110.00,5160.00,5370.00,5190.00,5290.00,5410.00,5110.00,5190.00,5040.00,5040.00,5190.00
Break Pres,9150.00,7790.00,8320.00,7950.00,7840.00,7830.00,8000.00,7930.00,8110.00,8580.00,8040.00,8390.00,8300.00,8370.00,8240.00,8210.00,8450.00,8440.00,8460.00,8050.00,8640.00,7990.00,8410.00,8030.00,8810.00,7880.00,9340.00,8740.00,8300.00,8300.00,6790.00,8090.00,8240.00,7930.00,8010.00,8010.00,8320.00,8450.00,8300.00,8440.00,8780.00,8260.00,8240.00,8640.00,8150.00,7280.00,8720.00,10090.00,9080.00,8560.00,9110.00,7740.00,8520.00
Start Time,0.39,0.77,0.11,0.47,0.12,0.66,0.14,0.83,0.39,0.73,0.03,0.36,0.70,0.07,0.40,0.70,0.09,0.43,0.83,0.18,0.86,0.97,0.29,0.56,0.81,0.08,0.36,0.68,0.12,0.39,0.09,0.43,0.31,0.56,0.85,0.16,0.87,0.18,0.52,0.04,0.29,0.56,0.87,0.15,0.54,0.61,0.85,0.10,0.39,0.79,0.22,0.51,0.83
End Time,0.54,0.91,0.25,0.66,0.28,0.97,0.38,0.97,0.56,0.88,0.18,0.54,0.84,0.22,0.56,0.88,0.25,0.58,0.99,0.33,0.14,0.10,0.42,0.69,0.94,0.20,0.54,0.96,0.25,0.53,0.25,0.13,0.45,0.75,0.02,0.29,0.02,0.34,0.72,0.17,0.42,0.68,0.01,0.28,0.88,0.74,0.97,0.24,0.52,0.92,0.36,0.64,0.97
Pump Time,0.15,0.14,0.14,0.19,0.16,0.30,0.24,0.14,0.16,0.15,0.15,0.18,0.14,0.14,0.16,0.18,0.16,0.15,0.17,0.14,0.29,0.13,0.13,0.14,0.13,0.13,0.18,0.28,0.13,0.13,0.15,0.70,0.13,0.19,0.17,0.13,0.15,0.16,0.21,0.13,0.13,0.12,0.15,0.13,0.34,0.13,0.13,0.14,0.13,0.13,0.13,0.13,0.14
Ave Rate,63.70,68.30,62.80,56.40,58.40,60.60,62.60,60.90,52.60,60.00,60.70,61.20,65.20,63.40,57.20,49.50,60.20,57.80,55.60,63.40,64.50,66.00,68.00,67.70,68.30,69.70,63.60,63.30,68.40,66.20,62.90,63.50,65.50,70.00,70.10,67.10,67.70,69.70,66.60,70.00,69.70,70.40,65.90,68.70,70.20,70.30,69.60,59.60,67.00,70.10,65.30,68.90,70.30
Ave Pres,11792.00,11837.00,11975.00,11992.00,11465.00,11752.00,11735.00,11859.00,11307.00,11704.00,11666.00,11748.00,11661.00,11699.00,11288.00,11657.00,11271.00,11311.00,11504.00,11554.00,11596.00,11617.00,11774.00,11312.00,11636.00,11270.00,10650.00,11381.00,11618.00,11343.00,11312.00,11443.00,11028.00,10952.00,11060.00,11354.00,11249.00,11522.00,11510.00,10956.00,11034.00,11166.00,11569.00,10876.00,11270.00,11014.00,11093.00,10846.00,10806.00,11184.00,10930.00,10853.00,10880.00
Max Rate,66.90,70.50,67.40,67.00,70.70,67.50,70.30,64.10,65.20,65.90,68.00,66.10,67.00,67.90,68.00,64.00,66.80,68.30,68.30,70.80,70.00,69.50,70.30,70.40,71.10,70.80,71.10,67.30,69.70,69.90,71.00,66.90,67.80,71.00,71.20,71.30,71.10,70.90,70.70,71.10,70.90,71.20,70.80,71.10,71.10,71.70,71.10,70.70,70.50,71.00,70.60,72.00,70.90
Max Pres,12060.00,12150.00,12310.00,12510.00,12880.00,12250.00,12430.00,12140.00,12060.00,11950.00,12010.00,11950.00,11840.00,12140.00,12170.00,12040.00,12240.00,11860.00,12060.00,11990.00,12000.00,11800.00,11980.00,12130.00,11870.00,11680.00,12130.00,11870.00,11970.00,12120.00,12250.00,12010.00,12020.00,11680.00,11450.00,12010.00,11910.00,11810.00,12140.00,11680.00,11990.00,12030.00,11870.00,12060.00,11950.00,12300.00,11830.00,12250.00,11910.00,11890.00,12050.00,12080.00,12020.00
ISIP,5750.00,5880.00,6235.00,6180.00,6545.00,6340.00,6820.00,7210.00,6260.00,6250.00,6060.00,6142.00,6520.00,6540.00,5840.00,6220.00,6330.00,6350.00,5930.00,6130.00,6180.00,5820.00,6140.00,6210.00,6080.00,5980.00,6390.00,6300.00,6390.00,5950.00,6060.00,6640.00,6360.00,6120.00,6380.00,6250.00,6430.00,6190.00,6140.00,6160.00,6540.00,6070.00,5930.00,5840.00,6280.00,6330.00,6230.00,6390.00,5800.00,6250.00,6620.00,5730.00,6470.00
FG,0.89,0.90,0.93,0.92,0.95,0.94,0.97,1.00,0.93,0.93,0.91,0.92,0.95,0.95,0.90,0.93,0.94,0.94,0.90,0.92,0.92,0.90,0.92,0.93,0.92,0.91,0.94,0.93,0.94,0.91,0.91,0.96,0.94,0.92,0.94,0.93,0.94,0.93,0.92,0.92,0.95,0.92,0.91,0.90,0.93,0.94,0.93,0.94,0.90,0.93,0.96,0.89,0.95
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,18402.00,19821.00,18432.00,16577.00,16411.00,17465.00,18005.00,17695.00,14577.00,17212.00,17356.00,17622.00,18635.00,18179.00,15825.00,14143.00,16619.00,16021.00,15677.00,17940.00,18332.00,18792.00,19618.00,18770.00,19479.00,19242.00,16591.00,17657.00,19483.00,18399.00,17450.00,17810.00,17710.00,18790.00,19003.00,18662.00,18666.00,19681.00,18788.00,18808.00,18839.00,19267.00,18686.00,18308.00,19391.00,18978.00,18923.00,15846.00,17735.00,19216.00,17493.00,18328.00,18747.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,29.00,30.00,29.00,28.00,30.00,30.00
Slickwater,11039.00,10916.00,10668.00,10898.00,10905.00,11473.00,10998.00,10331.00,11016.00,10755.00,10886.00,10863.00,10909.00,10849.00,11035.00,11203.00,11053.00,10825.00,11209.00,11232.00,12320.00,10876.00,11000.00,10967.00,10905.00,10791.00,11051.00,11481.00,10902.00,10811.00,9990.00,12142.00,10654.00,10824.00,10736.00,10588.00,10790.00,11688.00,11033.00,10840.00,10717.00,10661.00,10880.00,10799.00,11018.00,10888.00,10732.00,10573.00,10773.00,10826.00,10729.00,11045.00,10545.00
Pump Down,345.00,358.00,455.00,375.00,393.00,274.00,391.00,331.00,333.00,222.00,271.00,287.00,274.00,252.00,286.00,320.00,331.00,234.00,204.00,250.00,192.00,180.00,197.00,175.00,182.00,166.00,168.00,165.00,162.00,128.00,204.00,130.00,123.00,105.00,106.00,98.00,102.00,104.00,80.00,98.00,74.00,60.00,61.00,60.00,54.00,51.00,41.00,40.00,38.00,31.00,20.00,12.00,0.00
Total Fluid,11413.00,11303.00,11152.00,11301.00,11327.00,11775.00,11418.00,10690.00,11377.00,11005.00,11186.00,11179.00,11211.00,11130.00,11350.00,11552.00,11412.00,11088.00,11442.00,11510.00,12541.00,11084.00,11225.00,11170.00,11116.00,10985.00,11247.00,11675.00,11093.00,10967.00,10222.00,12301.00,10806.00,10958.00,10871.00,10715.00,10921.00,11820.00,11141.00,10966.00,10819.00,10750.00,10970.00,10888.00,11101.00,10968.00,10802.00,10642.00,10841.00,10886.00,10777.00,11087.00,10575.00
100 Mesh,501100.00,503040.00,494160.00,499400.00,495820.00,494800.00,501860.00,411160.00,499200.00,495320.00,500000.00,493540.00,505280.00,501900.00,502320.00,504780.00,504040.00,507040.00,503780.00,496000.00,495380.00,499220.00,508440.00,504340.00,494360.00,491160.00,456700.00,504720.00,504020.00,505620.00,395480.00,497980.00,496320.00,503260.00,492420.00,490400.00,497460.00,500320.00,494800.00,499620.00,500140.00,494460.00,499820.00,507060.00,497680.00,505640.00,499740.00,499060.00,501660.00,500960.00,500140.00,498540.00,507680.00
Total Proppant,501100.00,503040.00,494160.00,499400.00,495820.00,494800.00,501860.00,411160.00,499200.00,495320.00,500000.00,493540.00,505280.00,501900.00,502320.00,504780.00,504040.00,507040.00,503780.00,496000.00,495380.00,499220.00,508440.00,504340.00,494360.00,491160.00,456700.00,504720.00,504020.00,505620.00,395480.00,497980.00,496320.00,503260.00,492420.00,490400.00,497460.00,500320.00,494800.00,499620.00,500140.00,494460.00,499820.00,507060.00,497680.00,505640.00,499740.00,499060.00,501660.00,500960.00,500140.00,498540.00,507680.00
100 Mesh,501100.00,503040.00,494160.00,499400.00,495820.00,494800.00,501860.00,411160.00,499200.00,495320.00,500000.00,493540.00,505280.00,501900.00,502320.00,504780.00,504040.00,507040.00,503780.00,496000.00,495380.00,499220.00,508440.00,504340.00,494360.00,491160.00,456700.00,504720.00,504020.00,505620.00,395480.00,497980.00,496320.00,503260.00,492420.00,490400.00,497460.00,500320.00,494800.00,499620.00,500140.00,494460.00,499820.00,507060.00,497680.00,505640.00,499740.00,499060.00,501660.00,500960.00,500140.00,498540.00,507680.00
Delivered Total Prop,501100.00,503040.00,494160.00,499400.00,495820.00,494800.00,501860.00,411160.00,499200.00,495320.00,500000.00,493540.00,505280.00,501900.00,502320.00,504780.00,504040.00,507040.00,503780.00,496000.00,495380.00,499220.00,508440.00,504340.00,494360.00,491160.00,456700.00,504720.00,504020.00,505620.00,395480.00,497980.00,496320.00,503260.00,492420.00,490400.00,497460.00,500320.00,494800.00,499620.00,500140.00,494460.00,499820.00,507060.00,497680.00,505640.00,499740.00,499060.00,501660.00,500960.00,500140.00,498540.00,507680.00
"Plexslick 957, gal",458.00,458.00,404.00,400.00,423.00,464.00,430.00,447.00,530.00,514.00,484.00,497.00,480.00,455.00,480.00,478.00,460.00,455.00,450.00,471.00,501.00,470.00,417.00,454.00,458.00,470.00,468.00,457.00,435.00,402.00,350.00,500.00,465.00,463.00,435.00,430.00,450.00,473.00,483.00,447.00,419.00,447.00,463.00,390.00,480.00,460.00,450.00,453.00,470.00,459.00,380.00,440.00,443.00
"Chemplex 4-N-1, gal",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Payzone 845, gal",7.00,7.00,7.00,7.00,7.00,7.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,7.00,7.00,7.00,8.00
"Payzone 850, gal",94.00,92.00,89.00,91.00,91.00,96.00,91.00,85.00,94.00,89.00,93.00,92.00,90.00,91.00,92.00,92.00,93.00,92.00,93.00,92.00,103.00,92.00,93.00,93.00,93.00,91.00,94.00,96.00,93.00,91.00,84.00,97.00,91.00,92.00,90.00,90.00,90.00,97.00,93.00,90.00,90.00,90.00,91.00,92.00,93.00,92.00,90.00,89.00,90.00,92.00,90.00,95.00,89.00
"Payzone 217, gal",36.00,35.00,34.00,34.00,35.00,36.00,36.00,31.00,35.00,34.00,35.00,35.00,34.00,34.00,35.00,35.00,35.00,34.00,34.00,35.00,38.00,34.00,35.00,35.00,34.00,34.00,35.00,35.00,34.00,34.00,32.00,37.00,34.00,35.00,35.00,34.00,35.00,36.00,34.00,34.00,33.00,33.00,35.00,35.00,35.00,35.00,34.00,34.00,34.00,34.00,34.00,35.00,33.00
"Stim741 Gel, gal",94.00,92.00,89.00,91.00,91.00,96.00,91.00,85.00,94.00,89.00,93.00,92.00,90.00,91.00,92.00,92.00,93.00,92.00,93.00,92.00,103.00,92.00,93.00,93.00,93.00,91.00,94.00,96.00,93.00,91.00,84.00,97.00,91.00,92.00,90.00,90.00,90.00,97.00,93.00,90.00,90.00,90.00,91.00,92.00,93.00,92.00,90.00,89.00,90.00,92.00,90.00,95.00,89.00
"15% HCl Acid, gal",20.00,10.00,20.00,20.00,20.00,20.00,40.00,20.00,20.00,20.00,20.00,20.00,10.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,20.00,10.00,20.00,20.00,20.00,10.00,20.00,20.00,10.00,20.00,,20.00,20.00,10.00,10.00,20.00,20.00,10.00,10.00,10.00,10.00,10.00,20.00,20.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,
15% HCL gal,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1200.00,1256.00,1200.00,1190.00,1240.00,1264.00
