Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
End Time,0.01,0.34,0.65,0.10,0.40,0.68,0.05,0.40,0.73,0.01,0.28,0.53,0.85,0.15,0.41,0.68,0.03,0.29,0.61,0.86,0.10,0.36,0.63,0.13,0.39,0.64,0.89,0.14,0.40,0.78,0.03,0.33,0.57,0.88,0.21,0.48,0.76,0.06,0.31,0.57,0.84,0.08,0.40,0.67,0.91,0.14,0.43,0.72,0.01,0.24,0.45,0.70
Pump Time,0.14,0.13,0.13,0.18,0.13,0.14,0.18,0.21,0.17,0.14,0.13,0.13,0.13,0.13,0.13,0.14,0.23,0.13,0.13,0.14,0.13,0.13,0.16,0.13,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.18,0.13,0.13,0.17,0.13,0.15,0.13,0.13,0.12,0.13,0.14,0.16,0.13,0.14,0.12,0.12,0.13,0.16,0.12,0.13,0.13
Ave Rate,69.00,70.50,69.70,70.00,69.70,62.80,64.80,58.40,64.50,65.90,69.80,68.80,69.00,69.60,70.30,68.60,67.60,69.80,68.70,65.00,69.70,69.40,68.30,69.80,70.60,67.50,65.60,70.30,70.60,69.60,69.20,66.70,69.80,69.70,69.60,68.30,66.10,69.30,69.70,69.60,65.00,68.00,69.40,67.20,64.20,70.00,70.00,66.30,70.00,69.50,69.50,68.30
Ave Pres,11467.00,10775.00,10226.00,10144.00,11279.00,10875.00,11465.00,11855.00,11147.00,11833.00,11316.00,11768.00,11672.00,11766.00,11168.00,11439.00,11692.00,11468.00,10952.00,11075.00,11479.00,11442.00,11360.00,11477.00,11310.00,10856.00,11140.00,11306.00,11418.00,11749.00,11580.00,11058.00,11252.00,11225.00,10528.00,10303.00,10364.00,10907.00,11026.00,10595.00,10268.00,10940.00,10236.00,10406.00,10386.00,10534.00,10375.00,10600.00,10595.00,10364.00,10316.00,10458.00
Max Rate,70.90,71.10,70.40,71.30,71.60,67.70,68.10,67.20,70.00,68.80,70.80,70.60,70.40,70.70,70.80,70.00,69.60,71.00,70.70,68.00,71.20,70.40,70.70,70.50,71.00,70.60,66.40,71.10,71.00,70.90,70.70,70.80,71.00,70.60,70.90,70.80,67.70,71.00,70.00,70.90,70.30,70.00,71.00,71.10,66.00,70.50,71.00,71.00,71.10,70.30,70.00,69.00
Max Pres,11990.00,12080.00,10870.00,11330.00,11590.00,12200.00,12190.00,12260.00,12000.00,12160.00,12170.00,12110.00,12000.00,12140.00,11950.00,11990.00,12070.00,12160.00,12010.00,11880.00,11930.00,12080.00,12150.00,11940.00,12060.00,12170.00,11960.00,12050.00,12160.00,12270.00,11990.00,11960.00,12070.00,12020.00,11980.00,11740.00,11520.00,11870.00,11880.00,12140.00,12150.00,12090.00,10890.00,11670.00,10920.00,11360.00,11530.00,11290.00,10860.00,11900.00,12060.00,11210.00
ISIP,5620.00,5420.00,5390.00,5950.00,5720.00,5890.00,5870.00,5940.00,5960.00,6100.00,6240.00,6050.00,6110.00,6060.00,6170.00,6010.00,6060.00,6260.00,6420.00,6000.00,6220.00,6230.00,6170.00,6140.00,6130.00,6260.00,6100.00,6140.00,6240.00,6110.00,6050.00,6060.00,6177.00,6140.00,6150.00,6093.00,5980.00,6080.00,6031.00,6210.00,6087.00,6043.00,5950.00,6050.00,6010.00,6110.00,6170.00,6000.00,6040.00,6160.00,5980.00,6030.00
FG,0.89,0.87,0.87,0.91,0.90,0.91,0.91,0.91,0.91,0.93,0.94,0.92,0.93,0.92,0.93,0.92,0.92,0.94,0.95,0.92,0.94,0.94,0.93,0.93,0.93,0.94,0.93,0.93,0.94,0.93,0.92,0.92,0.93,0.93,0.93,0.93,0.92,0.93,0.92,0.94,0.93,0.92,0.92,0.93,0.92,0.93,0.94,0.92,0.93,0.94,0.92,0.92
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,19393.00,18619.00,17469.00,17404.00,19268.00,16739.00,18209.00,16969.00,17622.00,19113.00,19359.00,19844.00,19739.00,20071.00,19243.00,19233.00,19372.00,19619.00,18441.00,17644.00,19610.00,19463.00,19017.00,19635.00,19571.00,17951.00,17911.00,19481.00,19758.00,20042.00,19641.00,18074.00,19250.00,19176.00,17950.00,17247.00,16791.00,18526.00,18836.00,18076.00,16358.00,18233.00,17411.00,17139.00,16343.00,18073.00,17795.00,17225.00,18178.00,17665.00,17573.00,17507.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,30.00,30.00,29.00,30.00,29.00,28.00,28.00,27.00,29.00,30.00,30.00,29.00,28.00,31.00,28.00,28.00,29.00,30.00,30.00,30.00,29.00,27.00,28.00,31.00,29.00,30.00,30.00,30.00,29.00,27.00,29.00,29.00,28.00,29.00,30.00,30.00,30.00,29.00,30.00,29.00,28.00,29.00,28.00,29.00,30.00,30.00,30.00,28.00,30.00,29.00,28.00,29.00
Slickwater,10964.00,10840.00,10835.00,13644.00,10847.00,10794.00,10767.00,10837.00,11231.00,10871.00,10865.00,10799.00,10753.00,10763.00,10781.00,11031.00,11100.00,10846.00,10724.00,10936.00,10839.00,10732.00,11247.00,10806.00,10805.00,10796.00,10788.00,10873.00,10727.00,10797.00,10860.00,11852.00,10750.00,10759.00,11141.00,10746.00,10666.00,10707.00,10704.00,10639.00,10706.00,10712.00,10833.00,10653.00,10713.00,10708.00,10580.00,10701.00,10927.00,10639.00,10689.00,10734.00
Pump Down,340.00,316.00,272.00,242.00,256.00,259.00,276.00,239.00,229.00,220.00,236.00,279.00,220.00,234.00,189.00,167.00,169.00,188.00,181.00,184.00,166.00,145.00,137.00,129.00,154.00,140.00,132.00,117.00,110.00,116.00,98.00,119.00,98.00,94.00,77.00,75.00,70.00,65.00,65.00,57.00,50.00,48.00,44.00,43.00,37.00,29.00,28.00,25.00,18.00,15.00,9.00,0.00
Total Fluid,11334.00,11185.00,11135.00,13915.00,11131.00,11080.00,11071.00,11103.00,11489.00,11121.00,11132.00,11108.00,11001.00,11027.00,10999.00,11226.00,11298.00,11064.00,10936.00,11150.00,11034.00,10904.00,11411.00,10966.00,10988.00,10966.00,10950.00,11020.00,10866.00,10941.00,10987.00,12000.00,10876.00,10882.00,11248.00,10851.00,10766.00,10801.00,10799.00,10726.00,10783.00,10789.00,10905.00,10725.00,10780.00,10768.00,10638.00,10754.00,10975.00,10683.00,10726.00,10763.00
100 Mesh,499020.00,500800.00,495780.00,493700.00,495260.00,496840.00,501540.00,497580.00,507180.00,501580.00,501800.00,501890.00,499760.00,494840.00,495420.00,506920.00,500160.00,505540.00,501960.00,503640.00,495780.00,502280.00,500260.00,501040.00,503820.00,507140.00,505080.00,499680.00,501940.00,498900.00,500840.00,498320.00,499780.00,507620.00,504380.00,503280.00,490110.00,495800.00,512120.00,497560.00,508800.00,497020.00,506560.00,511060.00,499360.00,506580.00,501060.00,501980.00,501900.00,502120.00,503980.00,501140.00
Total Proppant,499020.00,500800.00,495780.00,493700.00,495260.00,496840.00,501540.00,497580.00,507180.00,501580.00,501800.00,501890.00,499760.00,494840.00,495420.00,506920.00,500160.00,505540.00,501960.00,503640.00,495780.00,502280.00,500260.00,501040.00,503820.00,507140.00,505080.00,499680.00,501940.00,498900.00,500840.00,498320.00,499780.00,507620.00,504380.00,503280.00,490110.00,495800.00,512120.00,497560.00,508800.00,497020.00,506560.00,511060.00,499360.00,506580.00,501060.00,501980.00,501900.00,502120.00,503980.00,501140.00
