Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal"
Silvertip A 2H,1.0,23108.0,23270.0,24.0,23289.0,12440.0,421.0,423.4,423.7,43244.0,4740.0,10580.0,0.52,0.68,0.16,58.0,10578.0,63.2,11080.0,5340.0,0.86,55.0,15037.0,,36.0,10848.0,318.0,11202.0,501100.0,501100.0,501100.0,501100.0,451.0,9.0,91.0,34.0,91.0,20.0,1522.0
Silvertip A 2H,2.0,22907.0,23069.0,24.0,23088.0,12439.0,418.0,420.4,420.7,43244.0,4920.0,7920.0,0.94,0.07,0.13,69.7,11064.0,70.8,11980.0,5577.0,0.88,55.0,18901.0,,30.0,10807.0,332.0,11169.0,497420.0,497420.0,497420.0,497420.0,451.0,8.0,91.0,34.0,91.0,10.0,1261.0
Silvertip A 2H,3.0,22706.0,22868.0,24.0,22887.0,12435.0,415.0,417.4,417.7,43245.0,4910.0,8760.0,0.34,0.46,0.13,69.5,10598.0,71.0,11240.0,5460.0,0.87,55.0,18053.0,,30.0,10707.0,310.0,11047.0,491260.0,491260.0,491260.0,491260.0,447.0,7.0,90.0,34.0,90.0,10.0,1269.0
Silvertip A 2H,4.0,22505.0,22667.0,24.0,22686.0,12437.0,412.0,414.4,414.7,43245.0,4810.0,10120.0,0.72,0.86,0.14,63.1,11260.0,65.6,12060.0,5588.0,0.88,55.0,17414.0,,30.0,10880.0,294.0,11204.0,507600.0,507600.0,507600.0,507600.0,453.0,8.0,92.0,34.0,92.0,10.0,1256.0
Silvertip A 2H,5.0,22304.0,22466.0,24.0,22485.0,12428.0,409.0,411.4,411.7,43246.0,4960.0,9560.0,0.08,0.23,0.15,61.2,11123.0,65.5,12390.0,5595.0,0.88,55.0,16685.0,,29.0,11372.0,267.0,11667.0,499880.0,499880.0,499880.0,499880.0,464.0,7.0,96.0,36.0,96.0,10.0,1211.0
Silvertip A 2H,6.0,22103.0,22265.0,24.0,22284.0,12425.0,406.0,408.4,408.7,43246.0,5020.0,9030.0,0.42,0.57,0.15,60.1,11193.0,65.2,11910.0,5640.0,0.89,55.0,16488.0,,27.0,11115.0,246.0,11389.0,496040.0,496040.0,496040.0,496040.0,463.0,7.0,93.0,35.0,93.0,10.0,1140.0
Silvertip A 2H,7.0,21902.0,22064.0,24.0,22083.0,12421.0,403.0,405.4,405.7,43246.0,5090.0,9480.0,0.81,0.98,0.18,62.5,11415.0,68.0,12210.0,5842.0,0.9,55.0,17486.0,,29.0,11018.0,311.0,11358.0,502760.0,502760.0,502760.0,502760.0,460.0,7.0,96.0,36.0,96.0,10.0,1206.0
Silvertip A 2H,8.0,21701.0,21863.0,24.0,21882.0,12421.0,400.0,402.4,402.7,43247.0,5130.0,8890.0,0.18,0.32,0.15,60.7,11036.0,61.3,11950.0,5830.0,0.9,55.0,16419.0,,28.0,10803.0,258.0,11089.0,495280.0,495280.0,495280.0,495280.0,450.0,7.0,91.0,34.0,91.0,20.0,1177.0
Silvertip A 2H,9.0,21500.0,21662.0,24.0,21681.0,12419.0,397.0,399.4,399.7,43247.0,5250.0,9520.0,0.49,0.64,0.15,59.3,11001.0,60.6,11640.0,5800.0,0.9,55.0,15989.0,,28.0,10997.0,271.0,11297.0,495140.0,495140.0,495140.0,495140.0,459.0,7.0,94.0,35.0,94.0,10.0,1190.0
Silvertip A 2H,10.0,21299.0,21461.0,24.0,21480.0,12415.0,394.0,396.4,396.7,43247.0,5180.0,8500.0,0.84,0.99,0.15,60.1,11015.0,61.2,11970.0,5730.0,0.9,55.0,16226.0,,30.0,10765.0,610.0,11404.0,501680.0,501680.0,501680.0,501680.0,449.0,7.0,91.0,34.0,91.0,15.0,1240.0
Silvertip A 2H,11.0,21099.0,21260.0,24.0,21279.0,12413.0,391.0,393.4,393.7,43248.0,5060.0,9080.0,0.32,0.46,0.14,61.4,11193.0,62.9,11940.0,5770.0,0.9,55.0,16844.0,,30.0,10733.0,251.0,11014.0,494360.0,494360.0,494360.0,494360.0,448.0,8.0,90.0,34.0,90.0,10.0,1266.0
Silvertip A 2H,12.0,20898.0,21060.0,24.0,21079.0,12415.0,388.0,390.4,390.7,43248.0,5210.0,8830.0,0.62,0.76,0.14,60.8,11199.0,67.2,11960.0,5918.0,0.91,55.0,16689.0,,30.0,10584.0,293.0,10907.0,498440.0,498440.0,498440.0,498440.0,442.0,8.0,89.0,33.0,89.0,10.0,1269.0
Silvertip A 2H,13.0,20697.0,20859.0,24.0,20878.0,12412.0,385.0,387.4,387.7,43248.0,5170.0,9760.0,1.0,0.14,0.14,63.3,10995.0,67.0,11930.0,6052.0,0.92,55.0,17058.0,,30.0,11053.0,191.0,11273.0,499720.0,499720.0,499720.0,499720.0,460.0,7.0,93.0,35.0,93.0,10.0,1240.0
Silvertip A 2H,14.0,20496.0,20658.0,24.0,20677.0,12411.0,382.0,384.4,384.7,43249.0,5310.0,9070.0,0.29,0.44,0.15,60.8,11249.0,62.6,11920.0,5790.0,0.9,55.0,16763.0,,28.0,11017.0,225.0,11271.0,503860.0,503860.0,503860.0,503860.0,460.0,7.0,93.0,35.0,93.0,10.0,1190.0
Silvertip A 2H,15.0,20295.0,20457.0,24.0,20476.0,12412.0,379.0,381.4,381.7,43249.0,5320.0,8920.0,0.58,0.75,0.17,50.7,11000.0,59.9,11720.0,5964.0,0.91,55.0,13669.0,,29.0,10888.0,242.0,11160.0,496800.0,496800.0,496800.0,496800.0,454.0,7.0,96.0,36.0,96.0,20.0,1235.0
Silvertip A 2H,16.0,20094.0,20256.0,24.0,20275.0,12409.0,376.0,378.4,378.7,43249.0,5190.0,9550.0,0.83,0.06,0.23,64.6,11185.0,65.2,11630.0,5971.0,0.91,55.0,17710.0,,28.0,10739.0,512.0,11279.0,491940.0,491940.0,491940.0,491940.0,450.0,7.0,90.0,34.0,90.0,10.0,1182.0
