Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Break Pres,10580.00,7920.00,8760.00,10120.00,9560.00,9030.00,9480.00,8890.00,9520.00,8500.00,9080.00,8830.00,9760.00,9070.00,8920.00,9550.00,9200.00,10160.00,10000.00,10350.00,9720.00,9550.00,9660.00,9030.00,9360.00,8720.00,10240.00,10910.00,7520.00,9960.00,8630.00,8090.00,8950.00,8770.00,7630.00,8150.00,8820.00,7560.00,7250.00,8610.00,7540.00,7370.00,7420.00,6690.00,7170.00,6670.00,6350.00,7510.00,0.00,6940.00,6720.00,6830.00,6840.00
Start Time,0.52,0.94,0.34,0.72,0.08,0.42,0.81,0.18,0.49,0.84,0.32,0.62,1.00,0.29,0.58,0.83,0.49,0.78,0.08,0.38,0.66,0.99,0.63,0.91,0.20,0.45,0.73,0.04,0.33,0.59,0.87,0.29,0.57,0.88,0.23,0.48,0.77,0.02,0.27,0.54,0.79,0.06,0.31,0.59,0.84,0.10,0.37,0.60,0.90,0.18,0.42,0.66,0.00
End Time,0.68,0.07,0.46,0.86,0.23,0.57,0.98,0.32,0.64,0.99,0.46,0.76,0.14,0.44,0.75,0.06,0.64,0.93,0.23,0.52,0.81,0.18,0.78,0.05,0.32,0.59,0.87,0.19,0.45,0.72,0.17,0.43,0.70,0.09,0.36,0.61,0.90,0.15,0.40,0.66,0.91,0.19,0.48,0.73,0.99,0.26,0.50,0.73,0.02,0.30,0.54,0.78,0.13
Pump Time,0.16,0.13,0.13,0.14,0.15,0.15,0.18,0.15,0.15,0.15,0.14,0.14,0.14,0.15,0.17,0.23,0.15,0.15,0.15,0.14,0.15,0.19,0.15,0.14,0.13,0.14,0.14,0.15,0.13,0.13,0.30,0.14,0.12,0.21,0.13,0.13,0.13,0.13,0.12,0.13,0.13,0.13,0.17,0.14,0.15,0.16,0.12,0.13,0.12,0.12,0.12,0.12,0.13
Ave Rate,58.00,69.70,69.50,63.10,61.20,60.10,62.50,60.70,59.30,60.10,61.40,60.80,63.30,60.80,50.70,64.60,60.70,61.60,59.60,63.60,61.10,63.90,60.30,61.40,69.30,62.90,64.40,58.70,69.50,68.90,67.90,69.60,69.70,68.70,70.00,67.70,66.00,67.80,69.90,69.10,69.60,66.40,63.90,67.10,69.00,69.70,69.90,69.30,69.30,69.60,68.20,69.10,67.40
Ave Pres,10578.00,11064.00,10598.00,11260.00,11123.00,11193.00,11415.00,11036.00,11001.00,11015.00,11193.00,11199.00,10995.00,11249.00,11000.00,11185.00,11211.00,10812.00,11260.00,11347.00,11070.00,11106.00,11149.00,11095.00,11233.00,11432.00,11314.00,11205.00,11097.00,11332.00,11262.00,11373.00,11446.00,11302.00,11156.00,11373.00,10968.00,11170.00,11335.00,11395.00,11179.00,10876.00,10840.00,11193.00,10989.00,11280.00,11172.00,11270.00,11174.00,11288.00,11071.00,11154.00,10897.00
Max Rate,63.20,70.80,71.00,65.60,65.50,65.20,68.00,61.30,60.60,61.20,62.90,67.20,67.00,62.60,59.90,65.20,63.40,64.00,64.70,67.70,63.00,65.10,64.10,66.60,70.10,64.50,69.60,60.00,71.30,71.00,70.50,71.40,71.00,70.60,70.50,70.40,67.30,70.60,70.40,70.10,71.20,70.80,70.70,70.30,70.80,71.30,71.90,71.60,70.40,70.80,70.80,70.10,70.30
Max Pres,11080.00,11980.00,11240.00,12060.00,12390.00,11910.00,12210.00,11950.00,11640.00,11970.00,11940.00,11960.00,11930.00,11920.00,11720.00,11630.00,11790.00,11530.00,11580.00,11990.00,11660.00,11750.00,11700.00,11580.00,11430.00,11790.00,11620.00,11770.00,11790.00,11760.00,11520.00,11790.00,11810.00,12840.00,11780.00,11850.00,11360.00,11520.00,11790.00,11750.00,11620.00,11510.00,11660.00,11690.00,11670.00,11560.00,11580.00,11590.00,11520.00,11600.00,11780.00,11490.00,11500.00
ISIP,5340.00,5577.00,5460.00,5588.00,5595.00,5640.00,5842.00,5830.00,5800.00,5730.00,5770.00,5918.00,6052.00,5790.00,5964.00,5971.00,5830.00,5900.00,5820.00,5910.00,6116.00,6130.00,6138.00,6141.00,6244.00,6121.00,6040.00,6059.00,6061.00,5960.00,6107.00,5979.00,5979.00,6940.00,5931.00,6038.00,5880.00,5810.00,5975.00,6095.00,5730.00,5870.00,5848.00,5590.00,5700.00,5918.00,5804.00,5760.00,5680.00,5922.00,5735.00,5560.00,5510.00
FG,0.86,0.88,0.87,0.88,0.88,0.89,0.90,0.90,0.90,0.90,0.90,0.91,0.92,0.90,0.91,0.91,0.90,0.91,0.90,0.91,0.93,0.93,0.93,0.93,0.94,0.93,0.92,0.92,0.92,0.92,0.93,0.92,0.92,1.00,0.91,0.92,0.91,0.90,0.92,0.93,0.90,0.91,0.91,0.89,0.90,0.92,0.91,0.90,0.90,0.92,0.90,0.89,0.88
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,15037.00,18901.00,18053.00,17414.00,16685.00,16488.00,17486.00,16419.00,15989.00,16226.00,16844.00,16689.00,17058.00,16763.00,13669.00,17710.00,16679.00,16324.00,16448.00,17688.00,16578.00,17394.00,16478.00,16697.00,19080.00,17624.00,17858.00,16121.00,18903.00,19137.00,18742.00,19401.00,19554.00,19031.00,19140.00,18871.00,17742.00,18562.00,19420.00,19299.00,19070.00,17700.00,16977.00,18408.00,18584.00,19270.00,19140.00,19142.00,18979.00,19256.00,18506.00,18891.00,18001.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,36.00,30.00,30.00,30.00,29.00,27.00,29.00,28.00,28.00,30.00,30.00,30.00,30.00,28.00,29.00,28.00,30.00,30.00,29.00,30.00,30.00,30.00,29.00,30.00,30.00,29.00,30.00,30.00,30.00,30.00,29.00,29.00,29.00,29.00,28.00,29.00,30.00,30.00,30.00,29.00,30.00,28.00,29.00,30.00,29.00,29.00,30.00,30.00,30.00,29.00,30.00,29.00,30.00
Slickwater,10848.00,10807.00,10707.00,10880.00,11372.00,11115.00,11018.00,10803.00,10997.00,10765.00,10733.00,10584.00,11053.00,11017.00,10888.00,10739.00,10771.00,10906.00,10914.00,10873.00,11023.00,12187.00,10744.00,10716.00,10666.00,10812.00,10675.00,10746.00,10665.00,10716.00,10696.00,10688.00,10606.00,10721.00,10804.00,10587.00,10597.00,10697.00,10771.00,10659.00,10581.00,10512.00,10314.00,10542.00,10484.00,10630.00,10743.00,10571.00,10375.00,10574.00,10582.00,10484.00,10448.00
Pump Down,318.00,332.00,310.00,294.00,267.00,246.00,311.00,258.00,271.00,610.00,251.00,293.00,191.00,225.00,242.00,512.00,200.00,234.00,185.00,197.00,162.00,151.00,148.00,142.00,164.00,143.00,196.00,136.00,127.00,116.00,111.00,122.00,119.00,96.00,90.00,85.00,75.00,72.00,76.00,63.00,55.00,50.00,48.00,50.00,46.00,38.00,48.00,28.00,25.00,25.00,19.00,14.00,0.00
Total Fluid,11202.00,11169.00,11047.00,11204.00,11667.00,11389.00,11358.00,11089.00,11297.00,11404.00,11014.00,10907.00,11273.00,11271.00,11160.00,11279.00,11001.00,11171.00,11128.00,11100.00,11215.00,12368.00,10921.00,10888.00,10860.00,10984.00,10901.00,10913.00,10822.00,10862.00,10837.00,10840.00,10754.00,10846.00,10922.00,10701.00,10702.00,10800.00,10876.00,10750.00,10666.00,10590.00,10391.00,10622.00,10559.00,10697.00,10821.00,10629.00,10430.00,10627.00,10631.00,10527.00,10477.00
100 Mesh,501100.00,497420.00,491260.00,507600.00,499880.00,496040.00,502760.00,495280.00,495140.00,501680.00,494360.00,498440.00,499720.00,503860.00,496800.00,491940.00,503480.00,498720.00,495260.00,499920.00,506260.00,497580.00,505380.00,501080.00,497140.00,504320.00,496680.00,506520.00,493520.00,500480.00,502580.00,501180.00,501180.00,458800.00,514740.00,513300.00,506540.00,511440.00,508780.00,498880.00,500080.00,506320.00,392560.00,500840.00,497880.00,498300.00,508200.00,503160.00,497540.00,499500.00,499280.00,499000.00,495640.00
Total Proppant,501100.00,497420.00,491260.00,507600.00,499880.00,496040.00,502760.00,495280.00,495140.00,501680.00,494360.00,498440.00,499720.00,503860.00,496800.00,491940.00,503480.00,498720.00,495260.00,499920.00,506260.00,497580.00,505380.00,501080.00,497140.00,504320.00,496680.00,506520.00,493520.00,500480.00,502580.00,501180.00,501180.00,458800.00,514740.00,513300.00,506540.00,511440.00,508780.00,498880.00,500080.00,506320.00,392560.00,500840.00,497880.00,498300.00,508200.00,503160.00,497540.00,499500.00,499280.00,499000.00,495640.00
100 Mesh,501100.00,497420.00,491260.00,507600.00,499880.00,496040.00,502760.00,495280.00,495140.00,501680.00,494360.00,498440.00,499720.00,503860.00,496800.00,491940.00,503480.00,498720.00,495260.00,499920.00,506260.00,497580.00,505380.00,501080.00,497140.00,504320.00,496680.00,506520.00,493520.00,500480.00,502580.00,501180.00,501180.00,458800.00,514740.00,513300.00,506540.00,511440.00,508780.00,498880.00,500080.00,506320.00,392560.00,500840.00,497880.00,498300.00,508200.00,503160.00,497540.00,499500.00,499280.00,499000.00,495640.00
Delivered Total Prop,501100.00,497420.00,491260.00,507600.00,499880.00,496040.00,502760.00,495280.00,495140.00,501680.00,494360.00,498440.00,499720.00,503860.00,496800.00,491940.00,503480.00,498720.00,495260.00,499920.00,506260.00,497580.00,505380.00,501080.00,497140.00,504320.00,496680.00,506520.00,493520.00,500480.00,502580.00,501180.00,501180.00,458800.00,514740.00,513300.00,506540.00,511440.00,508780.00,498880.00,500080.00,506320.00,392560.00,500840.00,497880.00,498300.00,508200.00,503160.00,497540.00,499500.00,499280.00,499000.00,495640.00
"Plexslick 957, gal",451.00,451.00,447.00,453.00,464.00,463.00,460.00,450.00,459.00,449.00,448.00,442.00,460.00,460.00,454.00,450.00,449.00,455.00,452.00,452.00,460.00,507.00,446.00,447.00,444.00,450.00,445.00,446.00,436.00,446.00,443.00,445.00,426.00,421.00,450.00,386.00,345.00,298.00,293.00,371.00,360.00,278.00,270.00,272.00,331.00,275.00,281.00,303.00,229.00,246.00,261.00,253.00,305.00
"Chemplex 4-N-1, gal",9.00,8.00,7.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,7.00,7.00,7.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00,7.00,8.00,8.00,7.00,8.00,8.00,8.00,7.00,7.00,7.00,7.00,7.00,7.00,8.00,8.00,8.00,8.00,7.00,8.00,7.00,7.00,8.00,7.00,7.00,8.00,8.00,8.00,7.00,8.00,7.00,8.00
"Payzone 845, gal",91.00,91.00,90.00,92.00,96.00,93.00,96.00,91.00,94.00,91.00,90.00,89.00,93.00,93.00,96.00,90.00,90.00,92.00,92.00,91.00,92.00,103.00,91.00,91.00,90.00,91.00,91.00,91.00,90.00,90.00,90.00,90.00,89.00,90.00,91.00,89.00,89.00,90.00,91.00,90.00,89.00,88.00,87.00,88.00,88.00,89.00,90.00,89.00,87.00,89.00,89.00,88.00,88.00
"Payzone 850, gal",34.00,34.00,34.00,34.00,36.00,35.00,36.00,34.00,35.00,34.00,34.00,33.00,35.00,35.00,36.00,34.00,34.00,34.00,34.00,34.00,34.00,39.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,34.00,33.00,33.00,34.00,34.00,34.00,33.00,33.00,32.00,33.00,33.00,33.00,34.00,33.00,33.00,33.00,33.00,33.00,33.00
"Payzone 217, gal",91.00,91.00,90.00,92.00,96.00,93.00,96.00,91.00,94.00,91.00,90.00,89.00,93.00,93.00,96.00,90.00,90.00,92.00,92.00,91.00,92.00,103.00,91.00,91.00,90.00,91.00,91.00,91.00,90.00,90.00,90.00,90.00,89.00,90.00,91.00,89.00,89.00,90.00,91.00,90.00,89.00,88.00,87.00,88.00,88.00,89.00,90.00,89.00,87.00,89.00,89.00,88.00,88.00
"Stim741 Gel, gal",20.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,15.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,15.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,15.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,20.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,10.00,
"15% HCl Acid, gal",1522.00,1261.00,1269.00,1256.00,1211.00,1140.00,1206.00,1177.00,1190.00,1240.00,1266.00,1269.00,1240.00,1190.00,1235.00,1182.00,1251.00,1275.00,1211.00,1256.00,1269.00,1261.00,1224.00,1272.00,1275.00,1219.00,1259.00,1266.00,1269.00,1240.00,1219.00,1227.00,1227.00,1206.00,1172.00,1230.00,1264.00,1269.00,1251.00,1206.00,1261.00,1172.00,1206.00,1251.00,1198.00,1230.00,1264.00,1269.00,1251.00,1206.00,1261.00,1230.00,1251.00
Well Name,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H,Silvertip A 2H
