Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Top Perf,23108.00,22907.00,22706.00,22505.00,22304.00,22103.00,21902.00,21701.00,21500.00,21299.00,21099.00,20898.00,20697.00,20496.00,20295.00,20094.00,19893.00,19692.00,19491.00,19290.00,19089.00,18888.00,18687.00,18486.00,18285.00,18084.00,17883.00,17682.00,17481.00,17280.00,17079.00,16878.00,16677.00,16476.00,16275.00,16074.00,15873.00,15672.00,15471.00,15270.00,15069.00,14868.00,14667.00,14467.00,14266.00,14065.00,13864.00,13663.00,13462.00,13261.00,13060.00,12859.00,12658.00
Bottom Perf,23270.00,23069.00,22868.00,22667.00,22466.00,22265.00,22064.00,21863.00,21662.00,21461.00,21260.00,21060.00,20859.00,20658.00,20457.00,20256.00,20055.00,19854.00,19653.00,19452.00,19251.00,19050.00,18849.00,18648.00,18447.00,18246.00,18045.00,17844.00,17643.00,17442.00,17241.00,17040.00,16839.00,16638.00,16437.00,16236.00,16035.00,15834.00,15633.00,15432.00,15231.00,15030.00,14829.00,14628.00,14428.00,14227.00,14026.00,13825.00,13624.00,13423.00,13222.00,13021.00,12820.00
Num Perfs,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00,24.00
Plug Depth,23289.00,23088.00,22887.00,22686.00,22485.00,22284.00,22083.00,21882.00,21681.00,21480.00,21279.00,21079.00,20878.00,20677.00,20476.00,20275.00,20074.00,19873.00,19672.00,19471.00,19270.00,19069.00,18868.00,18667.00,18466.00,18265.00,18064.00,17863.00,17662.00,17461.00,17260.00,17059.00,16858.00,16657.00,16456.00,16255.00,16054.00,15853.00,15652.00,15451.00,15250.00,15049.00,14848.00,14647.00,14447.00,14246.00,14045.00,13844.00,13643.00,13442.00,13241.00,13040.00,12839.00
TVD,12440.00,12439.00,12435.00,12437.00,12428.00,12425.00,12421.00,12421.00,12419.00,12415.00,12413.00,12415.00,12412.00,12411.00,12412.00,12409.00,12416.00,12414.00,12412.00,12409.00,12409.00,12409.00,12413.00,12406.00,12405.00,12399.00,12385.00,12378.00,12373.00,12371.00,12363.00,12350.00,12341.00,12339.00,12342.00,12330.00,12329.00,12333.00,12328.00,12325.00,12320.00,12312.00,12306.00,12299.00,12298.00,12293.00,12287.00,12282.00,12278.00,12272.00,12266.00,12269.00,12266.00
Capacity Top Perf,421.00,418.00,415.00,412.00,409.00,406.00,403.00,400.00,397.00,394.00,391.00,388.00,385.00,382.00,379.00,376.00,373.00,370.00,367.00,364.00,361.00,358.00,355.00,352.00,349.00,346.00,343.00,340.00,337.00,334.00,331.00,328.00,325.00,322.00,319.00,316.00,313.00,310.00,307.00,304.00,301.00,298.00,295.00,292.00,289.00,286.00,283.00,280.00,277.00,274.00,271.00,268.00,265.00
Capacity Bottom Perf,423.40,420.40,417.40,414.40,411.40,408.40,405.40,402.40,399.40,396.40,393.40,390.40,387.40,384.40,381.40,378.40,375.40,372.40,369.40,366.40,363.40,360.40,357.40,354.40,351.40,348.40,345.40,342.40,339.40,336.40,333.40,330.40,327.40,324.40,321.40,318.40,315.40,312.40,309.40,306.40,303.40,300.40,297.40,294.40,291.40,288.40,285.40,282.40,279.40,276.40,273.40,270.40,267.40
Capacity Plug,423.70,420.70,417.70,414.70,411.70,408.70,405.70,402.70,399.70,396.70,393.70,390.70,387.70,384.70,381.70,378.70,375.70,372.70,369.70,366.70,363.70,360.70,357.70,354.70,351.70,348.70,345.70,342.70,339.70,336.70,333.70,330.70,327.70,324.70,321.70,318.70,315.70,312.70,309.70,306.70,303.70,300.70,297.70,294.70,291.70,288.70,285.70,282.70,279.70,276.70,273.70,270.70,267.70
Date,43244.00,43244.00,43245.00,43245.00,43246.00,43246.00,43246.00,43247.00,43247.00,43247.00,43248.00,43248.00,43248.00,43249.00,43249.00,43249.00,43250.00,43250.00,43251.00,43251.00,43251.00,43251.00,43252.00,43253.00,43253.00,43253.00,43253.00,43254.00,43254.00,43254.00,43255.00,43255.00,43255.00,43256.00,43256.00,43256.00,43256.00,43257.00,43257.00,43257.00,43258.00,43258.00,43258.00,43258.00,43259.00,43259.00,43259.00,43259.00,43260.00,43260.00,43260.00,43260.00,43283.00
IWHP,4740.00,4920.00,4910.00,4810.00,4960.00,5020.00,5090.00,5130.00,5250.00,5180.00,5060.00,5210.00,5170.00,5310.00,5320.00,5190.00,5010.00,5170.00,5260.00,5200.00,5220.00,5270.00,5110.00,5220.00,5160.00,5340.00,5130.00,5190.00,5230.00,5140.00,5120.00,5120.00,5130.00,5130.00,5420.00,5300.00,5280.00,5990.00,5320.00,5230.00,5380.00,5260.00,5060.00,5010.00,5050.00,5220.00,5230.00,5180.00,5200.00,5240.00,5230.00,5130.00,5010.00
