Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
End Time,0.33,0.01,0.29,0.61,0.88,0.73,0.10,0.47,0.73,0.02,0.28,0.54,0.91,0.22,0.51,0.80,0.12,0.38,0.68,0.93,0.18,0.46,0.79,0.05,0.32,0.57,0.86,0.12,0.39,0.66,0.97,0.25,0.50,0.94,0.22,0.50,0.81,0.09,0.40,0.68,0.98,0.26,0.52,0.79,0.01,0.27,0.52,0.75,0.01,0.24,0.48,0.73,0.19
Pump Time,0.30,0.13,0.13,0.14,0.13,0.15,0.15,0.19,0.14,0.14,0.13,0.13,0.12,0.13,0.13,0.12,0.15,0.12,0.13,0.13,0.13,0.12,0.20,0.12,0.12,0.13,0.15,0.13,0.12,0.12,0.12,0.15,0.12,0.27,0.13,0.12,0.12,0.12,0.12,0.13,0.13,0.12,0.12,0.16,0.12,0.12,0.13,0.12,0.12,0.12,0.12,0.12,0.12
Ave Rate,61.00,69.70,69.80,62.80,69.50,69.10,68.60,70.00,64.80,60.60,69.40,69.70,65.30,68.90,70.30,70.50,70.10,70.30,69.40,70.00,68.40,70.90,69.10,70.40,70.10,68.40,69.60,69.50,70.10,69.90,69.90,67.50,69.90,51.30,69.70,69.40,70.00,70.00,70.00,68.50,69.70,70.90,70.00,70.10,70.00,71.00,69.80,69.80,69.90,69.90,70.50,69.60,69.90
Ave Pres,11152.00,11019.00,10520.00,10897.00,10622.00,10407.00,11544.00,10725.00,11117.00,11655.00,11762.00,11675.00,11111.00,11441.00,11743.00,11478.00,11461.00,11610.00,11656.00,11517.00,11260.00,11586.00,11706.00,11597.00,11743.00,11404.00,11222.00,10998.00,11645.00,11661.00,11495.00,11530.00,11700.00,11892.00,11452.00,11619.00,11595.00,11718.00,11631.00,11413.00,11425.00,11490.00,11486.00,10837.00,10816.00,11526.00,11189.00,11399.00,11289.00,10914.00,10934.00,11138.00,11282.00
Max Rate,70.00,71.10,70.00,65.90,71.50,71.30,70.00,71.00,66.50,62.90,71.90,72.70,70.50,70.60,71.00,71.10,70.80,71.30,71.00,71.00,71.40,72.30,70.70,71.20,72.30,75.70,71.10,70.20,75.40,74.70,72.50,74.90,72.70,68.30,75.10,75.30,71.10,71.60,71.60,70.80,71.00,75.10,75.90,71.00,71.00,75.30,72.80,73.60,70.80,70.30,71.20,71.60,71.10
Max Pres,11650.00,11730.00,10880.00,11910.00,11900.00,12030.00,12040.00,11240.00,11960.00,12050.00,12110.00,12130.00,11950.00,11990.00,12010.00,12040.00,12050.00,12030.00,11870.00,11940.00,11990.00,11960.00,12070.00,12080.00,12100.00,11930.00,11690.00,11580.00,11990.00,12030.00,11770.00,11950.00,11970.00,12290.00,12070.00,12130.00,11930.00,11930.00,11890.00,11790.00,12020.00,11830.00,11820.00,12180.00,11620.00,12050.00,12050.00,11880.00,12010.00,11680.00,11550.00,12000.00,12020.00
ISIP,5700.00,5630.00,5670.00,5770.00,5640.00,5670.00,5740.00,5920.00,5700.00,5680.00,5970.00,5870.00,5800.00,5860.00,6020.00,5960.00,5910.00,6000.00,5870.00,5920.00,5910.00,5940.00,5900.00,5780.00,5950.00,5950.00,6010.00,5950.00,5860.00,5880.00,5830.00,5920.00,5910.00,5970.00,6010.00,5790.00,5880.00,5970.00,5940.00,5830.00,6000.00,5900.00,6020.00,6110.00,5820.00,5860.00,5920.00,5960.00,5850.00,5770.00,5650.00,6440.00,5800.00
FG,0.89,0.89,0.89,0.90,0.89,0.89,0.90,0.91,0.89,0.89,0.92,0.91,0.90,0.91,0.92,0.92,0.91,0.92,0.91,0.91,0.91,0.91,0.91,0.90,0.92,0.92,0.92,0.92,0.91,0.91,0.91,0.91,0.91,0.92,0.92,0.90,0.91,0.92,0.92,0.91,0.92,0.91,0.92,0.93,0.91,0.91,0.92,0.92,0.91,0.90,0.89,0.96,0.90
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,16673.00,18824.00,17997.00,16773.00,18094.00,17626.00,19410.00,18401.00,17656.00,17311.00,20018.00,19956.00,17783.00,19312.00,20234.00,19833.00,19692.00,20007.00,19827.00,19760.00,18863.00,20131.00,19826.00,20011.00,20167.00,19118.00,19143.00,18734.00,20019.00,19964.00,19694.00,19084.00,20039.00,14952.00,19567.00,19758.00,19893.00,20104.00,19967.00,19162.00,19518.00,19975.00,19718.00,18619.00,18557.00,20069.00,19136.00,19501.00,19341.00,18698.00,18893.00,19000.00,19329.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15% HCl Acid,29.00,30.00,30.00,30.00,29.00,30.00,28.00,31.00,29.00,30.00,30.00,30.00,29.00,30.00,30.00,31.00,31.00,31.00,29.00,30.00,30.00,23.00,15.00,22.00,17.00,16.00,15.00,14.00,17.00,15.00,16.00,14.00,14.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,15.00,14.00,17.00,13.00,15.00,15.00,14.00,16.00,13.00,14.00,14.00,15.00
Slickwater,12203.00,10771.00,10798.00,10632.00,10709.00,11007.00,10685.00,11702.00,10697.00,10727.00,10607.00,10747.00,10640.00,10617.00,10580.00,10733.00,10773.00,10640.00,10739.00,10713.00,10870.00,10732.00,11233.00,10648.00,10692.00,10996.00,10510.00,10603.00,10511.00,10672.00,10576.00,11030.00,10501.00,11132.00,10736.00,10556.00,10601.00,10586.00,10634.00,10669.00,10541.00,10639.00,10715.00,10931.00,10514.00,10613.00,11228.00,10564.00,10524.00,10490.00,10672.00,10421.00,10269.00
Pump Down,314.00,308.00,299.00,268.00,276.00,199.00,123.00,229.00,180.00,202.00,206.00,190.00,222.00,175.00,162.00,187.00,174.00,204.00,212.00,192.00,180.00,182.00,150.00,181.00,162.00,130.00,137.00,135.00,150.00,122.00,119.00,117.00,111.00,144.00,90.00,95.00,88.00,78.00,87.00,75.00,87.00,62.00,58.00,47.00,44.00,44.00,37.00,32.00,27.00,21.00,18.00,79.00,0.00
Total Fluid,12546.00,11109.00,11127.00,10930.00,11014.00,11236.00,10836.00,11962.00,10906.00,10959.00,10844.00,10967.00,10891.00,10823.00,10772.00,10950.00,10978.00,10875.00,10980.00,10935.00,11081.00,10936.00,11397.00,10850.00,10871.00,11143.00,10662.00,10752.00,10677.00,10809.00,10711.00,11160.00,10626.00,11290.00,10841.00,10666.00,10704.00,10680.00,10736.00,10759.00,10643.00,10716.00,10787.00,10995.00,10571.00,10672.00,11280.00,10611.00,10567.00,10524.00,10704.00,10514.00,10283.00
100 Mesh,495420.00,497560.00,500110.00,499860.00,494660.00,492100.00,499020.00,499440.00,499080.00,495560.00,498200.00,503180.00,498940.00,496240.00,496520.00,504720.00,501520.00,503080.00,500940.00,498800.00,500080.00,505900.00,501220.00,503700.00,504380.00,502620.00,505700.00,503040.00,496660.00,496740.00,503860.00,507380.00,504080.00,502300.00,504220.00,503700.00,501640.00,505700.00,504380.00,504840.00,503940.00,508840.00,508880.00,500580.00,503780.00,504900.00,504960.00,502920.00,498640.00,494760.00,509100.00,504200.00,498260.00
