Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
End Time,0.90,0.75,0.18,0.63,0.01,0.39,0.92,0.44,0.83,0.21,0.62,0.95,0.36,0.70,0.02,0.32,0.81,0.35,0.96,0.34,0.67,0.96,0.28,0.57,0.87,0.29,0.59,0.07,0.37,0.70,0.10,0.66,0.06,0.66,0.09,0.49,0.80,0.09,0.39,0.69,0.32,0.58,0.83,0.13,0.44,0.69,0.16,0.45,0.81,0.10,0.35,0.63,0.90
Pump Time,0.36,0.13,0.19,0.19,0.17,0.16,0.25,0.29,0.20,0.16,0.23,0.15,0.24,0.16,0.18,0.15,0.17,0.15,0.15,0.21,0.17,0.16,0.16,0.16,0.16,0.23,0.15,0.34,0.15,0.18,0.25,0.33,0.19,0.34,0.16,0.23,0.15,0.15,0.15,0.16,0.19,0.15,0.14,0.15,0.14,0.13,0.22,0.13,0.14,0.13,0.14,0.13,0.16
Ave Rate,56.00,58.00,53.70,57.50,58.60,59.20,61.00,56.00,54.60,58.30,54.00,61.10,51.00,58.00,62.50,61.00,53.30,58.00,59.50,63.80,61.80,60.50,61.00,60.50,59.60,59.00,58.00,64.40,62.00,56.00,59.60,62.00,63.80,58.00,60.10,59.00,58.70,62.20,60.10,59.90,61.40,62.10,66.10,66.70,64.40,68.80,65.40,70.20,68.50,70.00,66.30,69.30,70.00
Ave Pres,11291.00,11606.00,12067.00,11747.00,11951.00,11574.00,12088.00,11627.00,11480.00,11965.00,11980.00,11992.00,12030.00,11840.00,12009.00,12039.00,11919.00,12080.00,12002.00,11930.00,11730.00,12077.00,11772.00,11611.00,11577.00,11730.00,10971.00,11915.00,11610.00,11725.00,11838.00,11750.00,11887.00,11250.00,10839.00,11024.00,10103.00,11464.00,10619.00,10861.00,10428.00,10815.00,11130.00,11077.00,10712.00,10840.00,10995.00,10806.00,10845.00,10893.00,10857.00,10449.00,11041.00
Max Rate,67.00,57.00,58.50,59.50,63.50,62.80,66.00,62.00,63.70,61.30,59.50,63.90,62.00,63.70,63.80,65.00,66.00,65.00,63.70,66.00,64.50,65.90,63.00,64.90,66.30,66.00,62.30,67.40,65.00,64.00,65.40,65.00,66.20,62.00,64.20,62.50,62.10,67.70,67.10,61.70,69.20,63.50,68.20,68.50,65.60,70.50,69.70,71.30,70.80,71.30,69.80,71.20,71.60
Max Pres,13500.00,12230.00,12350.00,12270.00,12300.00,12150.00,12310.00,12160.00,12250.00,12250.00,12270.00,12280.00,12410.00,12310.00,12330.00,12280.00,12390.00,12370.00,12425.00,12450.00,12330.00,12470.00,12520.00,12330.00,12480.00,12270.00,11940.00,12390.00,12310.00,12450.00,12450.00,12320.00,12405.00,12350.00,12210.00,12240.00,12020.00,12110.00,11990.00,11980.00,11840.00,12420.00,11940.00,12395.00,11600.00,11700.00,12120.00,11590.00,11340.00,11790.00,11590.00,11160.00,11700.00
ISIP,6340.00,6555.00,5730.00,5800.00,6020.00,6085.00,5985.00,6210.00,6310.00,6257.00,6260.00,7640.00,5610.00,6240.00,6242.00,5980.00,6093.00,6025.00,6308.00,6240.00,6110.00,6092.00,6220.00,6030.00,6475.00,6185.00,5990.00,6227.00,6430.00,6880.00,6715.00,6990.00,6622.00,6295.00,6279.00,6040.00,6020.00,6042.00,6170.00,6000.00,6090.00,6040.00,6074.00,6139.00,6060.00,6242.00,6127.00,6150.00,6021.00,6247.00,6050.00,5970.00,6108.00
FG,0.94,0.96,0.89,0.90,0.91,0.92,0.91,0.93,0.94,0.93,0.93,1.04,0.88,0.93,0.93,0.91,0.92,0.91,0.94,0.93,0.92,0.92,0.93,0.92,0.95,0.93,0.91,0.93,0.95,0.98,0.97,0.99,0.96,0.94,0.94,0.92,0.92,0.92,0.93,0.91,0.92,0.92,0.92,0.93,0.92,0.93,0.92,0.93,0.92,0.94,0.92,0.91,0.92
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,15497.00,16499.00,15882.00,16555.00,17165.00,16794.00,18073.00,15959.00,15363.00,17097.00,15856.00,17959.00,15038.00,16831.00,18396.00,17999.00,15571.00,17173.00,17503.00,18655.00,17768.00,17908.00,17600.00,17217.00,16912.00,16963.00,15596.00,18807.00,17643.00,16093.00,17293.00,17855.00,18588.00,15993.00,15966.00,15942.00,14535.00,17477.00,15642.00,15945.00,15693.00,16461.00,18032.00,18109.00,16908.00,18279.00,17624.00,18593.00,18208.00,18689.00,17643.00,17748.00,18943.00
