Well Name,Stages,Top Perf,Bottom Perf,Num Perfs,Plug Depth,TVD,Capacity Top Perf,Capacity Bottom Perf,Capacity Plug,Date,IWHP,Break Pres,Start Time,End Time,Pump Time,Ave Rate,Ave Pres,Max Rate,Max Pres,ISIP,FG,Design,Avg HHP,15 minute SIP,15% HCl Acid,Slickwater,Pump Down,Total Fluid,100 Mesh,Total Proppant,100 Mesh,Delivered Total Prop,"Plexslick 957, gal","Chemplex 4-N-1, gal","Payzone 845, gal","Payzone 850, gal","Payzone 217, gal","Stim741 Gel, gal","15% HCl Acid, gal"
Silvertip A 4H,1.0,22874.0,23036.0,24.0,23055.0,12093.0,415.4,417.9,418.1,43266.0,3400.0,7230.0,1.0,0.14,0.15,63.1,11109.0,68.5,12020.0,5190.0,0.86,55.0,17181.0,,31.0,10806.0,326.0,11163.0,503020.0,503020.0,503020.0,503020.0,455.0,8.0,91.0,34.0,91.0,20.0,1301.0
Silvertip A 4H,2.0,22673.0,22835.0,24.0,22854.0,12095.0,412.4,414.9,415.1,43266.0,4360.0,6700.0,0.43,0.57,0.14,69.8,11024.0,70.9,11740.0,5430.0,0.88,55.0,18860.0,,29.0,11832.0,301.0,12162.0,499320.0,499320.0,499320.0,499320.0,493.0,7.0,99.0,37.0,99.0,10.0,1224.0
Silvertip A 4H,3.0,22473.0,22634.0,24.0,22653.0,12091.0,409.4,411.9,412.1,43267.0,4510.0,8080.0,0.76,0.89,0.13,72.0,11675.0,73.6,11970.0,5490.0,0.89,55.0,20603.0,,30.0,10973.0,308.0,11311.0,501700.0,501700.0,501700.0,501700.0,396.0,8.0,92.0,35.0,92.0,10.0,1261.0
Silvertip A 4H,4.0,22272.0,22434.0,24.0,22453.0,12089.0,406.4,408.9,409.2,43267.0,4750.0,8920.0,0.08,0.31,0.23,62.4,11445.0,65.8,11940.0,5590.0,0.9,55.0,17504.0,,26.0,12034.0,303.0,12364.0,502280.0,502280.0,502280.0,502280.0,501.0,7.0,99.0,37.0,99.0,10.0,1111.0
Silvertip A 4H,5.0,22071.0,22233.0,24.0,22252.0,12089.0,403.4,405.9,406.1,43267.0,4920.0,7740.0,0.51,0.8,0.28,64.8,11421.0,71.0,12160.0,5740.0,0.91,55.0,18151.0,,30.0,12011.0,274.0,12314.0,501400.0,501400.0,501400.0,501400.0,495.0,8.0,101.0,38.0,101.0,10.0,1259.0
Silvertip A 4H,6.0,21870.0,22032.0,24.0,22051.0,12086.0,400.4,402.9,403.1,43268.0,4690.0,7760.0,0.02,0.15,0.13,66.7,11304.0,71.0,11580.0,5760.0,0.91,55.0,18474.0,,29.0,10901.0,243.0,11173.0,499620.0,499620.0,499620.0,499620.0,453.0,7.0,91.0,34.0,91.0,10.0,1219.0
Silvertip A 4H,7.0,21669.0,21831.0,24.0,21850.0,12082.0,397.4,399.9,400.1,43268.0,4790.0,7130.0,0.34,0.48,0.14,66.8,11706.0,70.8,12010.0,5610.0,0.9,55.0,19166.0,,27.0,10986.0,242.0,11255.0,499540.0,499540.0,499540.0,499540.0,458.0,7.0,92.0,35.0,92.0,10.0,1150.0
Silvertip A 4H,8.0,21468.0,21630.0,24.0,21649.0,12082.0,394.4,396.9,397.1,43281.0,4970.0,7300.0,0.64,0.77,0.14,66.6,11569.0,69.2,12050.0,5790.0,0.91,55.0,18888.0,,28.0,10976.0,230.0,11234.0,507620.0,507620.0,507620.0,507620.0,457.0,7.0,94.0,35.0,94.0,10.0,1172.0
Silvertip A 4H,9.0,21268.0,21429.0,24.0,21448.0,12079.0,391.5,393.9,394.1,43281.0,4960.0,6800.0,0.92,0.06,0.13,65.6,11455.0,71.6,11640.0,5790.0,0.91,55.0,18412.0,,30.0,10932.0,206.0,11168.0,502280.0,502280.0,502280.0,502280.0,455.0,8.0,92.0,34.0,92.0,10.0,1248.0
Silvertip A 4H,10.0,21067.0,21229.0,24.0,21248.0,12073.0,388.5,390.9,391.2,43269.0,4660.0,6930.0,0.23,0.36,0.13,70.0,11808.0,70.6,12190.0,5700.0,0.91,55.0,20259.0,,28.0,10863.0,209.0,11100.0,496540.0,496540.0,496540.0,496540.0,453.0,7.0,92.0,34.0,92.0,10.0,1190.0
Silvertip A 4H,11.0,20866.0,21028.0,24.0,21047.0,12072.0,385.5,387.9,388.2,43269.0,4640.0,7180.0,0.53,0.66,0.13,65.8,11444.0,66.9,11890.0,5700.0,0.91,55.0,18456.0,,17.0,10955.0,210.0,11182.0,501940.0,501940.0,501940.0,501940.0,457.0,4.0,93.0,34.0,93.0,10.0,715.0
Silvertip A 4H,12.0,20665.0,20827.0,24.0,20846.0,12071.0,382.5,384.9,385.2,43281.0,4860.0,6610.0,0.82,0.94,0.13,67.7,11590.0,70.2,11790.0,5760.0,0.91,55.0,19243.0,,14.0,10899.0,224.0,11137.0,500660.0,500660.0,500660.0,500660.0,454.0,4.0,91.0,34.0,91.0,10.0,596.0
Silvertip A 4H,13.0,20464.0,20626.0,24.0,20645.0,12073.0,379.5,381.9,382.2,43281.0,4720.0,6760.0,0.09,0.22,0.13,68.0,11566.0,70.3,11800.0,5780.0,0.91,55.0,19277.0,,15.0,10808.0,203.0,11026.0,500960.0,500960.0,500960.0,500960.0,450.0,4.0,90.0,34.0,90.0,10.0,615.0
Silvertip A 4H,14.0,20263.0,20425.0,24.0,20444.0,12077.0,376.5,378.9,379.2,43270.0,4900.0,7160.0,0.37,0.49,0.13,67.2,11411.0,69.6,11680.0,5690.0,0.9,55.0,18795.0,,15.0,10789.0,255.0,11059.0,499480.0,499480.0,499480.0,499480.0,450.0,4.0,90.0,34.0,90.0,10.0,631.0
Silvertip A 4H,15.0,20063.0,20224.0,24.0,20243.0,12078.0,373.5,375.9,376.2,43281.0,4680.0,7060.0,0.67,0.8,0.13,67.7,11352.0,71.7,11740.0,5700.0,0.91,55.0,18839.0,,15.0,10928.0,202.0,11145.0,500140.0,500140.0,500140.0,500140.0,412.0,4.0,92.0,34.0,92.0,10.0,633.0
Silvertip A 4H,16.0,19862.0,20024.0,24.0,20043.0,12076.0,370.5,372.9,373.2,43271.0,4950.0,7220.0,0.95,0.07,0.12,69.7,11630.0,70.8,11880.0,5840.0,0.92,55.0,19865.0,,15.0,10812.0,189.0,11016.0,496800.0,496800.0,496800.0,496800.0,407.0,4.0,91.0,34.0,91.0,10.0,636.0
Silvertip A 4H,17.0,19661.0,19823.0,24.0,19842.0,12071.0,367.5,369.9,370.2,43276.0,4870.0,7240.0,0.21,0.33,0.12,70.4,11705.0,71.0,11820.0,5850.0,0.92,55.0,20197.0,,15.0,10720.0,179.0,10914.0,496140.0,496140.0,496140.0,496140.0,446.0,4.0,90.0,34.0,90.0,10.0,633.0
Silvertip A 4H,18.0,19460.0,19622.0,24.0,19641.0,12066.0,364.5,366.9,367.2,43271.0,4930.0,7560.0,0.48,0.61,0.13,66.3,11687.0,67.2,11870.0,5840.0,0.92,55.0,18991.0,,15.0,10773.0,175.0,10963.0,499740.0,499740.0,499740.0,499740.0,449.0,4.0,90.0,34.0,90.0,10.0,631.0
Silvertip A 4H,19.0,19259.0,19421.0,24.0,19440.0,12060.0,361.5,363.9,364.2,43271.0,4700.0,7560.0,0.79,0.91,0.13,67.7,11638.0,69.4,11880.0,5770.0,0.91,55.0,19320.0,,15.0,10688.0,166.0,10869.0,493180.0,493180.0,493180.0,493180.0,434.0,4.0,90.0,34.0,90.0,10.0,620.0
Silvertip A 4H,20.0,19058.0,19220.0,24.0,19239.0,12054.0,358.5,360.9,361.2,43272.0,4620.0,7080.0,0.08,0.22,0.14,68.5,11658.0,70.3,11840.0,5660.0,0.9,55.0,19573.0,,15.0,10875.0,163.0,11053.0,502220.0,502220.0,502220.0,502220.0,453.0,4.0,91.0,34.0,91.0,10.0,609.0
Silvertip A 4H,21.0,18858.0,19019.0,24.0,19038.0,12053.0,355.5,357.9,358.2,43281.0,4330.0,7340.0,0.41,0.54,0.13,70.0,11286.0,70.9,11860.0,5890.0,0.92,55.0,19363.0,,14.0,10680.0,154.0,10848.0,498800.0,498800.0,498800.0,498800.0,373.0,4.0,91.0,34.0,91.0,10.0,596.0
