Stage,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
Pump Time,0.13,0.20,0.13,0.13,0.13,0.13,0.20,0.13,0.12,0.13,0.13,0.12,0.14,0.12,0.12,0.19,0.12,0.12,0.08,0.13,0.13,0.12,0.17,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.12,0.12,0.12,0.12,0.13,0.12,0.12,0.12,0.13,0.12,0.15,0.12,0.12,0.33,0.12,0.12,0.12,0.12
Ave Rate,69.80,69.50,68.60,70.40,70.20,70.00,68.90,70.30,70.20,70.70,68.80,70.30,70.20,70.10,70.00,70.40,70.00,70.10,70.20,70.20,69.90,69.80,69.80,70.10,70.50,70.20,70.50,70.20,69.40,70.40,70.40,69.80,69.60,70.20,70.00,70.10,70.30,70.80,70.20,69.90,70.30,70.10,70.50,70.40,70.20,69.80,69.70,70.30
Ave Pres,10805.00,10897.00,10974.00,10610.00,10898.00,11090.00,11006.00,11148.00,11175.00,10960.00,11239.00,11193.00,10993.00,11272.00,11366.00,11074.00,11242.00,11348.00,11499.00,11262.00,10909.00,11241.00,11417.00,11383.00,11336.00,11584.00,11250.00,11529.00,11499.00,11350.00,11131.00,11130.00,10896.00,11040.00,11304.00,11238.00,11154.00,11175.00,10891.00,10737.00,10342.00,10735.00,10701.00,11294.00,10376.00,10717.00,10698.00,10727.00
Max Rate,73.30,70.30,70.50,71.30,70.80,70.70,70.20,70.90,71.40,71.80,70.80,71.70,71.10,70.60,70.40,71.30,71.30,70.90,71.90,71.50,70.60,70.40,70.80,70.90,72.70,71.30,71.60,70.90,72.10,71.60,71.30,71.30,71.50,72.30,71.00,71.70,71.10,73.00,71.60,71.30,70.90,72.00,71.10,70.90,70.70,71.10,70.70,71.00
Max Pres,11600.00,11740.00,10560.00,11610.00,11650.00,11610.00,12060.00,12180.00,11760.00,11660.00,12140.00,11780.00,11650.00,11830.00,11830.00,11810.00,11780.00,11970.00,11770.00,11960.00,12150.00,11740.00,11710.00,11820.00,11940.00,11860.00,11840.00,11980.00,12030.00,11890.00,11860.00,11910.00,11580.00,11870.00,11980.00,12070.00,11810.00,12050.00,12040.00,12010.00,11680.00,11080.00,11960.00,11640.00,11830.00,11880.00,11900.00,11700.00
ISIP,5710.00,5890.00,5810.00,5890.00,5870.00,6020.00,6100.00,6060.00,6130.00,6050.00,6090.00,6120.00,6140.00,6080.00,6020.00,6140.00,6080.00,5980.00,6010.00,5980.00,5990.00,6010.00,5870.00,6050.00,6050.00,5880.00,5890.00,5910.00,5940.00,5880.00,5860.00,5940.00,5990.00,6020.00,6080.00,6050.00,6020.00,6200.00,6010.00,6020.00,5900.00,5980.00,5930.00,5950.00,5880.00,5920.00,5860.00,5930.00
FG,0.90,0.92,0.91,0.92,0.92,0.93,0.94,0.93,0.94,0.93,0.93,0.94,0.94,0.93,0.93,0.94,0.93,0.92,0.93,0.92,0.92,0.93,0.91,0.93,0.93,0.92,0.92,0.92,0.92,0.91,0.91,0.92,0.92,0.93,0.93,0.93,0.93,0.94,0.92,0.93,0.92,0.92,0.92,0.92,0.91,0.92,0.91,0.92
Design,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.00
Avg HHP,18485.00,18562.00,18451.00,18307.00,18751.00,19027.00,18586.00,19208.00,19228.00,18992.00,18952.00,19286.00,18914.00,19367.00,19500.00,19108.00,19288.00,19497.00,19777.00,19366.00,18690.00,19231.00,19521.00,19558.00,19574.00,19940.00,19439.00,19837.00,19560.00,19582.00,19206.00,19041.00,18574.00,19003.00,19394.00,19303.00,19208.00,19392.00,18739.00,18384.00,17820.00,18444.00,18478.00,19488.00,17853.00,18334.00,18273.00,18483.00
15 minute SIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
