,,,,WELL TREATMENT SUMMARY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operator:,Anadarko Petroleum Corporation,,,Formation:,Wolfcamp Upper Delta,,"12,244 ft","5-1/2""",23.00 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well Name:,SilverTip 76-7 Unit A 1H,,,AFE:,2121783.CMP,,"11,239 ft","4-1/2""",13.50 lbs,P-110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer:,Allie Lay,,,Max Psi:,"12,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Location,Loving County Tx,,,Job Type:,53-Stage SW Plug & Perf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Service Company:,PumpCo 2,,,,Odessa,,,Julian Weaver/ Jarvis Weaver ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,Total
"Capacity Plug, bbl",,426.2,423.2,420.2,417.2,414.2,411.2,408.2,405.2,402.2,399.2,396.2,393.2,390.3,387.3,384.3,381.3,378.3,375.3,372.3,369.3,366.3,363.3,360.3,357.3,354.3,351.3,348.3,345.3,342.3,339.3,336.3,333.3,330.3,327.3,324.3,321.3,318.3,315.3,309.4,309.4,306.4,303.4,300.4,297.4,294.4,291.4,288.4,285.4,282.4,279.4,276.4,273.4,270.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
,,All data below is auto entered.  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,AVERAGE,5/3/18,5/4/18,5/4/18,5/5/18,5/5/18,5/6/18,5/6/18,5/7/18,5/7/18,5/8/18,5/8/18,5/8/18,5/9/18,5/9/18,5/9/18,5/10/18,5/10/18,5/11/18,5/11/18,5/12/18,5/12/18,5/12/18,5/12/18,5/13/18,5/13/18,5/14/18,5/14/18,5/14/18,5/15/18,5/15/18,5/15/18,5/16/18,5/16/18,5/17/18,5/17/18,5/18/18,5/18/18,5/18/18,5/19/18,5/19/18,5/20/18,5/20/18,5/20/18,5/20/18,5/21/18,5/21/18,5/21/18,5/22/18,5/22/18,5/22/18,5/23/18,5/23/18,5/23/18,,,,,,,,,,,,,,,,,,,,,,,
"IWHP, psi","6,034","4,780","5,160","5,240","5,095","4,860","4,790","48,000","4,970","4,910","5,420","5,080","5,330","5,460","5,230","4,960","5,100","5,030","5,030","4,790","5,380","5,540","5,370","5,060","5,280","5,350","5,540","5,360","5,310","5,490","5,460","5,460","5,510","5,480","5,300","5,510","5,280","5,140","5,210","5,250","5,250","5,320","5,190","5,270","5,350","5,460","5,220","5,230","5,190","5,070","5,140","5,180","5,200","5,220",,,,,,,,,,,,,,,,,,,,,,,
"Break, psi","7,996","7,570","9,050","8,610","8,300","9,580","8,250","8,050","7,770","7,910",,"9,150","8,070","9,040","8,380","8,490","8,370","8,890","8,250","8,630","8,000","7,860","8,320","8,000","7,970","7,030","8,080","8,230","8,530","7,855","8,370","8,130","7,680","7,480","7,820","8,180","8,790","7,400","8,050","7,170","7,870","7,320","7,530","7,400","7,410","7,880","7,220","7,510","7,330","7,390","7,180","7,610","7,420","7,430",,,,,,,,,,,,,,,,,,,,,,,
Start Time,,12:57,14:55,23:41,10:25,20:09,5:29,16:06,3:36,15:10,1:07,9:19,19:07,2:49,12:55,20:21,4:02,15:27,4:46,19:35,3:04,11:55,19:17,2:50,10:01,17:04,1:21,10:31,17:22,5:23,12:23,20:20,7:57,21:03,7:37,22:25,6:13,15:28,22:29,5:48,12:48,3:00,10:28,16:45,23:33,7:18,13:25,22:36,7:39,16:06,23:18,5:13,11:50,17:46,,,,,,,,,,,,,,,,,,,,,,,
End Time,,21:42,18:01,4:14,15:01,0:12,9:15,22:10,10:37,19:58,4:56,14:49,22:47,8:34,16:45,0:34,7:38,19:30,8:20,23:09,8:08,16:01,23:01,6:44,13:45,20:53,6:55,14:12,1:37,8:55,16:44,2:18,15:52,1:33,15:50,2:09,11:50,19:09,2:04,9:28,16:32,7:38,14:00,20:01,3:03,10:40,16:39,3:51,10:48,19:21,2:25,8:31,15:04,21:41,,,,,,,,,,,,,,,,,,,,,,,
"Pump Time, h:mm",4:26,8:45,3:06,4:33,4:36,4:03,3:46,6:04,7:01,4:48,3:49,5:30,3:40,5:45,3:50,4:13,3:36,4:03,3:34,3:34,5:04,4:06,3:44,3:54,3:44,3:49,5:34,3:41,8:15,3:32,4:21,5:58,7:55,4:30,8:13,3:44,5:37,3:41,3:35,3:40,3:44,4:38,3:32,3:16,3:30,3:22,3:14,5:15,3:09,3:15,3:07,3:18,3:14,3:55,,,,,,,,,,,,,,,,,,,,,,,
"Average Rate, bpm",61.0,56.0,58.0,53.7,57.5,58.6,59.2,61.0,56.0,54.6,58.3,54.0,61.1,51.0,58.0,62.5,61.0,53.3,58.0,59.5,63.8,61.8,60.5,61.0,60.5,59.6,59.0,58.0,64.4,62.0,56.0,59.6,62.0,63.8,58.0,60.1,59.0,58.7,62.2,60.1,59.9,61.4,62.1,66.1,66.7,64.4,68.8,65.4,70.2,68.5,70.0,66.3,69.3,70.0,,,,,,,,,,,,,,,,,,,,,,,
"Average Pressure, psi","11,443","11,291","11,606","12,067","11,747","11,951","11,574","12,088","11,627","11,480","11,965","11,980","11,992","12,030","11,840","12,009","12,039","11,919","12,080","12,002","11,930","11,730","12,077","11,772","11,611","11,577","11,730","10,971","11,915","11,610","11,725","11,838","11,750","11,887","11,250","10,839","11,024","10,103","11,464","10,619","10,861","10,428","10,815","11,130","11,077","10,712","10,840","10,995","10,806","10,845","10,893","10,857","10,449","11,041",,,,,,,,,,,,,,,,,,,,,,,
