Stage,AVERAGE,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
"Average Rate, bpm",61,56,58,53.7,57.5,58.6,59.2,61,56,54.6,58.3,54,61.1,51,58,62.5,61,53.3,58,59.5,63.8,61.8,60.5,61,60.5,59.6,59,58,64.4,62,56,59.6,62,63.8,58,60.1,59,58.7,62.2,60.1,59.9,61.4,62.1,66.1,66.7,64.4,68.8,65.4,70.2,68.5,70,66.3,69.3,70
"Average Pressure, psi",11443,11291,11606,12067,11747,11951,11574,12088,11627,11480,11965,11980,11992,12030,11840,12009,12039,11919,12080,12002,11930,11730,12077,11772,11611,11577,11730,10971,11915,11610,11725,11838,11750,11887,11250,10839,11024,10103,11464,10619,10861,10428,10815,11130,11077,10712,10840,10995,10806,10845,10893,10857,10449,11041
"Max Rate, bpm",65.2,67,57,58.5,59.5,63.5,62.8,66,62,63.7,61.3,59.5,63.9,62,63.7,63.8,65,66,65,63.7,66,64.5,65.9,63,64.9,66.3,66,62.3,67.4,65,64,65.4,65,66.2,62,64.2,62.5,62.1,67.7,67.1,61.7,69.2,63.5,68.2,68.5,65.6,70.5,69.7,71.3,70.8,71.3,69.8,71.2,71.6
"Max Pressure, psi",12189,13500,12230,12350,12270,12300,12150,12310,12160,12250,12250,12270,12280,12410,12310,12330,12280,12390,12370,12425,12450,12330,12470,12520,12330,12480,12270,11940,12390,12310,12450,12450,12320,12405,12350,12210,12240,12020,12110,11990,11980,11840,12420,11940,12395,11600,11700,12120,11590,11340,11790,11590,11160,11700
"ISIP, psi",6209,6340,6555,5730,5800,6020,6085,5985,6210,6310,6257,6260,7640,5610,6240,6242,5980,6093,6025,6308,6240,6110,6092,6220,6030,6475,6185,5990,6227,6430,6880,6715,6990,6622,6295,6279,6040,6020,6042,6170,6000,6090,6040,6074,6139,6060,6242,6127,6150,6021,6247,6050,5970,6108
"FG, psi/ft",0.93,0.939,0.956,0.89,0.896,0.914,0.92,0.911,0.929,0.937,0.932,0.933,1.043,0.881,0.931,0.932,0.911,0.92,0.914,0.937,0.932,0.921,0.92,0.93,0.916,0.952,0.928,0.912,0.931,0.947,0.983,0.97,0.992,0.963,0.937,0.936,0.917,0.915,0.917,0.928,0.914,0.921,0.917,0.92,0.925,0.919,0.934,0.924,0.926,0.916,0.935,0.919,0.912,0.923
"Design, bbl/ft",55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Avg HHP,17067,15497,16499,15882,16555,17165,16794,18073,15959,15363,17097,15856,17959,15038,16831,18396,17999,15571,17173,17503,18655,17768,17908,17600,17217,16912,16963,15596,18807,17643,16093,17293,17855,18588,15993,15966,15942,14535,17477,15642,15945,15693,16461,18032,18109,16908,18279,17624,18593,18208,18689,17643,17748,18943
"15% HCl Acid, bbl",29,29,30,26,30,29,30,29,30,29,28,30,30,30,30,29,30,28,27,29,30,27,29,30,30,30,30,29,29,29,28,29,30,30,30,29,30,31,27,29,30,30,30,29,27,30,29,30,30,30,29,30,30,30
"Slickwater, bbl",12006,12077,8958,13194,14223,12109,11793,14573,13813,12350,11393,11452,11363,16412,11526,12920,11612,11231,10998,10944,12530,12853,11513,12068,11866,11646,11112,11336,11327,11449,13291,12730,14257,12692,13251,11474,11441,11432,11724,11632,11516,11796,11446,11261,12030,11487,11305,11825,11491,11517,11372,11451,11667,11605
