,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate,GOR,DaysOn
54,2018-11-18,3995.89,,696.0,64.0,5206.63,0.0,0.0,0.0,1702.0,0.0,4161.0,3.0591245593419507,0
55,2018-11-19,4773.26,,1111.0,64.0,3381.73,0.0,0.0,0.0,1105.0,0.0,2656.0,3.0603891402714933,1
56,2018-11-20,3951.59,,678.0,64.0,3671.85,0.0,0.0,0.0,1220.0,0.0,3076.0,3.0097131147540983,2
57,2018-11-21,3944.34,,678.0,64.0,5022.21,0.0,0.0,0.0,1573.0,0.0,4088.0,3.1927590591226953,3
58,2018-11-22,3917.09,,678.0,64.0,4925.52,0.0,0.0,0.0,1495.0,0.0,3988.0,3.29466220735786,4
59,2018-11-23,3860.83,,678.0,64.0,4901.31,0.0,0.0,0.0,1588.0,0.0,3717.0,3.0864672544080607,5
60,2018-11-24,3748.57,,606.0,64.0,4519.38,0.0,0.0,0.0,1534.0,0.0,3605.0,2.9461408083441984,6
61,2018-11-25,3525.98,,583.0,64.0,4884.69,0.0,0.0,0.0,1504.0,0.0,3532.0,3.247799202127659,7
62,2018-11-26,3688.04,,575.0,64.0,4268.87,0.0,0.0,0.0,1447.0,0.0,3499.0,2.95015203870076,8
63,2018-11-27,3617.75,,563.0,64.0,4249.83,0.0,0.0,0.0,1405.0,0.0,3423.0,3.0247900355871886,9
64,2018-11-28,3498.9,,548.0,64.0,4345.72,0.0,0.0,0.0,1409.0,0.0,3312.0,3.0842583392476937,10
65,2018-11-29,3501.5,,542.0,64.0,4232.89,0.0,0.0,0.0,1399.0,0.0,3264.0,3.0256540385989994,11
66,2018-11-30,3458.16,,528.0,64.0,4125.59,0.0,0.0,0.0,1282.0,0.0,3261.0,3.2180889235569423,12
67,2018-12-01,3442.15,,526.0,64.0,4081.23,0.0,0.0,0.0,1347.0,0.0,3135.0,3.0298663697104677,13
