,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Measured BHP,Measured BHT,Oil Rate,Tubing Pressure,Water Rate,Cum Oil,Mat Bal Time,Delta P,Rate N,Cum Water,Cum Liquid
0,2018-09-25,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
1,2018-09-26,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
2,2018-09-27,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
3,2018-09-28,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
4,2018-09-29,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
5,2018-09-30,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
6,2018-10-01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
7,2018-10-02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
8,2018-10-03,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
9,2018-10-04,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
10,2018-10-05,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
11,2018-10-06,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
12,2018-10-07,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
13,2018-10-08,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
14,2018-10-09,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
15,2018-10-10,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
16,2018-10-11,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
17,2018-10-12,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
18,2018-10-13,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
19,2018-10-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
20,2018-10-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
21,2018-10-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
22,2018-10-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
23,2018-10-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
24,2018-10-19,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
25,2018-10-20,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
26,2018-10-21,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
27,2018-10-22,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0,0.0,0.0
28,2018-10-23,7136.39,,2866.0,20.0,1044.41,0.0,0.0,0.0,349.0,0.0,937.0,349.0,1.0,2736.6099999999997,0.4699244685943558,937.0,1286.0
29,2018-10-24,7142.25,,2457.0,35.0,1887.12,0.0,0.0,0.0,646.0,0.0,3363.0,995.0,1.5402476780185759,2730.75,1.4680948457383503,4300.0,5295.0
30,2018-10-25,6566.0,,2193.0,50.0,4658.46,0.0,0.0,0.0,1516.0,0.0,5462.0,2511.0,1.6563324538258575,3307.0,2.110069549440581,9762.0,12273.0
31,2018-10-26,5841.2,,1628.0,58.0,5271.72,0.0,0.0,0.0,1657.0,0.0,5610.0,4168.0,2.515389257694629,4031.8,1.8024207549977678,15372.0,19540.0
32,2018-10-27,5555.16,,1448.0,64.0,7093.75,0.0,0.0,0.0,2277.0,0.0,6622.0,6445.0,2.8304787000439173,4317.84,2.0609841958016046,21994.0,28439.0
33,2018-10-28,5249.41,,1240.0,64.0,6878.32,0.0,0.0,0.0,2191.0,0.0,6376.0,8636.0,3.9415791875855772,4623.59,1.8528892051414594,28370.0,37006.0
34,2018-10-29,5162.28,,1199.0,64.0,7300.96,0.0,0.0,0.0,2356.0,0.0,6471.0,10992.0,4.66553480475382,4710.72,1.8738112220637184,34841.0,45833.0
35,2018-10-30,5028.99,,1125.0,64.0,7457.99,0.0,0.0,0.0,2385.0,0.0,6461.0,13377.0,5.608805031446541,4844.01,1.8261729434910332,41302.0,54679.0
36,2018-10-31,5284.53,,1346.0,40.0,4497.94,0.0,0.0,0.0,1478.0,0.0,4010.0,14855.0,10.050744248985115,4588.47,1.1960413819857163,45312.0,60167.0
37,2018-11-01,5579.06,,1507.0,40.0,3700.23,0.0,0.0,0.0,1227.0,0.0,3628.0,16082.0,13.106764466177669,4293.94,1.1306632137384314,48940.0,65022.0
