,Date,BHP,BHP at gauge,Casing Pressure,Choke,Gas Rate,Injection Rate,Oil Rate,Tubing Pressure,Water Rate,Cum Oil,Mat Bal Time,Delta P,Rate N
0,2018-11-14,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0
1,2018-11-15,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0
2,2018-11-16,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0
3,2018-11-17,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0
4,2018-11-18,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9873.0,0.0
5,2018-11-19,8407.14,,3596.0,28.0,579.49,0.0,156.0,0.0,940.0,156.0,1.0,1465.8600000000006,0.7476839534471229
6,2018-11-20,7465.85,,2971.0,42.0,4299.47,0.0,1328.0,0.0,5578.0,1484.0,1.1174698795180722,2407.1499999999996,2.8689529111189587
7,2018-11-21,7445.22,,2971.0,42.0,3957.05,0.0,1144.0,0.0,5096.0,2628.0,2.297202797202797,2427.7799999999997,2.5702493636161434
8,2018-11-22,0.0,,2971.0,42.0,0.0,0.0,0.0,0.0,0.0,2628.0,inf,9873.0,0.0
9,2018-11-23,0.0,,2971.0,42.0,0.0,0.0,0.0,0.0,0.0,2628.0,inf,9873.0,0.0
10,2018-11-24,7493.82,,2971.0,30.0,2928.6,0.0,751.0,0.0,4107.0,3379.0,4.499334221038615,2379.1800000000003,2.0418799754537273
11,2018-11-25,6906.63,,2373.0,41.0,7090.94,0.0,2106.0,0.0,8840.0,5485.0,2.6044634377967713,2966.37,3.6900319245407687
12,2018-11-26,7327.39,,2907.0,34.0,4405.09,0.0,1324.0,0.0,5257.0,6809.0,5.1427492447129906,2545.6099999999997,2.5852349731498543
13,2018-11-27,6556.44,,2094.0,36.0,7239.56,0.0,2232.0,0.0,8492.0,9041.0,4.05062724014337,3316.5600000000004,3.2334708251923674
14,2018-11-28,6589.24,,2127.0,36.0,7702.79,0.0,2231.0,0.0,8904.0,11272.0,5.052442850739578,3283.76,3.390929909615806
15,2018-11-29,6504.0,,2069.0,36.0,7569.62,0.0,2229.0,0.0,8603.0,13501.0,6.05697622252131,3369.0,3.215197387948946
16,2018-11-30,7155.26,,2718.0,25.0,7849.11,0.0,2319.0,0.0,8507.0,15820.0,6.821905993962915,2717.74,3.98345684281793
17,2018-12-01,6447.76,,2069.0,25.0,3678.79,0.0,1104.0,0.0,4499.0,16924.0,15.329710144927537,3425.24,1.6357977835129802
18,2018-12-02,7129.96,,2662.0,37.0,2984.75,0.0,816.0,0.0,3934.0,17740.0,21.74019607843137,2743.04,1.7316553896406905
19,2018-12-03,6685.93,,2330.0,45.0,4452.95,0.0,1262.0,0.0,5120.0,19002.0,15.057052297939778,3187.0699999999997,2.0024662150501875
20,2018-12-04,6264.16,,1896.0,57.0,6888.19,0.0,2039.0,0.0,7703.0,21041.0,10.319274153997057,3608.84,2.699482382150497
21,2018-12-05,6305.82,,1896.0,62.0,8033.93,0.0,2371.0,0.0,8901.0,23412.0,9.87431463517503,3567.1800000000003,3.1599190396896146
22,2018-12-06,6323.45,,2017.0,57.0,5564.08,0.0,1613.0,0.0,6054.0,25025.0,15.514569125852448,3549.55,2.159992111676128
23,2018-12-07,6363.38,,2017.0,57.0,6610.67,0.0,1930.0,0.0,7218.0,26955.0,13.966321243523316,3509.62,2.6065499968657577
24,2018-12-08,5797.06,,1578.0,40.0,4027.19,0.0,1130.0,0.0,4550.0,28085.0,24.853982300884955,4075.9399999999996,1.3935435752243654
