DEPTH,DNAMarker0,DNAMarker1,DNAMarker2,DNAMarker3,DNAMarker4,DNAMarker5,DNAMarker6,DNAMarker7,DNAMarker8,DNAMarker9,DNAMarker10,DNAMarker11,DNAMarker12,DNAMarker13,DNAMarker14,DNAMarker15,DNAMarker16,DNAMarker17,DNAMarker18,DNAMarker19,DNAMarker20,DNAMarker21,DNAMarker22,DNAMarker23,DNAMarker24,DNAMarker25,DNAMarker26,DNAMarker27,DNAMarker28,DNAMarker29,DNAMarker30,DNAMarker31,DNAMarker32,DNAMarker33,DNAMarker34,DNAMarker35,DNAMarker36,DNAMarker37,DNAMarker38,DNAMarker39,DNAMarker40,DNAMarker41,DNAMarker42,DNAMarker43,DNAMarker44,DNAMarker45,DNAMarker46,DNAMarker47,DNAMarker48,DNAMarker49,DNAMarker50,DNAMarker51,DNAMarker52,DNAMarker53,DNAMarker54,DNAMarker55,DNAMarker56,DNAMarker57,DNAMarker58,DNAMarker59,DNAMarker60,DNAMarker61,DNAMarker62,DNAMarker63,DNAMarker64,DNAMarker65,DNAMarker66,DNAMarker67,DNAMarker68,DNAMarker69,DNAMarker70,DNAMarker71,DNAMarker72,DNAMarker73,DNAMarker74,DNAMarker75,DNAMarker76,DNAMarker77,DNAMarker78,DNAMarker79,DNAMarker80,DNAMarker81,DNAMarker82,DNAMarker83,DNAMarker84,DNAMarker85,DNAMarker86,DNAMarker87,DNAMarker88,DNAMarker89,DNAMarker90,DNAMarker91,DNAMarker92,DNAMarker93,DNAMarker94,DNAMarker95,DNAMarker96,DNAMarker97,DNAMarker98
12228.79,0.10575,0.04535,0.09541,0.02534,0,0.00726,0.00766,0,0.00703,0.00599,0.00777,0.00216,0.00536,0.00613,0.00207,0.00124,0.00322,0.00921,0.00314,0.00239,0.00164,0.00132,0.00288,0.00832,0.0036,0.00161,0.01088,0.0015,0.00308,0.01025,0.00869,0.00035,0,0.00314,0.01091,0.0025,0.0006,0.00207,0.00294,0.00144,0.00279,0.00121,0.0017,0.0042,0,0,0.00274,0,0.00181,0.00115,0,0.06346,0,0.00037,0.00625,0,0.00345,0.00078,0.00325,0.02395,0.00107,0.00026,0,0,0.00083,0.00101,0,0,0.00253,0.00579,0,0,0.00107,0.00363,0,0,0.0015,0,0.00141,0,0.00095,0,0.0013,0.00055,0.00127,0,0.00164,0.00268,0,0.00046,0.00052,0.00046,0.00138,0.00127,0,0.00026,0,0,0
12253.615,0.13415,0.03285,0.20449,0.01844,0,0.01359,0.01116,0,0.00759,0.01122,0.00633,0.01041,0.00363,0.00635,0.00481,0.00023,0.00657,0.00496,0.00431,0.00483,0.00603,0.0039,0.00348,0.00307,0.00389,0.00248,0.00458,0.00342,0.00276,0.00505,0.00513,0.00245,0,0.00435,0.00044,0.00118,0.00289,0.00196,0.00238,0.00293,0.00078,0.00369,0.00228,0.0015,0,0.00051,0.00297,0.00022,0.00222,0.00136,0.00095,0.00028,0.00101,0.00243,0.00359,0,0.00213,0.00172,0.00223,0.00492,0.00164,0,0.00037,0.00074,0.00256,0.00156,0,0.00255,0.0031,0.00343,0.0011,0.00147,0.00117,0.00107,0,0.00148,0.00091,0.00365,0.00097,0,0.00083,0,0.00211,0.00087,0.0011,0,0.00145,0.00111,0.00017,0.00095,0.00011,0.00019,0.00067,0.00003,0.00024,0.00074,0,0.00021,0.00031
12273.475,0.13061,0.03485,0.00719,0.01205,0,0.01295,0.02285,0,0.01177,0.00976,0.00764,0.0073,0.00787,0.00566,0.00978,0.00316,0.00621,0.00905,0.00632,0.00937,0.00478,0.00696,0.0093,0.00426,0.00319,0.00762,0.00224,0.00176,0.00451,0.00392,0.00116,0.0052,0,0.00131,0.00022,0.0085,0.00565,0.00535,0.00798,0.00081,0.00005,0.00139,0.00328,0.00507,0,0.0003,0.00324,0.00106,0.0044,0.0035,0,0.00122,0.00431,0.00232,0.00171,0,0.00073,0.00122,0.00073,0.00067,0.00149,0,0,0,0.0011,0.00136,0.00031,0,0.00022,0,0.00087,0.00254,0.0026,0.002,0,0.00152,0.00107,0.00256,0,0.0012,0.00266,0,0.00173,0.00027,0.00054,0.00006,0.00184,0.00102,0.00066,0.00069,0.00022,0,0.00389,0.00007,0.00044,0.00187,0,0,0
12288.7,0.08163,0.02087,0.00343,0.05176,0,0.0139,0.00859,0,0.00507,0.00543,0.00103,0.00394,0.00852,0.02309,0.00556,0.00543,0.00374,0.00655,0.00556,0.0044,0.00315,0.00168,0.00436,0.00339,0.00309,0.00275,0.0257,0.00103,0.0019,0.00259,0.00758,0.00263,0,0.00028,0.00079,0.00315,0.00543,0.00162,0.00673,0.00055,0.00081,0.00034,0.00087,0.00519,0,0,0.00059,0.0022,0.00479,0.00063,0.00014,0,0.00337,0.00149,0.01052,0,0.00477,0.00129,0.00424,0.002,0.00022,0,0.06367,0.00362,0,0,0,0,0,0.01234,0.01337,0,0.00026,0.00133,0,0.00162,0.00178,0.00416,0.00166,0,0.00164,0,0.00063,0,0.00046,0,0.00125,0.00097,0.00105,0.0002,0,0,0.00105,0,0.00022,0.00269,0,0,0.00168
12308.7,0.13378,0.04163,0.00344,0.01504,0,0.05686,0.01846,0,0.01338,0.00564,0.00603,0.00737,0.0084,0.00579,0.00881,0.00359,0.00504,0.00812,0.00804,0.00373,0.00269,0.00388,0.00699,0.00341,0.00343,0.00473,0.0019,0.00189,0.00671,0.00115,0.00151,0.0039,0,0.00284,0.01512,0.00559,0.00547,0.0044,0.00579,0.00078,0,0.00151,0.00323,0.00656,0,0,0.00412,0.0017,0.00145,0.0031,0.00017,0,0.00427,0.00198,0.00299,0,0.00231,0.00308,0.00219,0.00079,0.00154,0.00041,0,0,0.00201,0.00156,0,0.00013,0.00025,0.00029,0,0.001,0.00098,0.00113,0,0.001,0.00014,0.00441,0.00204,0,0.0025,0,0.00245,0.00013,0.00118,0,0.00034,0.00042,0.00119,0.00091,0.00003,0.00021,0.00259,0.00004,0.00012,0.00197,0,0.00011,0.0005
12328.75,0.14321,0.03873,0.01111,0.01512,0,0.01345,0.01135,0,0.0094,0.01122,0.00727,0.00666,0.00515,0.00572,0.00592,0.00341,0.01037,0.0057,0.00505,0.00678,0.00259,0.00347,0.00482,0.00302,0.00266,0.0041,0.00275,0.00219,0.00432,0.00945,0.01251,0.00287,0,0.00338,0,0.00427,0.00458,0.00273,0.0046,0.00208,0.00194,0.00224,0.00139,0.00465,0,0.00006,0.00467,0.00086,0.00409,0.00133,0.00018,0.00085,0.00223,0.00158,0.00413,0,0.00167,0.0023,0.00156,0.00131,0.00125,0,0.00026,0.00328,0.00183,0.00209,0.00015,0.00024,0.00206,0.01302,0.00451,0.00285,0.00131,0.00137,0,0.00097,0.00017,0.00189,0.0021,0.0084,0.00092,0,0.00169,0.00037,0.00108,0.0001,0.00046,0.01118,0.00136,0.00075,0.00019,0,0.0014,0.00114,0.00021,0.00181,0.00175,0.00027,0.00049
12350.25,0.09029,0.02146,0.03471,0.00488,0.00004,0.00957,0.01082,0.00004,0.00823,0.00609,0.00614,0.00625,0.00574,0.00191,0.00539,0.00179,0.00401,0.00514,0.00536,0.00419,0.00467,0.00368,0.00544,0.00222,0.00319,0.00286,0.00249,0.00084,0.00334,0.00134,0.00363,0.00301,0.00001,0.00102,0.00168,0.00494,0.00342,0.00238,0.00486,0.00962,0.00528,0.00261,0.00218,0.00508,0,0,0.00162,0.0003,0.00344,0.00149,0.00004,0.00202,0.00257,0.00133,0.00124,0,0.00094,0.00126,0.00096,0.00032,0.00141,0.01141,0.00033,0.00112,0.00079,0.00105,0,0.0008,0.00109,0.00289,0.0119,0.00141,0.00098,0.00122,0,0.00079,0.00012,0.00218,0.00067,0.00042,0.00152,0,0.00165,0.00058,0.00078,0,0.00041,0.00406,0.00065,0.00108,0.00023,0.00012,0.00203,0.00461,0.00029,0.00163,0.00007,0.00001,0.00032
12372.775,0.09062,0.0185,0.03104,0.0055,0,0.01032,0.01115,0,0.01022,0.00572,0.00494,0.00706,0.00644,0.00151,0.0066,0.00578,0.01696,0.00608,0.00578,0.00459,0.00303,0.00406,0.00529,0.00366,0.00299,0.00347,0.00117,0.00186,0.00336,0.01413,0.00689,0.00357,0,0.00288,0.0114,0.00334,0.00389,0.00229,0.00311,0.00453,0.00171,0.00238,0.00333,0.00474,0,0.0001,0.00274,0.00271,0.00174,0.00248,0.00246,0.00042,0.00241,0.00211,0.00083,0,0.00041,0.0014,0.00028,0.00178,0.00154,0.00007,0.00017,0,0.00145,0.00106,0.00402,0.00169,0.00176,0.00151,0.00153,0.00217,0.00125,0.00129,0.00139,0.00257,0.0003,0.00759,0.00038,0.00041,0.00116,0.00006,0.00073,0.00308,0.00074,0,0.00122,0.00105,0.00036,0.00042,0.00025,0.00034,0.00158,0.00064,0.00023,0.00148,0.00693,0.00012,0.00031
12392.635,0.11454,0.02921,0.05778,0.00823,0,0.01107,0.01522,0,0.01329,0.00978,0.0077,0.00833,0.00807,0.00274,0.00879,0.00541,0.00329,0.00776,0.00692,0.00467,0.00539,0.00524,0.00695,0.00444,0.00341,0.00436,0.00283,0.00207,0.004,0.00102,0.01018,0.00369,0,0.00183,0.00107,0.00425,0.00371,0.00444,0.00349,0.0069,0.00652,0.00272,0.0036,0.00411,0,0.00011,0.00215,0.00124,0.00347,0.00384,0.00071,0.00107,0.0021,0.00298,0.00102,0,0.00074,0.00118,0.00083,0.00016,0.00212,0.00009,0.00002,0,0.00093,0.00114,0,0.00073,0.00036,0.00067,0.01213,0.00153,0.00088,0.00162,0,0.0019,0.00018,0.00083,0.00075,0.00018,0.00312,0,0.00209,0.00058,0.00054,0,0.0025,0.00035,0.00065,0.0005,0.00028,0.00029,0.00218,0.00054,0.00057,0.0015,0.00009,0,0.0012
12412.495,0.09275,0.02357,0.03564,0.01687,0,0.00702,0.01007,0,0.00782,0.00433,0.00601,0.00487,0.00452,0.00455,0.00452,0.00443,0.00271,0.00437,0.00342,0.00268,0.00374,0.00281,0.00342,0.00197,0.00198,0.00404,0.00167,0.00256,0.00287,0.0015,0.01815,0.00212,0.00223,0.0025,0,0.00209,0.00233,0.00321,0.00224,0.00305,0.00678,0.00136,0.00244,0.00261,0,0.00008,0.00302,0.00166,0.00191,0.00235,0.00083,0,0.00138,0.00104,0.00319,0,0.00153,0.002,0.00109,0.00007,0.00136,0,0,0.00108,0.00216,0.00124,0.00004,0.03254,0.00009,0.009,0.00008,0.00278,0.00206,0.00101,0.00023,0.00148,0.00011,0.00356,0.00308,0.00007,0.00127,0,0.0003,0.00135,0.00162,0,0.00059,0,0.00008,0.00128,0.00099,0.00023,0.00141,0.00331,0.00043,0.00072,0,0,0
12432.355,0.10309,0.02497,0.14942,0.00881,0,0.00787,0.00876,0,0.0065,0.0076,0.00617,0.00619,0.00391,0.00282,0.00537,0.00467,0.00468,0.00515,0.00422,0.00361,0.00294,0.00249,0.00344,0.00232,0.00302,0.00297,0.00195,0.00132,0.00303,0.00536,0.01252,0.00322,0,0.0015,0.00061,0.00191,0.00297,0.00195,0.00303,0.01265,0.07329,0.00204,0.00199,0.00293,0,0.00015,0.00225,0.00214,0.00435,0.00231,0.00027,0.00041,0.00217,0.00213,0.0014,0,0.00122,0.00154,0.00121,0,0.00148,0.00005,0,0.01489,0.00171,0.00125,0.00025,0.00086,0.00096,0.0033,0.02109,0.00078,0.0019,0.00064,0.00003,0.0017,0.00029,0.00088,0.00224,0,0.00099,0.00003,0.001,0.00083,0.00118,0,0.00033,0.00088,0.00042,0.0011,0,0.00074,0.00119,0.00028,0.00025,0.00083,0.00006,0.00018,0.0009
12452.215,0.17157,0.03737,0.01522,0.0177,0,0.00974,0.01736,0,0.01413,0.00701,0.01431,0.00798,0.00966,0.00554,0.00799,0.00361,0.00437,0.00698,0.00683,0.00568,0.00688,0.0077,0.00587,0.00577,0.00321,0.00568,0.00433,0.00322,0.00485,0.00142,0.00087,0.00455,0.00281,0.0014,0.00019,0.0049,0.00442,0.00385,0.00379,0.00104,0.00073,0.00363,0.00476,0.00408,0,0.00018,0.00172,0.00163,0.00237,0.00398,0.00014,0.00142,0.0028,0.00299,0.00323,0,0.00113,0.00181,0.00143,0.00011,0.00264,0.00004,0.00011,0.00342,0.00179,0.00115,0,0.00132,0.00017,0.00007,0.00008,0.00292,0.002,0.00219,0,0.00381,0.00014,0.00039,0.002,0,0.00247,0,0.00181,0.00203,0.00207,0,0.00154,0.00046,0.00113,0.00093,0,0.00026,0.00153,0.00134,0.00052,0.00194,0,0.00002,0.00018
12472.075,0.16681,0.03704,0.03321,0.00328,0.00001,0.01181,0.0203,0,0.01889,0.00874,0.01093,0.0107,0.01076,0.00071,0.01104,0.00326,0.00424,0.00897,0.00964,0.0062,0.00748,0.0089,0.00695,0.00557,0.00496,0.00759,0.0031,0.00214,0.00512,0.0007,0.00091,0.00585,0,0.00245,0.00056,0.00501,0.00454,0.00494,0.0038,0.00147,0.00109,0.00434,0.0053,0.0038,0,0.00005,0.00172,0.00053,0.00346,0.00438,0.0001,0.0007,0.00393,0.00342,0.00045,0,0.0003,0.00184,0.00033,0,0.00252,0,0.00056,0,0.00168,0.00172,0.00008,0.00411,0.00018,0.0007,0,0.00104,0.00119,0.00276,0,0.00176,0.00018,0.00451,0.00096,0.00062,0.00277,0.02934,0.00223,0.00036,0.00095,0,0.00261,0.0005,0.00063,0.00019,0.00003,0.00003,0.00201,0.00563,0,0.00155,0.00013,0.00003,0.00049
12491.935,0.17824,0.03818,0.00179,0.00242,0,0.016,0.02394,0,0.02183,0.01072,0.01157,0.01509,0.01406,0.00052,0.01312,0.00424,0.00546,0.01098,0.01132,0.00726,0.00892,0.01019,0.00876,0.00741,0.00581,0.00856,0.00312,0.0028,0.00687,0.00029,0.00097,0.0073,0,0.00152,0.00097,0.0056,0.00514,0.0063,0.00636,0.00029,0.00007,0.00518,0.00531,0.00543,0,0.00005,0.00224,0.00139,0.0048,0.00585,0.00008,0.0015,0.00456,0.00385,0.00003,0,0.00022,0.002,0.00014,0.00015,0.0031,0.0002,0.00018,0.00012,0.0015,0.00181,0.00027,0.00047,0.00008,0.00015,0,0.00143,0.00091,0.00288,0,0.0021,0.0002,0.00129,0.00073,0.00042,0.00317,0.00045,0.00218,0.00039,0.00052,0,0.00317,0.00103,0.0007,0.00078,0.00006,0.00003,0.00276,0.001,0.00004,0.00224,0,0.00004,0.00035
12513.7,0.17427,0.04174,0.00507,0.00306,0,0.01291,0.01611,0,0.01699,0.01156,0.01026,0.0126,0.00943,0.00095,0.0103,0.0062,0.00501,0.00893,0.00848,0.00655,0.00695,0.0086,0.00676,0.00564,0.00983,0.00642,0.00277,0.00305,0.00593,0.00198,0.0021,0.00628,0,0.00146,0.00071,0.00419,0.00499,0.00433,0.00453,0.00298,0.00059,0.00416,0.00455,0.00408,0,0.00012,0.00225,0.00273,0.00307,0.00398,0.00025,0.00112,0.00407,0.00313,0.00005,0,0.00042,0.0025,0.00029,0,0.00224,0.00006,0.00109,0.00106,0.00167,0.00182,0.00022,0.00027,0.0003,0.00091,0.00003,0.0012,0.00145,0.00259,0.00017,0.00289,0,0.00352,0.00184,0.00044,0.00243,0,0.00193,0.00038,0.00063,0,0.00254,0.00094,0.00087,0.00041,0.0002,0.00007,0.00215,0.006,0.00006,0.00185,0.00006,0.0001,0.00739
12568.7,0.21888,0.04997,0.0223,0.01292,0.00009,0.01458,0.01347,0,0.01132,0.0133,0.00973,0.01138,0.00829,0.00447,0.00657,0.00502,0.00897,0.00549,0.00741,0.00618,0.00385,0.0049,0.00507,0.005,0.0038,0.004,0.00327,0.00519,0.00428,0.00484,0.00408,0.00436,0,0.00205,0.0019,0.00346,0.00235,0.00307,0.00323,0.00255,0.00355,0.00268,0.00351,0.0028,0,0.0002,0.00277,0.00261,0.00159,0.00215,0.00006,0.00081,0.00253,0.00272,0,0,0.00131,0.00216,0.00092,0.00092,0.00196,0.00116,0,0.00013,0.00195,0.00211,0.00082,0.00063,0.00177,0.00053,0.00056,0.00246,0.00207,0.00176,0,0.00189,0.00032,0.00013,0.00262,0,0.00125,0.00068,0.0012,0.00039,0.00055,0.00018,0.00179,0.0008,0.00088,0.00201,0.00009,0.00024,0.00146,0.00433,0.00008,0.00099,0,0,0.0012
